Geneid	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	length
gene-SYNPCC7002_RS16635	211	158	135	127	197	235	316	308	183	123	218	229	197	370	202	290	555
gene-SYNPCC7002_RS16640	352	281	231	296	351	368	470	427	337	223	367	335	335	471	312	391	414
gene-SYNPCC7002_RS16390	4478	4106	3953	4408	4450	4974	5632	4077	3847	3048	4859	4530	4331	4899	3040	4674	117
gene-SYNPCC7002_RS03880	328	278	338	283	411	565	793	526	416	327	542	509	454	634	484	502	291
gene-SYNPCC7002_RS03885	4228	3155	3772	3436	2926	3526	3986	3683	2290	2067	2641	2950	3049	3516	2502	3274	1125
gene-SYNPCC7002_RS03890	363	248	329	257	320	367	536	426	220	171	311	307	345	490	284	338	384
gene-SYNPCC7002_RS03895	252	190	184	121	201	165	209	271	122	131	117	205	257	321	209	278	243
gene-SYNPCC7002_RS03900	585	466	558	514	435	558	796	469	385	344	441	534	589	720	436	538	318
gene-SYNPCC7002_RS03905	1901	1355	614	646	50991	50046	65622	81249	23232	28462	36163	29143	9756	13817	9684	10786	1611
gene-SYNPCC7002_RS03910	947	819	744	688	753	743	1003	989	550	487	592	758	823	1112	780	937	510
gene-SYNPCC7002_RS03915	4	0	2	0	2	2	12	0	4	4	4	0	0	2	4	6	74
gene-SYNPCC7002_RS03920	2147	1966	2164	2163	2906	3440	4611	3370	2451	2539	3428	3493	3099	4525	3303	3367	906
gene-SYNPCC7002_RS03925	859	796	890	762	1062	1158	1437	1303	990	798	1133	1194	1238	1856	1284	1479	564
gene-SYNPCC7002_RS03930	865	783	879	822	917	1105	1309	1112	781	715	1057	1056	1161	1679	1254	1385	1137
gene-SYNPCC7002_RS03935	4409	3756	3552	3460	8916	11090	15036	10273	7346	6901	9816	9880	7023	9643	7054	7334	2082
gene-SYNPCC7002_RS03940	183	172	164	128	326	358	524	418	296	297	321	451	296	428	259	299	837
gene-SYNPCC7002_RS03945	2074	2210	2337	2630	1680	1591	2236	1894	1486	1084	1593	1746	2241	3424	2135	2359	951
gene-SYNPCC7002_RS03950	207	215	139	209	120	127	159	147	88	112	125	92	150	182	133	165	978
gene-SYNPCC7002_RS03955	2303	2174	2014	2092	4205	4231	6539	5283	3711	3176	4347	4706	5852	8807	5508	6444	1014
gene-SYNPCC7002_RS03960	13050	11644	10513	10029	25651	24659	33143	28989	21199	18157	25153	27604	18482	28134	17374	21536	564
gene-SYNPCC7002_RS03965	285	198	107	91	2498	2613	3727	2625	2927	2248	3036	3971	2136	2781	2071	2673	1827
gene-SYNPCC7002_RS03970	170	107	51	35	2051	1671	2900	2383	2829	2053	2967	3732	1429	1731	1025	1382	1059
gene-SYNPCC7002_RS03975	72	57	34	14	590	446	809	532	764	429	827	908	412	503	305	390	294
gene-SYNPCC7002_RS03980	116	82	61	60	1045	829	1579	1027	1342	922	1483	1665	837	974	676	832	858
gene-SYNPCC7002_RS03985	94	68	76	47	606	537	777	693	712	454	694	993	517	707	431	512	825
gene-SYNPCC7002_RS03990	344	275	237	251	865	738	1243	985	1052	648	1168	1327	736	980	656	744	1047
gene-SYNPCC7002_RS03995	1351	1172	1133	1245	1487	1852	2318	1913	1579	1252	1791	2102	1786	2334	1596	1815	795
gene-SYNPCC7002_RS04000	2313	1773	2352	1945	1349	1688	1879	1459	1113	1149	1423	1424	1951	2567	1420	1971	207
gene-SYNPCC7002_RS04005	10315	9592	9312	8923	5989	6339	7281	7290	5152	4251	5577	6551	6979	9175	5909	7877	384
gene-SYNPCC7002_RS04010	1976	1528	1261	1108	1412	1347	1656	1951	1290	857	1067	1664	1546	1837	1197	1846	426
gene-SYNPCC7002_RS16075	152	118	100	118	196	190	306	228	134	150	189	124	159	273	161	169	495
gene-SYNPCC7002_RS04020	141	122	163	109	232	251	324	260	252	175	242	287	215	315	258	224	669
gene-SYNPCC7002_RS16395	11	7	8	4	12	13	11	22	12	8	13	27	11	19	4	18	180
gene-SYNPCC7002_RS04025	2052	1728	1360	1495	3284	3917	5563	4098	2642	2455	3389	3899	3564	4439	3216	3915	1677
gene-SYNPCC7002_RS04030	2497	2048	2511	2366	1924	2247	3109	2644	1604	1473	2085	2113	2558	3570	2392	2805	2238
gene-SYNPCC7002_RS04035	27255	30958	30710	32968	21647	27450	33235	20574	20433	17896	29604	25443	22288	30181	18897	22981	204
gene-SYNPCC7002_RS04040	597	522	479	503	498	566	731	743	479	368	554	552	857	1029	713	945	132
gene-SYNPCC7002_RS04045	873	857	739	660	1593	2022	2632	1989	1597	1247	1713	1889	1510	1839	1375	1752	744
gene-SYNPCC7002_RS04050	63319	62873	54220	65482	104539	139241	166346	101071	99739	92975	134846	132583	61605	80413	60177	60571	747
gene-SYNPCC7002_RS04055	2699	2248	2792	2443	1897	2802	3326	2947	1584	1636	2155	2275	1796	2154	1640	1748	1002
gene-SYNPCC7002_RS04060	658	577	605	467	575	549	741	818	413	357	435	643	483	619	497	517	609
gene-SYNPCC7002_RS04065	1653	1445	921	965	9492	10969	14751	8773	8498	7537	11105	11710	5421	7018	4951	5748	450
gene-SYNPCC7002_RS04070	563	480	644	550	473	446	516	562	342	327	385	442	487	644	387	497	573
gene-SYNPCC7002_RS04075	1553	1535	1552	1574	1163	1561	1920	1513	1028	1085	1457	1433	1394	1941	1412	1452	1440
gene-SYNPCC7002_RS04080	462	424	333	391	443	460	519	536	311	320	421	482	421	656	445	574	639
gene-SYNPCC7002_RS04085	1516	1200	1078	1235	2466	2882	3629	2705	2063	1853	2669	2568	2244	2988	2008	2524	1179
gene-SYNPCC7002_RS04090	489	412	418	491	664	637	961	658	567	437	680	696	463	704	504	577	414
gene-SYNPCC7002_RS04095	275	244	211	278	399	390	582	445	374	317	463	450	324	445	330	348	219
gene-SYNPCC7002_RS04100	2861	2557	2268	2389	3795	4618	6051	4615	3247	3266	4323	4811	4195	5398	4061	4728	1773
gene-SYNPCC7002_RS04105	538	384	519	434	673	773	860	691	522	427	554	721	514	736	470	624	432
gene-SYNPCC7002_RS04110	5591	5125	4138	4431	18449	21723	28368	16646	16875	14487	21075	21691	8702	11654	8346	9246	1053
gene-SYNPCC7002_RS04115	602	329	286	247	1120	1100	1651	1431	770	658	834	1148	961	1040	745	1020	933
gene-SYNPCC7002_RS04120	332	256	238	190	466	569	909	578	408	292	462	575	505	516	437	580	951
gene-SYNPCC7002_RS04125	6980	6858	6372	6376	9871	11894	16908	11882	8520	8095	11346	11384	11809	15987	11694	11988	2574
gene-SYNPCC7002_RS04130	473	393	472	421	317	327	461	422	246	174	306	345	379	522	323	337	2193
gene-SYNPCC7002_RS04135	495	575	626	589	553	510	680	672	509	308	520	623	618	856	583	770	1215
gene-SYNPCC7002_RS04140	442	479	558	565	381	363	618	453	403	222	396	543	467	665	421	508	216
gene-SYNPCC7002_RS04150	11114	9070	9942	10075	14386	18453	22713	17788	12632	12093	15769	16379	20064	24656	17460	20149	1386
gene-SYNPCC7002_RS04160	496	310	343	291	679	667	644	992	493	398	436	660	613	694	499	692	483
gene-SYNPCC7002_RS04165	350	388	316	361	251	294	468	389	289	228	316	345	331	426	308	398	762
gene-SYNPCC7002_RS04170	1221	1083	1253	1217	588	861	1020	687	529	470	616	714	699	927	769	764	894
gene-SYNPCC7002_RS04175	350	337	364	351	331	271	408	398	285	231	293	344	406	624	374	379	258
gene-SYNPCC7002_RS04180	646	543	563	564	581	486	733	729	496	383	505	624	521	742	521	612	315
gene-SYNPCC7002_RS04185	3255	2842	2161	2314	5190	5878	7464	6563	4255	3882	5419	5725	3779	4868	3352	3985	2259
gene-SYNPCC7002_RS16645	119	126	78	98	75	60	87	105	64	49	66	70	75	116	83	82	180
gene-SYNPCC7002_RS04190	4111	3765	4423	4157	2945	2727	3694	3248	2481	1820	2539	2924	3423	4944	3404	3735	693
gene-SYNPCC7002_RS04195	1410	1292	1369	1317	961	815	1145	1120	824	548	821	1032	1013	1437	1024	1080	321
gene-SYNPCC7002_RS04200	61953	66794	57846	74314	51751	60267	81377	57784	48851	45567	67466	63700	46908	69377	50654	49597	483
gene-SYNPCC7002_RS04205	68735	75838	60886	76275	58304	67448	89342	63985	55821	50888	73976	69497	50760	72224	53485	53463	669
gene-SYNPCC7002_RS04210	2291	2178	2553	2403	2315	2729	3592	2902	2175	1964	2702	2827	3715	5629	4037	3897	1245
gene-SYNPCC7002_RS04215	2284	2071	2147	2348	1454	1768	2134	1726	1311	1094	1663	1626	2608	3484	2473	2646	1443
gene-SYNPCC7002_RS04220	350	373	372	419	291	366	459	381	299	280	399	311	344	594	360	428	189
gene-SYNPCC7002_RS04225	2031	2238	2311	2268	4075	4924	6284	3709	3766	3364	5960	4290	3221	4121	2809	2834	237
gene-SYNPCC7002_RS04230	9807	9146	7815	8192	12270	13466	17140	13333	11238	9151	13174	13802	11011	14782	10173	11570	1203
gene-SYNPCC7002_RS04235	178	171	163	167	285	265	349	407	263	195	361	313	367	419	277	364	1551
gene-SYNPCC7002_RS04240	276	225	235	226	244	279	345	237	204	188	277	241	285	451	304	321	1242
gene-SYNPCC7002_RS04245	771	535	437	576	1371	1569	2015	1595	1098	1119	1393	1721	1553	1889	1462	1751	1347
gene-SYNPCC7002_RS04250	750	667	631	511	1997	2037	2719	2452	1749	1378	1886	2499	2517	3046	2086	2857	756
gene-SYNPCC7002_RS04255	902	910	910	879	1113	1056	1423	1265	1044	640	1081	1290	1254	1628	1230	1436	489
gene-SYNPCC7002_RS04260	19275	16719	12345	14314	41614	45671	58509	47410	37281	32700	45236	48473	28720	36518	25552	29942	1209
gene-SYNPCC7002_RS17210	1033	836	760	777	1579	1524	2429	1967	1285	1106	1625	1531	1145	1619	1309	1250	132
gene-SYNPCC7002_RS04265	16911	13552	11041	10614	25147	25752	35391	33313	20079	17496	22753	27261	21726	27206	19166	24960	1995
gene-SYNPCC7002_RS04270	76	33	26	27	198	119	156	188	78	35	59	146	109	79	66	168	225
gene-SYNPCC7002_RS04275	1112	1172	1217	1307	911	1155	1785	1352	893	705	1065	1107	876	1315	922	1046	336
gene-SYNPCC7002_RS04280	802	709	765	727	839	995	1354	1007	644	671	954	999	1290	1754	1325	1345	1608
gene-SYNPCC7002_RS16945	921	893	968	906	610	703	695	584	536	420	591	635	1555	2018	1318	1560	171
gene-SYNPCC7002_RS04290	824	600	558	485	1155	1194	1593	1869	850	727	1003	810	736	938	640	695	801
gene-SYNPCC7002_RS04295	574	373	300	363	1884	1761	2537	3869	783	969	1245	1008	766	1066	793	853	1503
gene-SYNPCC7002_RS04300	476	351	258	319	1359	1164	1661	2551	687	619	822	778	506	820	578	692	837
gene-SYNPCC7002_RS04305	473	364	207	232	1549	1313	1552	3063	690	656	768	944	729	837	654	878	894
gene-SYNPCC7002_RS04310	319	296	207	185	1212	886	1208	1925	470	484	636	575	551	673	445	655	444
gene-SYNPCC7002_RS04315	166	212	138	183	540	478	686	984	319	310	406	363	301	420	290	323	477
gene-SYNPCC7002_RS04320	176	162	184	197	283	271	358	414	166	149	258	212	173	338	229	250	1218
gene-SYNPCC7002_RS04325	590	503	495	506	1367	1650	2283	1618	1248	994	1608	1620	1018	1381	935	992	912
gene-SYNPCC7002_RS04330	1503	1498	1756	1598	1280	1304	1581	1399	1132	826	1262	1392	1626	2121	1478	1696	2295
gene-SYNPCC7002_RS04335	1409	921	771	728	1230	1289	1855	1905	911	782	940	1188	1411	1796	1301	1681	1110
gene-SYNPCC7002_RS04340	846	772	768	787	898	1010	1431	1038	764	638	921	944	1139	1682	1144	1200	846
gene-SYNPCC7002_RS04345	1762	1554	1670	1427	1253	1323	1851	1499	1025	911	1228	1302	1579	2140	1507	1673	1410
gene-SYNPCC7002_RS04350	1024	640	617	470	1753	2185	2548	1869	1423	1165	1574	1697	1091	1397	933	1244	1065
gene-SYNPCC7002_RS04355	1569	1207	1581	1260	1526	1687	1893	1619	1297	1075	1451	1814	1950	2603	1800	2080	384
gene-SYNPCC7002_RS04360	865	526	433	670	469	498	594	591	322	291	385	407	412	443	328	382	843
gene-SYNPCC7002_RS04365	900	702	787	807	1387	1971	2215	1380	1184	1169	1575	1744	1346	1682	1120	1215	1326
gene-SYNPCC7002_RS04370	132	112	115	87	242	294	352	264	151	172	240	234	245	302	188	264	501
gene-SYNPCC7002_RS04375	538	484	327	381	844	960	1361	1012	658	662	952	951	886	1231	788	1086	1296
gene-SYNPCC7002_RS04380	132	111	130	116	173	178	247	214	115	93	146	149	161	208	193	174	537
gene-SYNPCC7002_RS04385	534	435	439	475	609	832	1178	700	533	552	784	754	623	840	568	711	570
gene-SYNPCC7002_RS04390	1361	1239	1469	1303	1185	1156	1565	1421	921	825	1097	1272	1232	1642	1109	1249	717
gene-SYNPCC7002_RS04395	490	343	347	327	678	598	764	646	512	362	558	682	451	625	362	547	831
gene-SYNPCC7002_RS04400	1085	897	825	803	1821	1958	2738	1804	1517	1181	1912	2019	1353	1865	1272	1430	828
gene-SYNPCC7002_RS04405	8698	8457	7886	7692	17710	19845	28216	18055	15529	14369	20556	20438	11727	17500	12601	13342	1332
gene-SYNPCC7002_RS04410	4438	4430	3873	4208	9183	10366	13716	8993	8058	7098	10252	10037	5454	7746	5279	5887	294
gene-SYNPCC7002_RS04415	1045	634	659	627	1385	1698	2352	1794	1330	1091	1582	1736	1499	2323	1541	1789	1011
gene-SYNPCC7002_RS04420	1370	992	1189	1009	1150	1196	1556	1356	1058	803	1096	1352	885	989	747	914	1986
gene-SYNPCC7002_RS04425	879	666	997	793	385	404	592	470	435	304	412	427	330	408	308	432	876
gene-SYNPCC7002_RS04430	707	537	748	701	294	381	465	318	295	200	331	359	255	386	255	240	834
gene-SYNPCC7002_RS04435	1663	1323	1302	1252	975	1139	1477	1192	821	805	1001	1151	815	1134	783	854	2160
gene-SYNPCC7002_RS04440	1362	987	936	908	1851	2450	2955	2439	1632	1555	1905	2195	1754	2497	1834	2016	867
gene-SYNPCC7002_RS04445	335	333	315	358	463	530	675	636	447	384	584	655	615	804	565	687	936
gene-SYNPCC7002_RS04450	652	453	557	553	779	1004	1324	975	641	676	878	946	905	1414	905	1011	1167
gene-SYNPCC7002_RS04455	170	111	139	153	282	295	469	307	238	242	302	349	232	325	226	228	627
gene-SYNPCC7002_RS04460	288	277	204	329	284	407	519	429	286	242	309	341	236	377	253	274	1836
gene-SYNPCC7002_RS04465	3422	3207	3019	2781	3419	3497	4453	4739	2911	2380	3196	3961	8127	11904	8225	9689	1569
gene-SYNPCC7002_RS04470	2117	1839	1927	1742	1482	2029	2686	2223	1252	1290	1786	1728	3062	4433	3198	3243	732
gene-SYNPCC7002_RS04475	466	350	314	263	294	331	404	465	225	205	249	318	514	665	504	680	291
gene-SYNPCC7002_RS04480	371	303	315	221	630	690	1032	785	547	455	614	681	558	668	484	576	822
gene-SYNPCC7002_RS04485	694	438	532	441	712	711	877	947	523	474	556	721	606	755	499	719	591
gene-SYNPCC7002_RS04490	1890	1691	2378	1719	1719	1935	2514	2215	1391	1349	1654	1840	1571	2019	1374	1668	948
gene-SYNPCC7002_RS04495	5282	4687	5980	5068	3421	4105	5303	3997	3077	2775	3761	3702	3496	4820	3321	3671	2283
gene-SYNPCC7002_RS04500	2234	2160	2553	2502	1448	2164	2812	1963	1218	1383	1958	1744	1826	2625	1849	1700	708
gene-SYNPCC7002_RS04505	7092	5975	6297	6029	5396	5541	7240	6120	4485	3578	5080	6141	14745	21110	14754	18077	1878
gene-SYNPCC7002_RS04510	277	222	207	198	782	682	1030	767	647	539	737	1012	505	780	451	555	651
gene-SYNPCC7002_RS04515	3136	2698	2781	2778	3487	3957	5089	3929	3268	2568	3744	4128	3712	5301	3438	4047	438
gene-SYNPCC7002_RS04520	954	706	609	530	1431	1603	1907	1809	1187	1112	1410	1692	1708	2270	1572	1839	771
gene-SYNPCC7002_RS04525	1129	949	1005	1052	819	926	1215	1060	808	704	934	955	844	1289	853	947	1131
gene-SYNPCC7002_RS04530	686	583	667	664	1044	1307	1678	1261	1010	824	1122	1018	1379	2104	1601	1505	1278
gene-SYNPCC7002_RS04535	503	483	445	357	1906	2225	3057	2080	1701	1655	2196	2308	1148	1600	1103	1161	696
gene-SYNPCC7002_RS04540	148	126	160	116	168	221	269	148	115	117	167	194	128	182	91	127	486
gene-SYNPCC7002_RS04545	1001	939	942	852	698	777	1088	1060	634	570	805	788	1150	1643	1098	1258	714
gene-SYNPCC7002_RS16080	5653	5129	5311	5069	5138	7197	8119	7611	4346	4860	6218	6052	5341	6938	5166	5428	1056
gene-SYNPCC7002_RS04555	890	737	664	581	1259	1112	1555	1303	922	714	1117	1141	1167	1488	958	1189	444
gene-SYNPCC7002_RS04560	30762	30201	26513	28722	22123	24329	28716	24096	21104	17781	24377	26998	21707	30464	19597	24052	366
gene-SYNPCC7002_RS04565	1892	1608	1119	1224	3235	3637	4795	3948	2689	2385	2921	3708	2797	3881	2700	3309	1062
gene-SYNPCC7002_RS04570	2248	2153	1737	2027	4817	5545	7727	5385	4008	3773	5492	5454	4421	6516	4676	4708	888
gene-SYNPCC7002_RS04575	552	481	501	474	524	584	665	556	425	377	485	510	529	642	445	476	807
gene-SYNPCC7002_RS04580	634	535	516	567	622	762	1050	846	632	534	772	772	760	1045	810	795	828
gene-SYNPCC7002_RS04585	337	304	295	247	489	626	734	688	441	412	601	582	420	654	427	448	876
gene-SYNPCC7002_RS04590	493	500	325	324	1017	1241	1805	1135	871	799	1018	1264	789	973	753	953	861
gene-SYNPCC7002_RS04595	743	615	737	685	804	954	1355	932	686	605	985	946	541	861	524	572	339
gene-SYNPCC7002_RS04600	647	504	578	574	742	887	1280	957	675	674	913	844	754	1174	810	961	1164
gene-SYNPCC7002_RS04605	11122	9027	9419	9375	9364	9236	11811	14127	5994	5973	7978	7827	5156	6579	4879	5439	1467
gene-SYNPCC7002_RS04610	4812	4207	4512	4288	3209	4073	4816	3786	2622	2445	3646	3334	2683	3663	2551	2627	306
gene-SYNPCC7002_RS04615	13677	11868	11015	11222	7944	9249	12476	9270	7195	6565	8958	8811	7008	9553	6498	7364	618
gene-SYNPCC7002_RS04620	15634	13873	12302	12260	7798	8921	12352	8969	6935	6201	8628	8440	6620	8842	5990	6682	612
gene-SYNPCC7002_RS04625	35847	28521	25412	25638	18482	19726	26284	19891	14878	13076	18483	19082	13705	18804	12784	14863	1119
gene-SYNPCC7002_RS04630	2180	1778	1846	1813	2382	3276	4092	2947	2032	2019	2922	2545	2613	3220	2324	2574	804
gene-SYNPCC7002_RS04635	1310	1033	1210	1232	1034	1288	1510	1188	779	726	971	970	844	1084	813	885	759
gene-SYNPCC7002_RS04640	1926	1681	1691	1778	2952	3557	4533	2968	2528	2398	3498	3487	2053	2691	1975	2135	828
gene-SYNPCC7002_RS04645	2360	2410	2225	2485	1776	2023	2373	1955	1691	1383	1931	2093	2987	4722	3141	3252	765
gene-SYNPCC7002_RS04650	1151	941	1044	1060	1358	1510	2282	1590	1198	902	1471	1551	1824	2712	1830	1962	642
gene-SYNPCC7002_RS04655	3205	2915	3071	3082	3249	4000	4940	3743	2772	2639	3453	3818	3635	5155	3603	3842	621
gene-SYNPCC7002_RS04660	124	75	100	86	35	56	81	63	31	50	32	58	62	101	70	88	579
gene-SYNPCC7002_RS04665	23	31	32	33	14	37	16	17	10	10	15	10	21	40	35	18	456
gene-SYNPCC7002_RS04670	152	120	133	92	57	67	83	59	28	66	40	75	87	104	70	98	537
gene-SYNPCC7002_RS04675	1151	1204	1421	1502	277	261	374	258	231	160	253	293	431	586	403	457	393
gene-SYNPCC7002_RS04680	4759	4400	5014	4979	3820	4427	5418	4418	3260	2780	4239	4095	4982	7424	5275	5302	720
gene-SYNPCC7002_RS04685	747	594	582	545	1016	1028	1396	1114	825	722	1002	1137	1070	1722	1097	1357	1008
gene-SYNPCC7002_RS04690	1755	1608	1796	1633	1294	1773	2255	1797	1266	1030	1544	1565	1876	2565	1802	2079	1755
gene-SYNPCC7002_RS04695	727	552	701	570	512	682	828	743	432	373	555	678	707	793	634	730	1101
gene-SYNPCC7002_RS04700	931	630	400	501	776	881	1270	1158	646	645	777	991	874	1046	711	1001	1026
gene-SYNPCC7002_RS04705	4500	3437	3625	3355	4217	4753	5886	5426	3825	3304	4379	4560	4008	4869	3190	4409	576
gene-SYNPCC7002_RS04710	1784	1566	1930	1794	1282	1825	2333	1947	1124	1073	1521	1659	1687	2175	1476	1746	468
gene-SYNPCC7002_RS04715	1511	1129	1183	1082	1776	2019	2775	2107	1490	1325	1671	2079	1906	2659	1898	2292	1629
gene-SYNPCC7002_RS04720	568	396	511	447	533	567	729	665	438	349	459	591	539	696	435	565	441
gene-SYNPCC7002_RS04725	373	329	415	380	373	432	530	486	320	315	401	433	785	1086	726	809	435
gene-SYNPCC7002_RS04730	3628	3641	4290	4264	2380	3331	4123	3335	2333	2247	3106	3246	5158	7805	5573	5359	1188
gene-SYNPCC7002_RS16085	795	762	645	648	1269	1630	2138	1488	1110	1147	1731	1508	1069	1509	931	1014	855
gene-SYNPCC7002_RS04745	131	108	107	178	82	59	88	52	109	47	96	76	104	113	190	70	77
gene-SYNPCC7002_RS04750	2069	1462	1581	1544	1003	1038	1504	1434	756	611	923	990	1018	1297	987	1138	2529
gene-SYNPCC7002_RS04755	1016	727	998	850	794	1002	1268	935	709	636	910	876	886	1282	905	875	273
gene-SYNPCC7002_RS04760	5654	5268	4019	4533	10217	10691	13949	10968	8621	7273	10421	11817	8707	11733	8260	10014	549
gene-SYNPCC7002_RS04765	4513	3738	2642	2877	8614	10017	12842	10992	7135	6541	9144	9997	7377	9382	6467	8339	723
gene-SYNPCC7002_RS04770	153	95	129	146	626	804	961	841	663	564	738	764	730	1145	680	861	789
gene-SYNPCC7002_RS04775	12988	11564	11288	10775	37398	41233	54775	35643	33154	29064	42152	42924	24772	33818	23374	26676	981
gene-SYNPCC7002_RS04780	4877	5197	4720	5682	5067	5975	8272	6016	4637	4218	6039	5648	6744	10237	7547	7002	546
gene-SYNPCC7002_RS04785	5345	5409	5959	8048	4557	5143	7018	3649	3750	3469	6031	3742	6029	7317	5629	5156	96
gene-SYNPCC7002_RS04790	339	290	295	282	205	344	397	347	177	172	270	315	327	501	314	389	927
gene-SYNPCC7002_RS04795	1064	857	1056	892	530	664	903	878	401	521	573	673	976	1497	932	1126	1413
gene-SYNPCC7002_RS04800	880	745	782	722	939	905	1106	1136	763	576	834	1106	1048	1383	1008	1267	219
gene-SYNPCC7002_RS04805	956	879	790	851	1158	939	1296	1248	837	609	1005	1181	1314	1874	1238	1541	297
gene-SYNPCC7002_RS04810	1832	1591	1716	1663	1573	2064	2540	2321	1445	1380	1799	2065	2092	2925	1978	2221	1614
gene-SYNPCC7002_RS04815	3372	2691	2879	2955	6299	6444	8689	7944	4551	4402	5697	5893	3260	4154	2978	3654	1587
gene-SYNPCC7002_RS04820	308	284	307	334	197	184	305	323	187	161	238	207	308	450	275	317	591
gene-SYNPCC7002_RS04825	450	471	662	588	414	320	458	518	306	231	311	333	313	440	350	356	429
gene-SYNPCC7002_RS04830	933	812	974	990	553	749	775	898	482	419	645	631	813	1002	748	821	564
gene-SYNPCC7002_RS04835	342	301	458	336	211	194	230	306	202	142	202	243	314	430	292	355	573
gene-SYNPCC7002_RS04840	398	403	371	328	714	588	936	824	569	506	642	720	659	943	706	739	1053
gene-SYNPCC7002_RS04845	1392	1404	960	1022	2118	2024	2787	2606	1814	1692	2030	2362	2324	2831	2048	2392	465
gene-SYNPCC7002_RS04850	566	481	351	448	1135	1371	1721	1202	820	858	1111	1141	1003	1273	971	1076	990
gene-SYNPCC7002_RS04855	1080	937	827	1020	1952	2150	3082	2452	1500	1506	2063	2163	1409	1724	1279	1439	1371
gene-SYNPCC7002_RS04860	400	357	221	300	998	990	1412	1043	796	678	1056	1005	705	906	706	687	474
gene-SYNPCC7002_RS04865	393	355	313	336	595	588	888	810	533	431	587	622	587	725	548	639	963
gene-SYNPCC7002_RS04870	870	624	548	555	2336	2724	3565	2574	2090	1648	2280	2856	1631	2184	1554	1861	834
gene-SYNPCC7002_RS04875	1630	1344	1431	1369	2340	2464	3251	2915	2159	1572	2364	3018	2439	3131	2041	2734	978
gene-SYNPCC7002_RS04880	899	911	984	806	1208	1082	1403	1331	1144	736	1068	1302	1134	1498	1016	1334	771
gene-SYNPCC7002_RS04885	146	140	139	124	330	314	505	375	245	204	240	289	333	467	362	445	1422
gene-SYNPCC7002_RS04890	4955	4476	4401	4349	8903	9051	11796	9593	6980	6548	8352	8942	8342	10823	7217	8549	729
gene-SYNPCC7002_RS04895	1567	1398	1132	1126	3390	3443	5075	4252	2655	2383	3165	3365	3549	4944	3132	4009	2001
gene-SYNPCC7002_RS04900	2725	2621	2710	3125	3019	4773	5209	2442	2937	2619	4972	3171	3040	3482	2526	2767	132
gene-SYNPCC7002_RS04905	942	1008	1125	1221	1092	1225	1708	1225	1001	843	1319	1384	1048	1493	960	998	360
gene-SYNPCC7002_RS16950	1530	1208	1784	1552	164	226	213	227	79	89	107	162	90	130	89	97	141
gene-SYNPCC7002_RS04910	2752	2000	2586	2396	3735	4567	5931	4887	2835	2593	3289	3960	2531	3248	2302	2827	1401
gene-SYNPCC7002_RS04915	738	490	680	616	1120	1137	1538	1215	786	637	952	885	593	782	559	666	291
gene-SYNPCC7002_RS04920	1923	1340	1848	1789	2406	3230	4390	3069	1709	1893	2440	2318	1751	2225	1640	1884	1146
gene-SYNPCC7002_RS04925	3198	2674	2843	2900	4476	5729	7551	6098	3987	3913	4836	5277	5641	7613	5473	5829	780
gene-SYNPCC7002_RS16410	2081	1954	1902	1943	3485	4532	5544	3445	3062	2913	4174	4438	3151	4580	3083	3392	138
gene-SYNPCC7002_RS04935	1962	2150	1993	2038	4028	4852	6851	4360	3224	3124	4834	4789	4132	5776	4214	4312	351
gene-SYNPCC7002_RS04940	4268	4353	3774	4239	5112	6504	9116	6269	4567	4355	6421	5887	5600	8150	5879	6445	393
gene-SYNPCC7002_RS04945	10808	10460	8860	9864	16581	19161	28320	17917	15362	13367	19875	19299	16552	22840	16759	17477	1167
gene-SYNPCC7002_RS04950	1569	1458	1176	1146	3699	3592	5158	3819	3120	2557	3469	3969	3149	4424	2832	3613	492
gene-SYNPCC7002_RS04955	1419	1288	1125	1215	2015	2357	2833	2412	1666	1597	2147	2372	2283	3159	2322	2568	501
gene-SYNPCC7002_RS04960	1498	1216	1199	1099	2209	2556	3317	2799	1716	1708	2109	2303	2632	3682	2713	2890	1497
gene-SYNPCC7002_RS04965	2111	1936	2070	1924	1717	2013	2674	2351	1555	1289	1701	1901	2045	2598	1601	1999	504
gene-SYNPCC7002_RS16090	3069	2934	3444	3386	2657	2684	3782	2985	2223	1792	2549	2617	2549	3780	2382	2927	3783
gene-SYNPCC7002_RS04975	191	141	226	149	224	231	328	321	152	145	222	231	191	259	129	188	366
gene-SYNPCC7002_RS04980	1306	1123	1233	1079	1365	1599	2070	1941	1281	1208	1510	1757	1523	2110	1488	1604	1092
gene-SYNPCC7002_RS04985	2209	2049	2196	2095	2972	3747	4564	3415	2733	2428	3546	3901	3172	4643	3196	3649	1440
gene-SYNPCC7002_RS04990	1708	1665	1480	1373	1275	1287	1727	1914	1082	902	1330	1485	3849	5410	3497	4166	3717
gene-SYNPCC7002_RS04995	717	569	714	702	450	426	721	539	402	244	472	446	585	802	528	593	861
gene-SYNPCC7002_RS05000	88	74	58	72	91	136	198	165	104	95	95	127	150	163	92	159	1137
gene-SYNPCC7002_RS05005	413	288	239	301	523	556	804	753	442	306	477	539	475	661	399	547	1623
gene-SYNPCC7002_RS05010	256	206	244	275	206	252	378	249	242	191	257	293	222	349	263	246	789
gene-SYNPCC7002_RS05015	131	95	83	85	165	186	285	179	90	91	166	166	161	178	126	153	1446
