Geneid	signal	type	name	locus_tag	old_locus_tag	product	is.de
gene-SYNPCC7002_RS02510	No SP	protein_coding	SYNPCC7002_RS02510	SYNPCC7002_RS02510	SYNPCC7002_A0506	HAD family hydrolase	TRUE
gene-SYNPCC7002_RS02515	No SP	protein_coding	SYNPCC7002_RS02515	SYNPCC7002_RS02515	SYNPCC7002_A0507	16S rRNA (cytosine(967)-C(5))-methyltransferase	TRUE
gene-SYNPCC7002_RS02520	No SP	protein_coding	SYNPCC7002_RS02520	SYNPCC7002_RS02520	SYNPCC7002_A0508	nicotinate phosphoribosyltransferase	TRUE
gene-SYNPCC7002_RS02525	No SP	protein_coding	SYNPCC7002_RS02525	SYNPCC7002_RS02525	SYNPCC7002_A0509	MBL fold metallo-hydrolase	TRUE
gene-SYNPCC7002_RS02530	No SP	protein_coding	SYNPCC7002_RS02530	SYNPCC7002_RS02530	SYNPCC7002_A0510	hypothetical protein	TRUE
gene-SYNPCC7002_RS02535	No SP	protein_coding	SYNPCC7002_RS02535	SYNPCC7002_RS02535	SYNPCC7002_A0511	histidinol-phosphate transaminase	TRUE
gene-SYNPCC7002_RS02540	No SP	protein_coding	SYNPCC7002_RS02540	SYNPCC7002_RS02540	SYNPCC7002_A0512	pyridoxal phosphate-dependent aminotransferase	TRUE
gene-SYNPCC7002_RS02545	No SP	protein_coding	SYNPCC7002_RS02545	SYNPCC7002_RS02545	SYNPCC7002_A0513	septum site-determining protein MinC	TRUE
gene-SYNPCC7002_RS02550	No SP	protein_coding	minD	SYNPCC7002_RS02550	SYNPCC7002_A0514	septum site-determining protein MinD	TRUE
gene-SYNPCC7002_RS02555	No SP	protein_coding	minE	SYNPCC7002_RS02555	SYNPCC7002_A0515	cell division topological specificity factor MinE	TRUE
gene-SYNPCC7002_RS16065	No SP	protein_coding	SYNPCC7002_RS16065	SYNPCC7002_RS16065	SYNPCC7002_A0516	Ycf66 family protein	TRUE
gene-SYNPCC7002_RS02565	No SP	protein_coding	SYNPCC7002_RS02565	SYNPCC7002_RS02565	SYNPCC7002_A0517	4-hydroxy-3-methylbut-2-enyl diphosphate reductase	TRUE
gene-SYNPCC7002_RS02570	No SP	protein_coding	SYNPCC7002_RS02570	SYNPCC7002_RS02570	SYNPCC7002_A0518	chorismate lyase	TRUE
gene-SYNPCC7002_RS02575	No SP	protein_coding	rpsP	SYNPCC7002_RS02575	NA	30S ribosomal protein S16	TRUE
gene-SYNPCC7002_RS02580	No SP	protein_coding	SYNPCC7002_RS02580	SYNPCC7002_RS02580	SYNPCC7002_A0519	KH domain-containing protein	TRUE
gene-SYNPCC7002_RS02585	No SP	protein_coding	era	SYNPCC7002_RS02585	SYNPCC7002_A0520	GTPase Era	TRUE
gene-SYNPCC7002_RS02590	No SP	protein_coding	SYNPCC7002_RS02590	SYNPCC7002_RS02590	SYNPCC7002_A0521	phosphatase PAP2 family protein	TRUE
gene-SYNPCC7002_RS02595	No SP	protein_coding	SYNPCC7002_RS02595	SYNPCC7002_RS02595	SYNPCC7002_A0522	insulinase family protein	TRUE
gene-SYNPCC7002_RS02600	No SP	protein_coding	SYNPCC7002_RS02600	SYNPCC7002_RS02600	SYNPCC7002_A0523	class I SAM-dependent methyltransferase	TRUE
gene-SYNPCC7002_RS02605	No SP	protein_coding	SYNPCC7002_RS02605	SYNPCC7002_RS02605	SYNPCC7002_A0524	hypothetical protein	TRUE
gene-SYNPCC7002_RS02610	No SP	protein_coding	SYNPCC7002_RS02610	SYNPCC7002_RS02610	SYNPCC7002_A0525	beta-ketoacyl-ACP synthase 3	TRUE
gene-SYNPCC7002_RS02615	No SP	protein_coding	plsX	SYNPCC7002_RS02615	SYNPCC7002_A0526	phosphate acyltransferase PlsX	TRUE
gene-SYNPCC7002_RS02620	No SP	protein_coding	SYNPCC7002_RS02620	SYNPCC7002_RS02620	SYNPCC7002_A0527	D-alanyl-D-alanine carboxypeptidase	TRUE
gene-SYNPCC7002_RS02625	No SP	protein_coding	SYNPCC7002_RS02625	SYNPCC7002_RS02625	SYNPCC7002_A0528	precorrin-8X methylmutase	TRUE
gene-SYNPCC7002_RS02630	No SP	protein_coding	SYNPCC7002_RS02630	SYNPCC7002_RS02630	NA	high light inducible protein	TRUE
gene-SYNPCC7002_RS02635	No SP	protein_coding	zds	SYNPCC7002_RS02635	SYNPCC7002_A0529	9,9'-di-cis-zeta-carotene desaturase	TRUE
gene-SYNPCC7002_RS02640	No SP	protein_coding	SYNPCC7002_RS02640	SYNPCC7002_RS02640	SYNPCC7002_A0530	TerB family tellurite resistance protein	TRUE
gene-SYNPCC7002_RS02645	No SP	protein_coding	pcrA	SYNPCC7002_RS02645	SYNPCC7002_A0531	DNA helicase PcrA	TRUE
gene-SYNPCC7002_RS02650	No SP	protein_coding	SYNPCC7002_RS02650	SYNPCC7002_RS02650	SYNPCC7002_A0532	Uma2 family endonuclease	TRUE
gene-SYNPCC7002_RS02655	No SP	protein_coding	SYNPCC7002_RS02655	SYNPCC7002_RS02655	SYNPCC7002_A0533	glycosyltransferase family 2 protein	TRUE
gene-SYNPCC7002_RS02660	No SP	protein_coding	SYNPCC7002_RS02660	SYNPCC7002_RS02660	SYNPCC7002_A0534	MFS transporter	TRUE
gene-SYNPCC7002_RS02665	No SP	protein_coding	SYNPCC7002_RS02665	SYNPCC7002_RS02665	SYNPCC7002_A0535	hypothetical protein	TRUE
gene-SYNPCC7002_RS16620	No SP	protein_coding	SYNPCC7002_RS16620	SYNPCC7002_RS16620	SYNPCC7002_A0537	hypothetical protein	TRUE
gene-SYNPCC7002_RS02670	No SP	protein_coding	SYNPCC7002_RS02670	SYNPCC7002_RS02670	SYNPCC7002_A0538	O-antigen ligase family protein	TRUE
gene-SYNPCC7002_RS02675	No SP	protein_coding	SYNPCC7002_RS02675	SYNPCC7002_RS02675	SYNPCC7002_A0539	AAA family ATPase	TRUE
gene-SYNPCC7002_RS02680	No SP	protein_coding	SYNPCC7002_RS02680	SYNPCC7002_RS02680	NA	DUF3143 domain-containing protein	TRUE
gene-SYNPCC7002_RS02685	No SP	protein_coding	SYNPCC7002_RS02685	SYNPCC7002_RS02685	SYNPCC7002_A0540	J domain-containing protein	TRUE
gene-SYNPCC7002_RS02690	No SP	protein_coding	SYNPCC7002_RS02690	SYNPCC7002_RS02690	SYNPCC7002_A0541	DUF721 domain-containing protein	FALSE
gene-SYNPCC7002_RS02695	No SP	protein_coding	SYNPCC7002_RS02695	SYNPCC7002_RS02695	SYNPCC7002_A0542	hypothetical protein	TRUE
gene-SYNPCC7002_RS02700	No SP	protein_coding	SYNPCC7002_RS02700	SYNPCC7002_RS02700	SYNPCC7002_A0543	hypothetical protein	TRUE
gene-SYNPCC7002_RS02705	No SP	protein_coding	SYNPCC7002_RS02705	SYNPCC7002_RS02705	SYNPCC7002_A0544	hypothetical protein	TRUE
gene-SYNPCC7002_RS02710	No SP	protein_coding	grxD	SYNPCC7002_RS02710	SYNPCC7002_A0545	Grx4 family monothiol glutaredoxin	TRUE
gene-SYNPCC7002_RS02715	No SP	protein_coding	SYNPCC7002_RS02715	SYNPCC7002_RS02715	SYNPCC7002_A0546	BolA/IbaG family iron-sulfur metabolism protein	TRUE
gene-SYNPCC7002_RS02720	No SP	protein_coding	pyrF	SYNPCC7002_RS02720	SYNPCC7002_A0547	orotidine-5'-phosphate decarboxylase	TRUE
gene-SYNPCC7002_RS02725	No SP	protein_coding	chlG	SYNPCC7002_RS02725	SYNPCC7002_A0548	chlorophyll synthase ChlG	TRUE
gene-SYNPCC7002_RS02730	No SP	protein_coding	SYNPCC7002_RS02730	SYNPCC7002_RS02730	SYNPCC7002_A0549	PHP domain-containing protein	TRUE
gene-SYNPCC7002_RS02735	No SP	protein_coding	purF	SYNPCC7002_RS02735	SYNPCC7002_A0550	amidophosphoribosyltransferase	TRUE
gene-SYNPCC7002_RS02740	No SP	protein_coding	SYNPCC7002_RS02740	SYNPCC7002_RS02740	SYNPCC7002_A0551	M48 family metallopeptidase	TRUE
gene-SYNPCC7002_RS02745	No SP	protein_coding	mtnC	SYNPCC7002_RS02745	SYNPCC7002_A0552	acireductone synthase	TRUE
gene-SYNPCC7002_RS02750	No SP	protein_coding	SYNPCC7002_RS02750	SYNPCC7002_RS02750	SYNPCC7002_A0553	acireductone dioxygenase	TRUE
gene-SYNPCC7002_RS02755	No SP	protein_coding	mtnB	SYNPCC7002_RS02755	SYNPCC7002_A0554	methylthioribulose 1-phosphate dehydratase	TRUE
gene-SYNPCC7002_RS02760	No SP	protein_coding	SYNPCC7002_RS02760	SYNPCC7002_RS02760	SYNPCC7002_A0555	hypothetical protein	TRUE
gene-SYNPCC7002_RS02765	No SP	protein_coding	SYNPCC7002_RS02765	SYNPCC7002_RS02765	SYNPCC7002_A0556	ATP-binding protein	TRUE
gene-SYNPCC7002_RS02770	No SP	protein_coding	rlmD	SYNPCC7002_RS02770	SYNPCC7002_A0557	23S rRNA (uracil(1939)-C(5))-methyltransferase RlmD	TRUE
gene-SYNPCC7002_RS02775	No SP	protein_coding	SYNPCC7002_RS02775	SYNPCC7002_RS02775	SYNPCC7002_A0558	peroxiredoxin	TRUE
gene-SYNPCC7002_RS02780	No SP	protein_coding	SYNPCC7002_RS02780	SYNPCC7002_RS02780	SYNPCC7002_A0559	phospholipid carrier-dependent glycosyltransferase	TRUE
gene-SYNPCC7002_RS02785	No SP	protein_coding	SYNPCC7002_RS02785	SYNPCC7002_RS02785	SYNPCC7002_A0560	NAD(P)H-quinone oxidoreductase subunit L	TRUE
gene-SYNPCC7002_RS02790	No SP	protein_coding	SYNPCC7002_RS02790	SYNPCC7002_RS02790	SYNPCC7002_A0561	DUF3007 family protein	TRUE
gene-SYNPCC7002_RS02795	No SP	protein_coding	trpA	SYNPCC7002_RS02795	SYNPCC7002_A0562	tryptophan synthase subunit alpha	TRUE
gene-SYNPCC7002_RS02800	No SP	protein_coding	SYNPCC7002_RS02800	SYNPCC7002_RS02800	SYNPCC7002_A0563	chloride channel protein	TRUE
gene-SYNPCC7002_RS02805	No SP	protein_coding	SYNPCC7002_RS02805	SYNPCC7002_RS02805	SYNPCC7002_A0564	vitamin K epoxide reductase family protein	TRUE
gene-SYNPCC7002_RS02810	No SP	protein_coding	SYNPCC7002_RS02810	SYNPCC7002_RS02810	SYNPCC7002_A0565	MogA/MoaB family molybdenum cofactor biosynthesis protein	TRUE
gene-SYNPCC7002_RS02815	No SP	protein_coding	SYNPCC7002_RS02815	SYNPCC7002_RS02815	SYNPCC7002_A0566	flavin reductase family protein	TRUE
gene-SYNPCC7002_RS02820	No SP	protein_coding	SYNPCC7002_RS02820	SYNPCC7002_RS02820	SYNPCC7002_A0567	phenylpyruvate tautomerase MIF-related protein	TRUE
gene-SYNPCC7002_RS02825	Sec/SPI	protein_coding	SYNPCC7002_RS02825	SYNPCC7002_RS02825	SYNPCC7002_A0568	CHRD domain-containing protein	TRUE
gene-SYNPCC7002_RS02830	No SP	protein_coding	SYNPCC7002_RS02830	SYNPCC7002_RS02830	SYNPCC7002_A0569	NAD(P)H-quinone oxidoreductase subunit M	TRUE
gene-SYNPCC7002_RS02835	Sec/SPII	protein_coding	SYNPCC7002_RS02835	SYNPCC7002_RS02835	SYNPCC7002_A0570	hypothetical protein	TRUE
gene-SYNPCC7002_RS02840	No SP	protein_coding	SYNPCC7002_RS02840	SYNPCC7002_RS02840	SYNPCC7002_A0571	RDD family protein	FALSE
gene-SYNPCC7002_RS02845	No SP	protein_coding	rpmG	SYNPCC7002_RS02845	SYNPCC7002_A0572	50S ribosomal protein L33	TRUE
gene-SYNPCC7002_RS02850	No SP	protein_coding	rpsR	SYNPCC7002_RS02850	SYNPCC7002_A0573	30S ribosomal protein S18	TRUE
gene-SYNPCC7002_RS02855	No SP	protein_coding	SYNPCC7002_RS02855	SYNPCC7002_RS02855	SYNPCC7002_A0574	ribonuclease R	TRUE
gene-SYNPCC7002_RS02860	No SP	protein_coding	SYNPCC7002_RS02860	SYNPCC7002_RS02860	SYNPCC7002_A0575	hypothetical protein	TRUE
gene-SYNPCC7002_RS02865	No SP	protein_coding	SYNPCC7002_RS02865	SYNPCC7002_RS02865	SYNPCC7002_A0576	GDSL-type esterase/lipase family protein	FALSE
gene-SYNPCC7002_RS02870	No SP	protein_coding	SYNPCC7002_RS02870	SYNPCC7002_RS02870	SYNPCC7002_A0577	cation:proton antiporter	TRUE
gene-SYNPCC7002_RS02875	Sec/SPI	protein_coding	SYNPCC7002_RS02875	SYNPCC7002_RS02875	SYNPCC7002_A0578	N-acetylmuramoyl-L-alanine amidase	TRUE
gene-SYNPCC7002_RS02880	No SP	protein_coding	murI	SYNPCC7002_RS02880	SYNPCC7002_A0579	glutamate racemase	TRUE
gene-SYNPCC7002_RS02885	No SP	protein_coding	sds	SYNPCC7002_RS02885	SYNPCC7002_A0580	solanesyl diphosphate synthase	TRUE
gene-SYNPCC7002_RS16380	No SP	protein_coding	SYNPCC7002_RS16380	SYNPCC7002_RS16380	NA	DUF2256 domain-containing protein	TRUE
gene-SYNPCC7002_RS02890	No SP	protein_coding	SYNPCC7002_RS02890	SYNPCC7002_RS02890	SYNPCC7002_A0581	homocysteine biosynthesis protein	TRUE
gene-SYNPCC7002_RS02895	No SP	protein_coding	SYNPCC7002_RS02895	SYNPCC7002_RS02895	SYNPCC7002_A0582	hypothetical protein	TRUE
gene-SYNPCC7002_RS02900	No SP	protein_coding	SYNPCC7002_RS02900	SYNPCC7002_RS02900	SYNPCC7002_A0583	glutamate-5-semialdehyde dehydrogenase	TRUE
gene-SYNPCC7002_RS02905	Sec/SPI	protein_coding	SYNPCC7002_RS02905	SYNPCC7002_RS02905	SYNPCC7002_A0584	N-acetylmuramoyl-L-alanine amidase	TRUE
gene-SYNPCC7002_RS02910	Sec/SPI	protein_coding	SYNPCC7002_RS02910	SYNPCC7002_RS02910	SYNPCC7002_A0585	TolC family protein	TRUE
gene-SYNPCC7002_RS02915	No SP	protein_coding	SYNPCC7002_RS02915	SYNPCC7002_RS02915	SYNPCC7002_A0586	VOC family protein	TRUE
gene-SYNPCC7002_RS02920	No SP	protein_coding	SYNPCC7002_RS02920	SYNPCC7002_RS02920	SYNPCC7002_A0587	efflux RND transporter permease subunit	TRUE
gene-SYNPCC7002_RS02925	No SP	protein_coding	arsC	SYNPCC7002_RS02925	SYNPCC7002_A0588	arsenate reductase, glutathione/glutaredoxin type	TRUE
gene-SYNPCC7002_RS02930	No SP	protein_coding	arsB	SYNPCC7002_RS02930	SYNPCC7002_A0589	ACR3 family arsenite efflux transporter	TRUE
gene-SYNPCC7002_RS02935	No SP	protein_coding	SYNPCC7002_RS02935	SYNPCC7002_RS02935	SYNPCC7002_A0590	metalloregulator ArsR/SmtB family transcription factor	FALSE
gene-SYNPCC7002_RS02940	Sec/SPII	protein_coding	SYNPCC7002_RS02940	SYNPCC7002_RS02940	SYNPCC7002_A0591	efflux RND transporter periplasmic adaptor subunit	FALSE
gene-SYNPCC7002_RS02945	No SP	protein_coding	rseP	SYNPCC7002_RS02945	SYNPCC7002_A0592	RIP metalloprotease RseP	FALSE
gene-SYNPCC7002_RS02950	No SP	protein_coding	SYNPCC7002_RS02950	SYNPCC7002_RS02950	SYNPCC7002_A0593	DUF3493 domain-containing protein	FALSE
gene-SYNPCC7002_RS02955	No SP	protein_coding	SYNPCC7002_RS02955	SYNPCC7002_RS02955	SYNPCC7002_A0594	LD-carboxypeptidase	TRUE
gene-SYNPCC7002_RS02960	No SP	protein_coding	tpiA	SYNPCC7002_RS02960	SYNPCC7002_A0595	triose-phosphate isomerase	TRUE
gene-SYNPCC7002_RS02965	No SP	protein_coding	bchD	SYNPCC7002_RS02965	SYNPCC7002_A0596	magnesium chelatase ATPase subunit D	TRUE
gene-SYNPCC7002_RS02970	No SP	protein_coding	SYNPCC7002_RS02970	SYNPCC7002_RS02970	SYNPCC7002_A0597	DUF4346 domain-containing protein	TRUE
gene-SYNPCC7002_RS02975	No SP	protein_coding	SYNPCC7002_RS02975	SYNPCC7002_RS02975	SYNPCC7002_A0598	phospholipase D-like domain-containing protein	TRUE
gene-SYNPCC7002_RS02980	No SP	protein_coding	argS	SYNPCC7002_RS02980	SYNPCC7002_A0599	arginine--tRNA ligase	TRUE
gene-SYNPCC7002_RS02985	No SP	protein_coding	SYNPCC7002_RS02985	SYNPCC7002_RS02985	SYNPCC7002_A0600	M48 family metallopeptidase	TRUE
gene-SYNPCC7002_RS02990	No SP	protein_coding	rdgB	SYNPCC7002_RS02990	SYNPCC7002_A0601	RdgB/HAM1 family non-canonical purine NTP pyrophosphatase	TRUE
gene-SYNPCC7002_RS02995	No SP	protein_coding	SYNPCC7002_RS02995	SYNPCC7002_RS02995	SYNPCC7002_A0602	high light inducible protein	TRUE
gene-SYNPCC7002_RS03000	No SP	protein_coding	SYNPCC7002_RS03000	SYNPCC7002_RS03000	SYNPCC7002_A0603	phosphotransferase	TRUE
gene-SYNPCC7002_RS03010	No SP	protein_coding	SYNPCC7002_RS03010	SYNPCC7002_RS03010	SYNPCC7002_A0604	Ycf51 family protein	TRUE
gene-SYNPCC7002_RS03015	No SP	protein_coding	SYNPCC7002_RS03015	SYNPCC7002_RS03015	SYNPCC7002_A0605	iron-containing alcohol dehydrogenase family protein	TRUE
gene-SYNPCC7002_RS03020	No SP	protein_coding	SYNPCC7002_RS03020	SYNPCC7002_RS03020	SYNPCC7002_A0606	5-(carboxyamino)imidazole ribonucleotide synthase	TRUE
gene-SYNPCC7002_RS03025	No SP	protein_coding	SYNPCC7002_RS03025	SYNPCC7002_RS03025	SYNPCC7002_A0607	gamma-glutamylcyclotransferase	TRUE
gene-SYNPCC7002_RS03030	No SP	protein_coding	SYNPCC7002_RS03030	SYNPCC7002_RS03030	SYNPCC7002_A0608	response regulator transcription factor	TRUE
gene-SYNPCC7002_RS03035	No SP	protein_coding	SYNPCC7002_RS03035	SYNPCC7002_RS03035	SYNPCC7002_A0609	DUF3288 family protein	TRUE
gene-SYNPCC7002_RS03040	No SP	protein_coding	SYNPCC7002_RS03040	SYNPCC7002_RS03040	SYNPCC7002_A0610	bifunctional orotidine-5'-phosphate decarboxylase/orotate phosphoribosyltransferase	TRUE
gene-SYNPCC7002_RS03045	No SP	protein_coding	SYNPCC7002_RS03045	SYNPCC7002_RS03045	SYNPCC7002_A0611	ABC transporter permease	TRUE
gene-SYNPCC7002_RS03055	No SP	protein_coding	SYNPCC7002_RS03055	SYNPCC7002_RS03055	SYNPCC7002_A0613	DEAD/DEAH box helicase	TRUE
gene-SYNPCC7002_RS03060	No SP	protein_coding	SYNPCC7002_RS03060	SYNPCC7002_RS03060	SYNPCC7002_A0614	DNA-directed RNA polymerase subunit omega	TRUE
gene-SYNPCC7002_RS03065	No SP	protein_coding	SYNPCC7002_RS03065	SYNPCC7002_RS03065	SYNPCC7002_A0615	DUF3685 domain-containing protein	TRUE
gene-SYNPCC7002_RS03070	No SP	protein_coding	SYNPCC7002_RS03070	SYNPCC7002_RS03070	SYNPCC7002_A0616	NUDIX hydrolase	TRUE
gene-SYNPCC7002_RS03075	No SP	protein_coding	SYNPCC7002_RS03075	SYNPCC7002_RS03075	SYNPCC7002_A0617	RidA family protein	TRUE
gene-SYNPCC7002_RS03080	No SP	protein_coding	SYNPCC7002_RS03080	SYNPCC7002_RS03080	SYNPCC7002_A0618	DEAD/DEAH box helicase	TRUE
gene-SYNPCC7002_RS03085	No SP	protein_coding	rimO	SYNPCC7002_RS03085	SYNPCC7002_A0619	30S ribosomal protein S12 methylthiotransferase RimO	TRUE
gene-SYNPCC7002_RS03090	No SP	protein_coding	hisG	SYNPCC7002_RS03090	SYNPCC7002_A0620	ATP phosphoribosyltransferase	TRUE
gene-SYNPCC7002_RS03095	No SP	protein_coding	SYNPCC7002_RS03095	SYNPCC7002_RS03095	SYNPCC7002_A0621	ATP phosphoribosyltransferase regulatory subunit	TRUE
gene-SYNPCC7002_RS03100	No SP	protein_coding	SYNPCC7002_RS03100	SYNPCC7002_RS03100	SYNPCC7002_A0622	DnaJ domain-containing protein	TRUE
gene-SYNPCC7002_RS03105	No SP	protein_coding	SYNPCC7002_RS03105	SYNPCC7002_RS03105	SYNPCC7002_A0623	inositol monophosphatase	TRUE
gene-SYNPCC7002_RS03110	No SP	protein_coding	SYNPCC7002_RS03110	SYNPCC7002_RS03110	SYNPCC7002_A0624	2Fe-2S iron-sulfur cluster binding domain-containing protein	TRUE
gene-SYNPCC7002_RS03120	No SP	protein_coding	SYNPCC7002_RS03120	SYNPCC7002_RS03120	SYNPCC7002_A0626	ABC-F family ATP-binding cassette domain-containing protein	TRUE
gene-SYNPCC7002_RS03125	No SP	protein_coding	SYNPCC7002_RS03125	SYNPCC7002_RS03125	SYNPCC7002_A0627	DUF29 domain-containing protein	TRUE
gene-SYNPCC7002_RS03130	No SP	protein_coding	thrS	SYNPCC7002_RS03130	SYNPCC7002_A0628	threonine--tRNA ligase	TRUE
gene-SYNPCC7002_RS03135	No SP	protein_coding	SYNPCC7002_RS03135	SYNPCC7002_RS03135	SYNPCC7002_A0629	hypothetical protein	TRUE
gene-SYNPCC7002_RS03140	Sec/SPII	protein_coding	SYNPCC7002_RS03140	SYNPCC7002_RS03140	NA	hypothetical protein	TRUE
gene-SYNPCC7002_RS03145	No SP	protein_coding	SYNPCC7002_RS03145	SYNPCC7002_RS03145	SYNPCC7002_A0630	crossover junction endodeoxyribonuclease RuvC	TRUE
gene-SYNPCC7002_RS03150	No SP	protein_coding	SYNPCC7002_RS03150	SYNPCC7002_RS03150	SYNPCC7002_A0631	DUF5615 family PIN-like protein	TRUE
gene-SYNPCC7002_RS03155	No SP	protein_coding	SYNPCC7002_RS03155	SYNPCC7002_RS03155	SYNPCC7002_A0632	DUF433 domain-containing protein	TRUE
gene-SYNPCC7002_RS03160	No SP	protein_coding	SYNPCC7002_RS03160	SYNPCC7002_RS03160	SYNPCC7002_A0633	DUF4365 domain-containing protein	TRUE
gene-SYNPCC7002_RS03165	No SP	protein_coding	SYNPCC7002_RS03165	SYNPCC7002_RS03165	SYNPCC7002_A0634	iron ABC transporter permease	FALSE
gene-SYNPCC7002_RS03170	Sec/SPII	protein_coding	SYNPCC7002_RS03170	SYNPCC7002_RS03170	SYNPCC7002_A0635	ABC transporter substrate-binding protein	FALSE
gene-SYNPCC7002_RS03175	No SP	protein_coding	SYNPCC7002_RS03175	SYNPCC7002_RS03175	SYNPCC7002_A0636	phosphodiesterase	FALSE
gene-SYNPCC7002_RS03180	Sec/SPI	protein_coding	SYNPCC7002_RS03180	SYNPCC7002_RS03180	SYNPCC7002_A0637	TonB-dependent receptor	TRUE
gene-SYNPCC7002_RS03185	No SP	protein_coding	SYNPCC7002_RS03185	SYNPCC7002_RS03185	SYNPCC7002_A0638	D-alanyl-alanine synthetase	TRUE
gene-SYNPCC7002_RS03190	No SP	protein_coding	SYNPCC7002_RS03190	SYNPCC7002_RS03190	SYNPCC7002_A0639	phycobilisome rod-core linker polypeptide	TRUE
gene-SYNPCC7002_RS03195	Sec/SPII	protein_coding	SYNPCC7002_RS03195	SYNPCC7002_RS03195	SYNPCC7002_A0640	PD40 domain-containing protein	TRUE
gene-SYNPCC7002_RS03200	No SP	protein_coding	SYNPCC7002_RS03200	SYNPCC7002_RS03200	SYNPCC7002_A0641	LuxR C-terminal-related transcriptional regulator	TRUE
gene-SYNPCC7002_RS03205	No SP	protein_coding	SYNPCC7002_RS03205	SYNPCC7002_RS03205	SYNPCC7002_A0642	isochorismatase	TRUE
gene-SYNPCC7002_RS03210	No SP	protein_coding	cynS	SYNPCC7002_RS03210	SYNPCC7002_A0643	cyanase	TRUE
gene-SYNPCC7002_RS03215	No SP	protein_coding	hemJ	SYNPCC7002_RS03215	SYNPCC7002_A0644	protoporphyrinogen oxidase HemJ	TRUE
gene-SYNPCC7002_RS03220	No SP	protein_coding	SYNPCC7002_RS03220	SYNPCC7002_RS03220	SYNPCC7002_A0645	hypothetical protein	TRUE
gene-SYNPCC7002_RS16625	No SP	protein_coding	SYNPCC7002_RS16625	SYNPCC7002_RS16625	NA	hypothetical protein	TRUE
gene-SYNPCC7002_RS03225	No SP	protein_coding	SYNPCC7002_RS03225	SYNPCC7002_RS03225	SYNPCC7002_A0646	hypothetical protein	FALSE
gene-SYNPCC7002_RS03230	No SP	protein_coding	SYNPCC7002_RS03230	SYNPCC7002_RS03230	SYNPCC7002_A0647	DUF2358 domain-containing protein	TRUE
gene-SYNPCC7002_RS03235	No SP	protein_coding	SYNPCC7002_RS03235	SYNPCC7002_RS03235	SYNPCC7002_A0648	bifunctional ADP-dependent NAD(P)H-hydrate dehydratase/NAD(P)H-hydrate epimerase	TRUE
gene-SYNPCC7002_RS03240	No SP	protein_coding	mutL	SYNPCC7002_RS03240	SYNPCC7002_A0649	DNA mismatch repair endonuclease MutL	TRUE
gene-SYNPCC7002_RS03245	No SP	protein_coding	SYNPCC7002_RS03245	SYNPCC7002_RS03245	SYNPCC7002_A0650	Uma2 family endonuclease	FALSE
gene-SYNPCC7002_RS17045	No SP	protein_coding	SYNPCC7002_RS17045	SYNPCC7002_RS17045	SYNPCC7002_A0651	hypothetical protein	FALSE
gene-SYNPCC7002_RS03255	No SP	protein_coding	ilvD	SYNPCC7002_RS03255	SYNPCC7002_A0652	dihydroxy-acid dehydratase	TRUE
gene-SYNPCC7002_RS03260	No SP	protein_coding	SYNPCC7002_RS03260	SYNPCC7002_RS03260	SYNPCC7002_A0653	hypothetical protein	TRUE
gene-SYNPCC7002_RS03270	No SP	protein_coding	SYNPCC7002_RS03270	SYNPCC7002_RS03270	SYNPCC7002_A0654	Hsp20/alpha crystallin family protein	TRUE
gene-SYNPCC7002_RS03275	No SP	protein_coding	SYNPCC7002_RS03275	SYNPCC7002_RS03275	SYNPCC7002_A0655	alpha-ketoacid dehydrogenase subunit beta	TRUE
gene-SYNPCC7002_RS03280	No SP	protein_coding	secD	SYNPCC7002_RS03280	SYNPCC7002_A0656	protein translocase subunit SecD	TRUE
gene-SYNPCC7002_RS03285	No SP	protein_coding	secF	SYNPCC7002_RS03285	SYNPCC7002_A0657	protein translocase subunit SecF	TRUE
gene-SYNPCC7002_RS03290	No SP	protein_coding	SYNPCC7002_RS03290	SYNPCC7002_RS03290	SYNPCC7002_A0658	hypothetical protein	TRUE
gene-SYNPCC7002_RS03295	No SP	protein_coding	SYNPCC7002_RS03295	SYNPCC7002_RS03295	SYNPCC7002_A0659	LuxR C-terminal-related transcriptional regulator	TRUE
gene-SYNPCC7002_RS03305	No SP	protein_coding	SYNPCC7002_RS03305	SYNPCC7002_RS03305	SYNPCC7002_A0661	hypothetical protein	TRUE
gene-SYNPCC7002_RS03310	No SP	protein_coding	SYNPCC7002_RS03310	SYNPCC7002_RS03310	SYNPCC7002_A0662	MSMEG_0569 family flavin-dependent oxidoreductase	TRUE
gene-SYNPCC7002_RS03315	No SP	protein_coding	SYNPCC7002_RS03315	SYNPCC7002_RS03315	SYNPCC7002_A0663	MSMEG_0572 family nitrogen starvation response protein	TRUE
gene-SYNPCC7002_RS03320	No SP	protein_coding	SYNPCC7002_RS03320	SYNPCC7002_RS03320	SYNPCC7002_A0664	Nit6803 family nitriliase	FALSE
gene-SYNPCC7002_RS03325	No SP	protein_coding	SYNPCC7002_RS03325	SYNPCC7002_RS03325	SYNPCC7002_A0665	MSMEG_0568 family radical SAM protein	FALSE
gene-SYNPCC7002_RS03330	No SP	protein_coding	SYNPCC7002_RS03330	SYNPCC7002_RS03330	SYNPCC7002_A0666	GNAT family N-acetyltransferase	FALSE
gene-SYNPCC7002_RS03335	No SP	protein_coding	SYNPCC7002_RS03335	SYNPCC7002_RS03335	SYNPCC7002_A0667	sll0787 family AIR synthase-like protein	FALSE
