locus	string.name	cluster	Geneid	type	name	locus_tag	product
SYNPCC7002_A0176	ACA98190.1	296	gene-SYNPCC7002_RS00875	protein_coding	SYNPCC7002_RS00875	SYNPCC7002_RS00875	thioredoxin domain-containing protein
SYNPCC7002_A1223	ACA99221.1	422	gene-SYNPCC7002_RS06110	protein_coding	SYNPCC7002_RS06110	SYNPCC7002_RS06110	cupin domain-containing protein
SYNPCC7002_A1024	acpP	1	gene-SYNPCC7002_RS05105	protein_coding	acpP	SYNPCC7002_RS05105	acyl carrier protein
SYNPCC7002_A2355	ACB00333.1	163	gene-SYNPCC7002_RS11670	protein_coding	SYNPCC7002_RS11670	SYNPCC7002_RS11670	NAD(P)/FAD-dependent oxidoreductase
SYNPCC7002_A0175	ACA98189.1	1	gene-SYNPCC7002_RS00870	protein_coding	SYNPCC7002_RS00870	SYNPCC7002_RS00870	fasciclin domain-containing protein
SYNPCC7002_A2356	ACB00334.1	163	gene-SYNPCC7002_RS11675	protein_coding	SYNPCC7002_RS11675	SYNPCC7002_RS11675	TldD/PmbA family protein
SYNPCC7002_A2552	ACB00529.1	9	gene-SYNPCC7002_RS12655	protein_coding	SYNPCC7002_RS12655	SYNPCC7002_RS12655	efflux RND transporter periplasmic adaptor subunit
SYNPCC7002_A1025	gatA	4	gene-SYNPCC7002_RS05110	protein_coding	gatA	SYNPCC7002_RS05110	Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatA
SYNPCC7002_A1221	ACA99219.1	364	gene-SYNPCC7002_RS06100	protein_coding	SYNPCC7002_RS06100	SYNPCC7002_RS06100	hypothetical protein
SYNPCC7002_A1022	tkt	10	gene-SYNPCC7002_RS05095	protein_coding	tkt	SYNPCC7002_RS05095	transketolase
SYNPCC7002_A0375	cytM	29	gene-SYNPCC7002_RS01855	protein_coding	SYNPCC7002_RS01855	SYNPCC7002_RS01855	cytochrome c
SYNPCC7002_A2353	clpB1	1	gene-SYNPCC7002_RS11655	protein_coding	clpB	SYNPCC7002_RS11655	ATP-dependent chaperone ClpB
SYNPCC7002_A0370	ACA98380.1	421	gene-SYNPCC7002_RS01830	protein_coding	SYNPCC7002_RS01830	SYNPCC7002_RS01830	hypothetical protein
SYNPCC7002_A0178	mutS	22	gene-SYNPCC7002_RS00885	protein_coding	mutS	SYNPCC7002_RS00885	DNA mismatch repair protein MutS
SYNPCC7002_A2550	ACB00527.1	12	gene-SYNPCC7002_RS12645	protein_coding	SYNPCC7002_RS12645	SYNPCC7002_RS12645	ABC transporter permease
SYNPCC7002_A2354	leuB	14	gene-SYNPCC7002_RS11660	protein_coding	leuB	SYNPCC7002_RS11660	3-isopropylmalate dehydrogenase
SYNPCC7002_A0372	ACA98382.1	420	gene-SYNPCC7002_RS01840	protein_coding	SYNPCC7002_RS01840	SYNPCC7002_RS01840	glycosyltransferase
SYNPCC7002_A1023	fabF	1	gene-SYNPCC7002_RS05100	protein_coding	fabF	SYNPCC7002_RS05100	beta-ketoacyl-ACP synthase II
SYNPCC7002_A0371	ACA98381.1	421	gene-SYNPCC7002_RS01835	protein_coding	SYNPCC7002_RS01835	SYNPCC7002_RS01835	SpoIIE family protein phosphatase
SYNPCC7002_A0177	ACA98191.1	296	gene-SYNPCC7002_RS00880	protein_coding	SYNPCC7002_RS00880	SYNPCC7002_RS00880	alanine--glyoxylate aminotransferase family protein
SYNPCC7002_A0172	ndhF-III	1	gene-SYNPCC7002_RS00855	protein_coding	SYNPCC7002_RS00855	SYNPCC7002_RS00855	NAD(P)H-quinone oxidoreductase subunit F
SYNPCC7002_A2548	petF2	1	gene-SYNPCC7002_RS12635	protein_coding	SYNPCC7002_RS12635	SYNPCC7002_RS12635	(2Fe-2S) ferredoxin domain-containing protein
SYNPCC7002_A2351	ACB00329.1	5	gene-SYNPCC7002_RS11645	protein_coding	SYNPCC7002_RS11645	SYNPCC7002_RS11645	DUF3598 family protein
SYNPCC7002_A2549	apt	4	gene-SYNPCC7002_RS12640	protein_coding	SYNPCC7002_RS12640	SYNPCC7002_RS12640	adenine phosphoribosyltransferase
SYNPCC7002_A0367	ACA98377.1	17	gene-SYNPCC7002_RS01815	protein_coding	SYNPCC7002_RS01815	SYNPCC7002_RS01815	DUF2973 domain-containing protein
SYNPCC7002_A2352	ACB00330.1	36	gene-SYNPCC7002_RS11650	protein_coding	SYNPCC7002_RS11650	SYNPCC7002_RS11650	hypothetical protein
SYNPCC7002_A1699	ACA99688.1	123	gene-SYNPCC7002_RS08515	protein_coding	SYNPCC7002_RS08515	SYNPCC7002_RS08515	tetratricopeptide repeat protein
SYNPCC7002_A2546	topA	22	gene-SYNPCC7002_RS12625	protein_coding	topA	SYNPCC7002_RS12625	type I DNA topoisomerase
SYNPCC7002_A2350	ACB00328.1	23	gene-SYNPCC7002_RS11640	protein_coding	SYNPCC7002_RS11640	SYNPCC7002_RS11640	CHAD domain-containing protein
SYNPCC7002_A0173	ndhD-III	1	gene-SYNPCC7002_RS00860	protein_coding	SYNPCC7002_RS00860	SYNPCC7002_RS00860	NADH-quinone oxidoreductase subunit M
SYNPCC7002_A2547	ndhB	1	gene-SYNPCC7002_RS12630	protein_coding	SYNPCC7002_RS12630	SYNPCC7002_RS12630	NAD(P)H-quinone oxidoreductase subunit N
SYNPCC7002_A0170	ACA98184.1	1	gene-SYNPCC7002_RS00845	protein_coding	SYNPCC7002_RS00845	SYNPCC7002_RS00845	cytochrome P450
SYNPCC7002_A1216	valS	19	gene-SYNPCC7002_RS06075	protein_coding	SYNPCC7002_RS06075	SYNPCC7002_RS06075	valine--tRNA ligase
SYNPCC7002_A1213	ACA99211.1	148	gene-SYNPCC7002_RS06060	protein_coding	SYNPCC7002_RS06060	SYNPCC7002_RS06060	hypothetical protein
SYNPCC7002_A0169	aroA	57	gene-SYNPCC7002_RS00840	protein_coding	aroA	SYNPCC7002_RS00840	3-phosphoshikimate 1-carboxyvinyltransferase
SYNPCC7002_A1697	ACA99686.1	198	gene-SYNPCC7002_RS16145	protein_coding	SYNPCC7002_RS16145	SYNPCC7002_RS16145	DUF4087 domain-containing protein
SYNPCC7002_A1017	ACA99020.1	275	gene-SYNPCC7002_RS05070	protein_coding	SYNPCC7002_RS05070	SYNPCC7002_RS05070	argonaute PAZ domain-containing protein
SYNPCC7002_A2348	def	1	gene-SYNPCC7002_RS11630	protein_coding	def	SYNPCC7002_RS11630	peptide deformylase
SYNPCC7002_A2545	ACB00522.1	1	gene-SYNPCC7002_RS12620	protein_coding	SYNPCC7002_RS12620	SYNPCC7002_RS12620	glycosyltransferase family 39 protein
SYNPCC7002_A0168	ACA98182.1	29	gene-SYNPCC7002_RS00835	protein_coding	SYNPCC7002_RS00835	SYNPCC7002_RS00835	DUF4912 domain-containing protein
SYNPCC7002_A2349	ACB00327.1	136	gene-SYNPCC7002_RS11635	protein_coding	SYNPCC7002_RS11635	SYNPCC7002_RS11635	DUF4332 domain-containing protein
SYNPCC7002_A1018	chlH-2	6	gene-SYNPCC7002_RS05075	protein_coding	SYNPCC7002_RS05075	SYNPCC7002_RS05075	magnesium chelatase subunit H
SYNPCC7002_A0368	lpxB-2	420	gene-SYNPCC7002_RS01820	protein_coding	SYNPCC7002_RS01820	SYNPCC7002_RS01820	hypothetical protein
SYNPCC7002_A0363	ACA98373.1	16	gene-SYNPCC7002_RS01795	protein_coding	moeB	SYNPCC7002_RS01795	molybdopterin-synthase adenylyltransferase MoeB
SYNPCC7002_A1695	ACA99684.1	198	gene-SYNPCC7002_RS08495	protein_coding	SYNPCC7002_RS08495	SYNPCC7002_RS08495	YkvA family protein
SYNPCC7002_A2347	chlL	6	gene-SYNPCC7002_RS11625	protein_coding	bchL	SYNPCC7002_RS11625	ferredoxin:protochlorophyllide reductase (ATP-dependent) iron-sulfur ATP-binding protein
SYNPCC7002_A2542	rnc-2	1	gene-SYNPCC7002_RS12605	protein_coding	rnc	SYNPCC7002_RS12605	ribonuclease III
SYNPCC7002_A1013	ACA99016.1	9	gene-SYNPCC7002_RS05050	protein_coding	SYNPCC7002_RS05050	SYNPCC7002_RS05050	efflux RND transporter permease subunit
SYNPCC7002_A2543	ACB00520.1	1	gene-SYNPCC7002_RS12610	protein_coding	SYNPCC7002_RS12610	SYNPCC7002_RS12610	AarF/ABC1/UbiB kinase family protein
SYNPCC7002_A1212	pilT-2	37	gene-SYNPCC7002_RS06055	protein_coding	SYNPCC7002_RS06055	SYNPCC7002_RS06055	type IV pilus twitching motility protein PilT
SYNPCC7002_A0164	ACA98178.1	295	gene-SYNPCC7002_RS00815	protein_coding	SYNPCC7002_RS00815	SYNPCC7002_RS00815	hypothetical protein
SYNPCC7002_A1696	ACA99685.1	198	gene-SYNPCC7002_RS08500	protein_coding	SYNPCC7002_RS08500	SYNPCC7002_RS08500	DUF29 family protein
SYNPCC7002_A2345	chlN	6	gene-SYNPCC7002_RS11615	protein_coding	SYNPCC7002_RS11615	SYNPCC7002_RS11615	ferredoxin:protochlorophyllide reductase (ATP-dependent) subunit N
SYNPCC7002_A1693	ACA99682.1	334	gene-SYNPCC7002_RS08485	protein_coding	SYNPCC7002_RS08485	SYNPCC7002_RS08485	hypothetical protein
SYNPCC7002_A2540	sll1284	367	gene-SYNPCC7002_RS12595	protein_coding	SYNPCC7002_RS12595	SYNPCC7002_RS12595	alpha/beta hydrolase
SYNPCC7002_A1498	rplI	1	gene-SYNPCC7002_RS07510	protein_coding	rplI	SYNPCC7002_RS07510	50S ribosomal protein L9
SYNPCC7002_A0365	priA	22	gene-SYNPCC7002_RS01805	protein_coding	priA	SYNPCC7002_RS01805	primosomal protein N'
SYNPCC7002_A1011	ACA99014.1	35	gene-SYNPCC7002_RS05040	protein_coding	SYNPCC7002_RS05040	SYNPCC7002_RS05040	DUF3086 domain-containing protein
SYNPCC7002_A2541	ndhH	1	gene-SYNPCC7002_RS12600	protein_coding	SYNPCC7002_RS12600	SYNPCC7002_RS12600	NAD(P)H-quinone oxidoreductase subunit H
SYNPCC7002_A1495	pcnB	141	gene-SYNPCC7002_RS07495	protein_coding	SYNPCC7002_RS07495	SYNPCC7002_RS07495	CCA tRNA nucleotidyltransferase
SYNPCC7002_A1210	ACA99208.1	419	gene-SYNPCC7002_RS06045	protein_coding	SYNPCC7002_RS06045	SYNPCC7002_RS06045	hemolysin family protein
SYNPCC7002_A2342	sbcD	294	gene-SYNPCC7002_RS11590	protein_coding	sbcD	SYNPCC7002_RS11590	exonuclease subunit SbcD
SYNPCC7002_A1694	leuS	19	gene-SYNPCC7002_RS08490	protein_coding	leuS	SYNPCC7002_RS08490	leucine--tRNA ligase
SYNPCC7002_A0167	petJ	3	gene-SYNPCC7002_RS00830	protein_coding	SYNPCC7002_RS00830	SYNPCC7002_RS00830	c-type cytochrome
SYNPCC7002_A0364	sigC	1	gene-SYNPCC7002_RS01800	protein_coding	SYNPCC7002_RS01800	SYNPCC7002_RS01800	RpoD/SigA family RNA polymerase sigma factor
SYNPCC7002_A2343	map-2	1	gene-SYNPCC7002_RS11605	protein_coding	map	SYNPCC7002_RS11605	type I methionyl aminopeptidase
SYNPCC7002_A1691	purH	4	gene-SYNPCC7002_RS08475	protein_coding	purH	SYNPCC7002_RS08475	bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase
SYNPCC7002_A1496	ACA99487.1	141	gene-SYNPCC7002_RS07500	protein_coding	SYNPCC7002_RS07500	SYNPCC7002_RS07500	rhodanese-related sulfurtransferase
SYNPCC7002_A1692	pyrR	20	gene-SYNPCC7002_RS08480	protein_coding	pyrR	SYNPCC7002_RS08480	bifunctional pyr operon transcriptional regulator/uracil phosphoribosyltransferase PyrR
SYNPCC7002_A0361	ACA98371.1	1	gene-SYNPCC7002_RS01785	protein_coding	SYNPCC7002_RS01785	SYNPCC7002_RS01785	FAD-dependent oxidoreductase
SYNPCC7002_A1690	moaE	16	gene-SYNPCC7002_RS08470	protein_coding	SYNPCC7002_RS08470	SYNPCC7002_RS08470	molybdenum cofactor biosynthesis protein MoaE
SYNPCC7002_A2340	ACB00318.1	11	gene-SYNPCC7002_RS11585	protein_coding	SYNPCC7002_RS11585	SYNPCC7002_RS11585	UDP-glucose/GDP-mannose dehydrogenase family protein
SYNPCC7002_A0360	ACA98370.1	264	gene-SYNPCC7002_RS01780	protein_coding	SYNPCC7002_RS01780	SYNPCC7002_RS01780	YifB family Mg chelatase-like AAA ATPase
SYNPCC7002_A0160	ACA98174.1	3	gene-SYNPCC7002_RS00795	protein_coding	SYNPCC7002_RS00795	SYNPCC7002_RS00795	hypothetical protein
SYNPCC7002_A2539	ACB00516.1	100	gene-SYNPCC7002_RS12590	protein_coding	SYNPCC7002_RS12590	SYNPCC7002_RS12590	DMT family transporter
SYNPCC7002_A2341	ACB00319.1	294	gene-SYNPCC7002_RS16190	protein_coding	SYNPCC7002_RS16190	SYNPCC7002_RS16190	peptidoglycan-binding protein
SYNPCC7002_A1209	ACA99207.1	419	gene-SYNPCC7002_RS06040	protein_coding	SYNPCC7002_RS06040	SYNPCC7002_RS06040	hypothetical protein
SYNPCC7002_A1494	cysC	30	gene-SYNPCC7002_RS07490	protein_coding	cysC	SYNPCC7002_RS07490	adenylyl-sulfate kinase
SYNPCC7002_A1206	pyrE	20	gene-SYNPCC7002_RS06025	protein_coding	pyrE	SYNPCC7002_RS06025	orotate phosphoribosyltransferase
SYNPCC7002_A1010	plsY	1	gene-SYNPCC7002_RS05035	protein_coding	plsY	SYNPCC7002_RS05035	glycerol-3-phosphate 1-O-acyltransferase PlsY
SYNPCC7002_A2537	aroH	100	gene-SYNPCC7002_RS12580	protein_coding	aroH	SYNPCC7002_RS12580	chorismate mutase
SYNPCC7002_A2538	sppA-2	100	gene-SYNPCC7002_RS12585	protein_coding	sppA	SYNPCC7002_RS12585	signal peptide peptidase SppA
SYNPCC7002_A1492	ACA99483.1	293	gene-SYNPCC7002_RS07475	protein_coding	SYNPCC7002_RS07475	SYNPCC7002_RS07475	phosphoglucomutase/phosphomannomutase family protein
SYNPCC7002_A1204	ACA99203.1	1	gene-SYNPCC7002_RS06015	protein_coding	SYNPCC7002_RS06015	SYNPCC7002_RS06015	alpha/beta fold hydrolase
SYNPCC7002_A0162	pfkA	10	gene-SYNPCC7002_RS00805	protein_coding	SYNPCC7002_RS00805	SYNPCC7002_RS00805	ATP-dependent 6-phosphofructokinase
SYNPCC7002_A2535	ACB00512.1	27	gene-SYNPCC7002_RS12570	protein_coding	SYNPCC7002_RS12570	SYNPCC7002_RS12570	hypothetical protein
SYNPCC7002_A1490	ACA99481.1	58	gene-SYNPCC7002_RS07465	protein_coding	SYNPCC7002_RS07465	SYNPCC7002_RS07465	hypothetical protein
SYNPCC7002_A1008	psaF	3	gene-SYNPCC7002_RS05030	protein_coding	SYNPCC7002_RS05030	SYNPCC7002_RS05030	photosystem I reaction center subunit III, PsaF
SYNPCC7002_A2536	gatB	374	gene-SYNPCC7002_RS12575	protein_coding	gatB	SYNPCC7002_RS12575	Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatB
SYNPCC7002_A1009	psaJ	3	gene-SYNPCC7002_RS16415	protein_coding	psaJ	SYNPCC7002_RS16415	photosystem I reaction center subunit IX
SYNPCC7002_A0158	slt	162	gene-SYNPCC7002_RS00785	protein_coding	SYNPCC7002_RS00785	SYNPCC7002_RS00785	transglycosylase SLT domain-containing protein
SYNPCC7002_A1689	upp	20	gene-SYNPCC7002_RS08465	protein_coding	upp	SYNPCC7002_RS08465	uracil phosphoribosyltransferase
SYNPCC7002_A1006	purU	161	gene-SYNPCC7002_RS05020	protein_coding	purU	SYNPCC7002_RS05020	formyltetrahydrofolate deformylase
SYNPCC7002_A0157	psbA-II	3	gene-SYNPCC7002_RS00780	protein_coding	psbA	SYNPCC7002_RS00780	photosystem II q(b) protein
SYNPCC7002_A2533	psbZ-2	3	gene-SYNPCC7002_RS12560	protein_coding	psb27	SYNPCC7002_RS12560	photosystem II protein Psb27
SYNPCC7002_A2338	pucC	6	gene-SYNPCC7002_RS11575	protein_coding	SYNPCC7002_RS11575	SYNPCC7002_RS11575	BCD family MFS transporter
SYNPCC7002_A0358	ACA98368.1	418	gene-SYNPCC7002_RS01770	protein_coding	SYNPCC7002_RS01770	SYNPCC7002_RS01770	class I SAM-dependent DNA methyltransferase
SYNPCC7002_A1007	gcp	88	gene-SYNPCC7002_RS05025	protein_coding	tsaD	SYNPCC7002_RS05025	tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex transferase subunit TsaD
SYNPCC7002_A2534	cheY	2	gene-SYNPCC7002_RS12565	protein_coding	SYNPCC7002_RS12565	SYNPCC7002_RS12565	response regulator
SYNPCC7002_A1004	trkA-2	151	gene-SYNPCC7002_RS05010	protein_coding	SYNPCC7002_RS05010	SYNPCC7002_RS05010	NAD-binding protein
SYNPCC7002_A1488	ACA99479.1	292	gene-SYNPCC7002_RS07455	protein_coding	SYNPCC7002_RS07455	SYNPCC7002_RS07455	hypothetical protein
SYNPCC7002_A1687	ACA99676.1	157	gene-SYNPCC7002_RS08455	protein_coding	SYNPCC7002_RS08455	SYNPCC7002_RS08455	YggT family protein
SYNPCC7002_A2335	ACB00313.1	126	gene-SYNPCC7002_RS11560	protein_coding	SYNPCC7002_RS11560	SYNPCC7002_RS11560	hypothetical protein
SYNPCC7002_A0357	ACA98367.1	418	gene-SYNPCC7002_RS01765	protein_coding	SYNPCC7002_RS01765	SYNPCC7002_RS01765	GNAT family N-acetyltransferase
SYNPCC7002_A1489	ACA99480.1	292	gene-SYNPCC7002_RS07460	protein_coding	SYNPCC7002_RS07460	SYNPCC7002_RS07460	hypothetical protein
SYNPCC7002_A1288	ACA99285.1	103	gene-SYNPCC7002_RS06445	protein_coding	SYNPCC7002_RS06445	SYNPCC7002_RS06445	STAS domain-containing protein
SYNPCC7002_A1005	ACA99008.1	22	gene-SYNPCC7002_RS05015	protein_coding	SYNPCC7002_RS05015	SYNPCC7002_RS05015	RecQ family ATP-dependent DNA helicase
SYNPCC7002_A2135	ACB00117.1	417	gene-SYNPCC7002_RS10640	protein_coding	SYNPCC7002_RS10640	SYNPCC7002_RS10640	Uma2 family endonuclease
SYNPCC7002_A2136	ACB00118.1	417	gene-SYNPCC7002_RS10645	protein_coding	SYNPCC7002_RS10645	SYNPCC7002_RS10645	TIGR04376 family protein
SYNPCC7002_A0550	purF	4	gene-SYNPCC7002_RS02735	protein_coding	purF	SYNPCC7002_RS02735	amidophosphoribosyltransferase
SYNPCC7002_A1882	ACA99870.1	89	gene-SYNPCC7002_RS09420	protein_coding	SYNPCC7002_RS09420	SYNPCC7002_RS09420	helix-turn-helix domain-containing protein
SYNPCC7002_A2730	ACB00705.1	85	gene-SYNPCC7002_RS13500	protein_coding	SYNPCC7002_RS13500	SYNPCC7002_RS13500	pentapeptide repeat-containing protein
SYNPCC7002_A2133	ACB00115.1	416	gene-SYNPCC7002_RS10635	protein_coding	SYNPCC7002_RS10635	SYNPCC7002_RS10635	hypothetical protein
SYNPCC7002_A1883	ACA99871.1	89	gene-SYNPCC7002_RS09425	protein_coding	SYNPCC7002_RS09425	SYNPCC7002_RS09425	helix-turn-helix domain-containing protein
SYNPCC7002_A0552	mtnC	46	gene-SYNPCC7002_RS02745	protein_coding	mtnC	SYNPCC7002_RS02745	acireductone synthase
SYNPCC7002_A0551	ACA98558.1	4	gene-SYNPCC7002_RS02740	protein_coding	SYNPCC7002_RS02740	SYNPCC7002_RS02740	M48 family metallopeptidase
SYNPCC7002_A1284	ACA99281.1	1	gene-SYNPCC7002_RS06425	protein_coding	SYNPCC7002_RS06425	SYNPCC7002_RS06425	acyl-CoA thioesterase
SYNPCC7002_A2728	ACB00703.1	249	gene-SYNPCC7002_RS13490	protein_coding	SYNPCC7002_RS13490	SYNPCC7002_RS13490	energy-coupling factor ABC transporter ATP-binding protein
SYNPCC7002_A2131	hom	415	gene-SYNPCC7002_RS10625	protein_coding	SYNPCC7002_RS10625	SYNPCC7002_RS10625	homoserine dehydrogenase
SYNPCC7002_A2729	ACB00704.1	27	gene-SYNPCC7002_RS13495	protein_coding	SYNPCC7002_RS13495	SYNPCC7002_RS13495	cofactor assembly of complex C subunit B
SYNPCC7002_A2132	ACB00114.1	416	gene-SYNPCC7002_RS10630	protein_coding	SYNPCC7002_RS10630	SYNPCC7002_RS10630	class I SAM-dependent DNA methyltransferase
SYNPCC7002_A0547	pyrF	20	gene-SYNPCC7002_RS02720	protein_coding	pyrF	SYNPCC7002_RS02720	orotidine-5'-phosphate decarboxylase
SYNPCC7002_A1879	dnaB-2	291	gene-SYNPCC7002_RS16160	protein_coding	SYNPCC7002_RS16160	SYNPCC7002_RS16160	AAA family ATPase
SYNPCC7002_A1282	ACA99279.1	299	gene-SYNPCC7002_RS06415	protein_coding	SYNPCC7002_RS06415	SYNPCC7002_RS06415	hypothetical protein
SYNPCC7002_A2130	ACB00112.1	259	gene-SYNPCC7002_RS10620	protein_coding	SYNPCC7002_RS10620	SYNPCC7002_RS10620	hypothetical protein
SYNPCC7002_A0546	ACA98553.1	1	gene-SYNPCC7002_RS02715	protein_coding	SYNPCC7002_RS02715	SYNPCC7002_RS02715	BolA/IbaG family iron-sulfur metabolism protein
SYNPCC7002_A1280	polA	22	gene-SYNPCC7002_RS06405	protein_coding	polA	SYNPCC7002_RS06405	DNA polymerase I
SYNPCC7002_A2724	ACB00699.1	288	gene-SYNPCC7002_RS17115	protein_coding	SYNPCC7002_RS17115	SYNPCC7002_RS17115	modulator of DNA gyrase
SYNPCC7002_A1281	bioF	1	gene-SYNPCC7002_RS06410	protein_coding	bioF	SYNPCC7002_RS06410	8-amino-7-oxononanoate synthase
SYNPCC7002_A0549	ACA98556.1	4	gene-SYNPCC7002_RS02730	protein_coding	SYNPCC7002_RS02730	SYNPCC7002_RS02730	PHP domain-containing protein
SYNPCC7002_A2129	ACB00111.1	3	gene-SYNPCC7002_RS10615	protein_coding	SYNPCC7002_RS10615	SYNPCC7002_RS10615	YggT family protein
SYNPCC7002_A2127	accC	1	gene-SYNPCC7002_RS10605	protein_coding	accC	SYNPCC7002_RS10605	acetyl-CoA carboxylase biotin carboxylase subunit
SYNPCC7002_A0548	chlG	6	gene-SYNPCC7002_RS02725	protein_coding	chlG	SYNPCC7002_RS02725	chlorophyll synthase ChlG
SYNPCC7002_A1277	map	1	gene-SYNPCC7002_RS06390	protein_coding	map	SYNPCC7002_RS06390	type I methionyl aminopeptidase
SYNPCC7002_A0543	ACA98550.1	290	gene-SYNPCC7002_RS02700	protein_coding	SYNPCC7002_RS02700	SYNPCC7002_RS02700	hypothetical protein
SYNPCC7002_A2125	glgA2	338	gene-SYNPCC7002_RS10595	protein_coding	glgA	SYNPCC7002_RS10595	glycogen synthase GlgA
SYNPCC7002_A2722	ACB00697.1	289	gene-SYNPCC7002_RS13470	protein_coding	SYNPCC7002_RS13470	SYNPCC7002_RS13470	DUF3153 domain-containing protein
SYNPCC7002_A1278	ilvC	69	gene-SYNPCC7002_RS06395	protein_coding	ilvC	SYNPCC7002_RS06395	ketol-acid reductoisomerase
SYNPCC7002_A1275	asd	415	gene-SYNPCC7002_RS06380	protein_coding	SYNPCC7002_RS06380	SYNPCC7002_RS06380	aspartate-semialdehyde dehydrogenase
SYNPCC7002_A2723	ACB00698.1	288	gene-SYNPCC7002_RS17110	protein_coding	SYNPCC7002_RS17110	SYNPCC7002_RS17110	metallopeptidase TldD-related protein
SYNPCC7002_A2122	ACB00104.1	44	gene-SYNPCC7002_RS10580	protein_coding	SYNPCC7002_RS10580	SYNPCC7002_RS10580	IS4-like element ISSysp3 family transposase
SYNPCC7002_A1873	ACA99861.1	94	gene-SYNPCC7002_RS09375	protein_coding	SYNPCC7002_RS09375	SYNPCC7002_RS09375	hypothetical protein
SYNPCC7002_A2123	ureD	96	gene-SYNPCC7002_RS10585	protein_coding	SYNPCC7002_RS10585	SYNPCC7002_RS10585	urease accessory protein UreD
SYNPCC7002_A2720	ACB00695.1	78	gene-SYNPCC7002_RS13460	protein_coding	SYNPCC7002_RS13460	SYNPCC7002_RS13460	MlaD family protein
SYNPCC7002_A1276	tig	1	gene-SYNPCC7002_RS06385	protein_coding	tig	SYNPCC7002_RS06385	trigger factor
SYNPCC7002_A0545	ACA98552.1	1	gene-SYNPCC7002_RS02710	protein_coding	grxD	SYNPCC7002_RS02710	Grx4 family monothiol glutaredoxin
SYNPCC7002_A1273	rnj	391	gene-SYNPCC7002_RS06370	protein_coding	SYNPCC7002_RS06370	SYNPCC7002_RS06370	ribonuclease J
SYNPCC7002_A2721	ACB00696.1	78	gene-SYNPCC7002_RS13465	protein_coding	SYNPCC7002_RS13465	SYNPCC7002_RS13465	ABC transporter ATP-binding protein
SYNPCC7002_A2120	ndbB	414	gene-SYNPCC7002_RS10570	protein_coding	SYNPCC7002_RS10570	SYNPCC7002_RS10570	NAD(P)/FAD-dependent oxidoreductase
SYNPCC7002_A0544	ACA98551.1	1	gene-SYNPCC7002_RS02705	protein_coding	SYNPCC7002_RS02705	SYNPCC7002_RS02705	hypothetical protein
SYNPCC7002_A2121	ACB00103.1	414	gene-SYNPCC7002_RS10575	protein_coding	SYNPCC7002_RS10575	SYNPCC7002_RS10575	HAD-IA family hydrolase
SYNPCC7002_A1871	ACA99859.1	94	gene-SYNPCC7002_RS09365	protein_coding	SYNPCC7002_RS09365	SYNPCC7002_RS09365	hypothetical protein
SYNPCC7002_A1872	ACA99860.1	94	gene-SYNPCC7002_RS09370	protein_coding	SYNPCC7002_RS09370	SYNPCC7002_RS09370	hypothetical protein
SYNPCC7002_A1271	dnaB	291	gene-SYNPCC7002_RS06360	protein_coding	dnaB	SYNPCC7002_RS06360	replicative DNA helicase
SYNPCC7002_A1870	ACA99858.1	94	gene-SYNPCC7002_RS09360	protein_coding	SYNPCC7002_RS09360	SYNPCC7002_RS09360	hypothetical protein
SYNPCC7002_A0540	ACA98547.1	1	gene-SYNPCC7002_RS02685	protein_coding	SYNPCC7002_RS02685	SYNPCC7002_RS02685	J domain-containing protein
SYNPCC7002_A2119	ACB00101.1	103	gene-SYNPCC7002_RS10565	protein_coding	SYNPCC7002_RS10565	SYNPCC7002_RS10565	STAS domain-containing protein
SYNPCC7002_A2118	ACB00100.1	2	gene-SYNPCC7002_RS10560	protein_coding	SYNPCC7002_RS10560	SYNPCC7002_RS10560	glycosyltransferase
SYNPCC7002_A1868	ACA99856.1	160	gene-SYNPCC7002_RS09355	protein_coding	SYNPCC7002_RS09355	SYNPCC7002_RS09355	hypothetical protein
SYNPCC7002_A1268	ACA99265.1	1	gene-SYNPCC7002_RS06345	protein_coding	SYNPCC7002_RS06345	SYNPCC7002_RS06345	RNA-binding protein
SYNPCC7002_A2115	ACB00097.1	2	gene-SYNPCC7002_RS10545	protein_coding	SYNPCC7002_RS10545	SYNPCC7002_RS10545	SpoIIE family protein phosphatase
SYNPCC7002_A0535	ACA98542.1	159	gene-SYNPCC7002_RS02665	protein_coding	SYNPCC7002_RS02665	SYNPCC7002_RS02665	hypothetical protein
SYNPCC7002_A2599	ACB00576.1	2	gene-SYNPCC7002_RS12890	protein_coding	SYNPCC7002_RS12890	SYNPCC7002_RS12890	methyl-accepting chemotaxis protein
SYNPCC7002_A1869	ACA99857.1	160	gene-SYNPCC7002_RS16690	protein_coding	SYNPCC7002_RS16690	SYNPCC7002_RS16690	hypothetical protein
SYNPCC7002_A1269	rpiA	197	gene-SYNPCC7002_RS06350	protein_coding	rpiA	SYNPCC7002_RS06350	ribose-5-phosphate isomerase RpiA
SYNPCC7002_A2113	ACB00096.1	359	gene-SYNPCC7002_RS10535	protein_coding	SYNPCC7002_RS10535	SYNPCC7002_RS10535	DUF3488 and DUF4129 domain-containing transglutaminase family protein
