cluster	database	geneset	geneset.name	no.genes	no.background	pvalue	FDR	cluster.size
cluster_10	Reactome Pathways	MAP-168256	Immune System	2	16	0.0024	0.0233	12
cluster_10	GO Molecular Function	GO:0003824	Catalytic activity	12	1469	4e-4	0.0404	12
cluster_10	Pfam	PF00923	Transaldolase/Fructose-6-phosphate aldolase	2	2	9.81e-5	0.0474	12
cluster_10	COMPARTMENTS	GOCC:0005829	Cytosol	6	280	5.5e-4	0.0478	12
cluster_11	STRING Clusters	CL:4082	Mixed, incl. Amino sugar and nucleotide sugar metabolism, and Glycosyl transferases group 1	12	33	5.2299999999999995e-23	3.38e-20	12
cluster_11	STRING Clusters	CL:4084	Amino sugar and nucleotide sugar metabolism, and Polysaccharide biosynthetic process	11	23	1.46e-21	3.15e-19	12
cluster_11	STRING Clusters	CL:4086	Mixed, incl. Fructose and mannose metabolism, and Bacterial sugar transferase	9	16	1.38e-17	1.11e-15	12
cluster_11	STRING Clusters	CL:4090	Bacterial sugar transferase, and SLBB domain	5	5	1.3e-10	9.34e-9	12
cluster_11	GO Biological Process	GO:0000271	Polysaccharide biosynthetic process	6	24	7.32e-10	8.14e-7	12
cluster_11	GO Biological Process	GO:0005975	Carbohydrate metabolic process	7	115	1.53e-7	4.25e-5	12
cluster_11	GO Biological Process	GO:0009059	Macromolecule biosynthetic process	7	196	5.08e-6	0.0011	12
cluster_11	GO Biological Process	GO:0009058	Biosynthetic process	10	588	7.13e-6	0.0013	12
cluster_11	GO Biological Process	GO:1901576	Organic substance biosynthetic process	9	566	6.7e-5	0.0106	12
cluster_11	UniProt Keywords	KW-0808	Transferase	7	342	1.8e-4	0.0394	12
cluster_11	Pfam	PF02397	Bacterial sugar transferase	2	2	9.81e-5	0.0474	12
cluster_12	KEGG Pathways	syp02024	Quorum sensing	11	36	7.480000000000001e-21	7.26e-19	11
cluster_12	STRING Clusters	CL:4462	Mixed, incl. Nickel cation binding, and Quorum sensing	11	46	7.93e-20	5.13e-17	11
cluster_12	Reactome Pathways	MAP-1222499	Latent infection - Other responses of Mtb to phagocytosis	9	39	2.8e-15	4.49e-14	11
cluster_12	Reactome Pathways	MAP-1643685	Disease	9	60	9.35e-14	4.23e-13	11
cluster_12	Reactome Pathways	MAP-5663205	Infectious disease	9	57	6.12e-14	4.23e-13	11
cluster_12	Reactome Pathways	MAP-9635486	Infection with Mycobacterium tuberculosis	9	56	5.29e-14	4.23e-13	11
cluster_12	STRING Clusters	CL:4535	Mixed, incl. ABC transporter type 1, GsiC-like, N-terminal domain, and Oligopeptide/dipeptide ABC transporter, C-terminal	6	6	5.91e-13	1.27e-10	11
cluster_12	GO Biological Process	GO:0006810	Transport	11	309	3.26e-11	3.63e-8	11
cluster_12	Pfam	PF00528	Binding-protein-dependent transport system inner membrane component	6	19	1.11e-10	5.36e-8	11
cluster_12	InterPro Domains	IPR000515	ABC transporter type 1, transmembrane domain MetI-like	6	19	1.11e-10	1.32e-7	11
cluster_12	InterPro Domains	IPR035906	MetI-like superfamily	6	19	1.11e-10	1.32e-7	11
cluster_12	GO Cellular Component	GO:0005886	Plasma membrane	11	457	2.26e-9	3.23e-7	11
cluster_12	UniProt Keywords	KW-0813	Transport	8	134	4.76e-9	1.02e-6	11
cluster_12	GO Biological Process	GO:0055085	Transmembrane transport	9	235	1.07e-8	2.97e-6	11
cluster_12	GO Molecular Function	GO:0022857	Transmembrane transporter activity	8	201	1.05e-7	6.27e-5	11
cluster_12	UniProt Keywords	KW-1003	Cell membrane	6	94	6.66e-7	7.13e-5	11
cluster_12	GO Biological Process	GO:0015833	Peptide transport	3	3	8.65e-7	1.9e-4	11
cluster_12	Pfam	PF00496	Bacterial extracellular solute-binding proteins, family 5 Middle	3	3	8.65e-7	2.1e-4	11
cluster_12	GO Molecular Function	GO:1904680	Peptide transmembrane transporter activity	3	4	1.51e-6	3e-4	11
cluster_12	InterPro Domains	IPR000914	Solute-binding protein family 5 domain	3	3	8.65e-7	3.4e-4	11
cluster_12	InterPro Domains	IPR030678	Peptide/nickel binding protein, MppA-type	3	3	8.65e-7	3.4e-4	11
cluster_12	InterPro Domains	IPR039424	Solute-binding protein family 5	3	3	8.65e-7	3.4e-4	11
cluster_12	InterPro Domains	IPR045621	ABC transporter type 1, GsiC-like, N-terminal domain	3	3	8.65e-7	3.4e-4	11
cluster_12	GO Cellular Component	GO:0016021	Integral component of membrane	9	689	1.1e-4	0.0026	11
cluster_12	GO Cellular Component	GO:0043190	ATP-binding cassette (ABC) transporter complex	3	20	7.39e-5	0.0026	11
cluster_12	Pfam	PF08352	Oligopeptide/dipeptide transporter, C-terminal region	2	2	8.19e-5	0.0132	11
cluster_12	Pfam	PF12911	N-terminal TM domain of oligopeptide transport permease C	2	2	8.19e-5	0.0132	11
cluster_12	GO Cellular Component	GO:0042597	Periplasmic space	3	52	0.001	0.0133	11
cluster_12	InterPro Domains	IPR013563	Oligopeptide/dipeptide ABC transporter, C-terminal	2	2	8.19e-5	0.0139	11
cluster_12	InterPro Domains	IPR025966	Oligopeptide transport permease C-like, N-terminal domain	2	2	8.19e-5	0.0139	11
cluster_13	STRING Clusters	CL:2846	DNA damage, and Mismatch repair	11	29	9.93e-22	6.43e-19	11
cluster_13	STRING Clusters	CL:2847	DNA damage, and RecJ, OB domain	10	15	3.95e-21	1.28e-18	11
cluster_13	GO Biological Process	GO:0006281	DNA repair	9	39	2.8e-15	3.12e-12	11
cluster_13	GO Biological Process	GO:0006950	Response to stress	10	80	6.76e-15	3.76e-12	11
cluster_13	GO Biological Process	GO:0051716	Cellular response to stimulus	10	148	2.31e-12	5.14e-10	11
cluster_13	STRING Clusters	CL:2866	NUDIX domain, and RecJ, OB domain	5	5	7.6e-11	9.84e-9	11
cluster_13	GO Biological Process	GO:0006139	Nucleobase-containing compound metabolic process	11	386	3.61e-10	5.02e-8	11
cluster_13	UniProt Keywords	KW-0227	DNA damage	6	23	2.96e-10	6.34e-8	11
cluster_13	GO Molecular Function	GO:0140097	Catalytic activity, acting on DNA	7	54	4.65e-10	2.79e-7	11
cluster_13	KEGG Pathways	syp03440	Homologous recombination	5	19	1.25e-8	1.21e-6	11
cluster_13	UniProt Keywords	KW-0234	DNA repair	5	22	2.36e-8	2.53e-6	11
cluster_13	UniProt Keywords	KW-0742	SOS response	4	8	5.99e-8	4.28e-6	11
cluster_13	GO Biological Process	GO:0006310	DNA recombination	5	27	5.84e-8	4.64e-6	11
cluster_13	GO Biological Process	GO:0009432	SOS response	4	10	1.21e-7	8.39e-6	11
cluster_13	COMPARTMENTS	GOCC:1905347	Endodeoxyribonuclease complex	4	7	4e-8	1.05e-5	11
cluster_13	UniProt Keywords	KW-0378	Hydrolase	7	203	2.84e-6	1.5e-4	11
cluster_13	GO Molecular Function	GO:0016787	Hydrolase activity	9	426	1.81e-6	3.6e-4	11
cluster_13	KEGG Pathways	syp03410	Base excision repair	3	9	9.4e-6	4.6e-4	11
cluster_13	GO Cellular Component	GO:1905347	Endodeoxyribonuclease complex	3	6	3.61e-6	5.2e-4	11
cluster_13	UniProt Keywords	KW-0233	DNA recombination	3	11	1.55e-5	6.6e-4	11
cluster_13	GO Molecular Function	GO:0004518	Nuclease activity	5	80	8.65e-6	0.0012	11
cluster_13	GO Molecular Function	GO:0004520	Endodeoxyribonuclease activity	3	11	1.55e-5	0.0012	11
cluster_13	GO Molecular Function	GO:0016462	Pyrophosphatase activity	5	78	7.69e-6	0.0012	11
cluster_13	GO Molecular Function	GO:0003676	Nucleic acid binding	7	315	5.05e-5	0.003	11
cluster_13	GO Molecular Function	GO:0008413	8-oxo-7,8-dihydroguanosine triphosphate pyrophosphatase activity	2	2	8.19e-5	0.0041	11
cluster_13	InterPro Domains	IPR015797	NUDIX hydrolase-like domain superfamily	3	6	3.61e-6	0.0043	11
cluster_13	UniProt Keywords	KW-0228	DNA excision	2	3	1.4e-4	0.0049	11
cluster_13	UniProt Keywords	KW-0267	Excision nuclease	2	3	1.4e-4	0.0049	11
cluster_13	UniProt Keywords	KW-0540	Nuclease	3	28	1.8e-4	0.0049	11
cluster_13	GO Molecular Function	GO:0008409	5-3 exonuclease activity	2	3	1.4e-4	0.0063	11
cluster_13	COMPARTMENTS	GOCC:0048476	Holliday junction resolvase complex	2	2	8.19e-5	0.0071	11
cluster_13	UniProt Keywords	KW-0269	Exonuclease	2	6	3.8e-4	0.009	11
cluster_13	GO Molecular Function	GO:0009381	Excinuclease ABC activity	2	5	2.8e-4	0.0122	11
cluster_13	GO Biological Process	GO:0006289	Nucleotide-excision repair	2	6	3.8e-4	0.015	11
cluster_13	GO Molecular Function	GO:0005488	Binding	10	1079	4.9e-4	0.0184	11
cluster_13	COMPARTMENTS	GOCC:0009380	Excinuclease repair complex	2	5	2.8e-4	0.0186	11
cluster_13	KEGG Pathways	syp03420	Nucleotide excision repair	2	8	6.1e-4	0.0196	11
cluster_13	GO Cellular Component	GO:0009380	Excinuclease repair complex	2	5	2.8e-4	0.0204	11
cluster_13	GO Molecular Function	GO:0016887	ATP hydrolysis activity	3	45	6.8e-4	0.0217	11
cluster_13	GO Molecular Function	GO:0140657	ATP-dependent activity	4	108	6.2e-4	0.0217	11
cluster_13	GO Molecular Function	GO:0003824	Catalytic activity	11	1469	7.7e-4	0.0232	11
cluster_13	Pfam	PF01368	DHH family	2	3	1.4e-4	0.0395	11
cluster_13	Pfam	PF02272	DHHA1 domain	2	3	1.4e-4	0.0395	11
cluster_13	Pfam	PF14815	NUDIX domain	2	2	8.19e-5	0.0395	11
cluster_13	STRING Clusters	CL:2849	Mixed, incl. Holliday junction helicase complex, and ATP-dependent DNA helicase RecG/Transcription-repair-coupling factor	2	6	3.8e-4	0.0408	11
cluster_13	GO Molecular Function	GO:0097159	Organic cyclic compound binding	8	736	0.0016	0.047	11
cluster_13	GO Molecular Function	GO:1901363	Heterocyclic compound binding	8	736	0.0016	0.047	11
cluster_13	InterPro Domains	IPR000086	NUDIX hydrolase domain	2	5	2.8e-4	0.0485	11
cluster_13	InterPro Domains	IPR001667	DDH domain	2	3	1.4e-4	0.0485	11
cluster_13	InterPro Domains	IPR003156	DHHA1 domain	2	3	1.4e-4	0.0485	11
cluster_13	InterPro Domains	IPR004610	Bacterial RecJ exonuclease	2	2	8.19e-5	0.0485	11
cluster_13	InterPro Domains	IPR020476	NUDIX hydrolase	2	3	1.4e-4	0.0485	11
cluster_13	InterPro Domains	IPR029119	Adenine DNA glycosylase, C-terminal	2	2	8.19e-5	0.0485	11
cluster_13	InterPro Domains	IPR038763	DHH phosphoesterase superfamily	2	3	1.4e-4	0.0485	11
cluster_13	InterPro Domains	IPR041122	RecJ, OB domain	2	2	8.19e-5	0.0485	11
cluster_13	KEGG Pathways	syp03430	Mismatch repair	2	16	0.002	0.0491	11
cluster_14	STRING Clusters	CL:3379	Citrate cycle (TCA cycle), and FAD/NAD(P)-binding domain	7	20	9.89e-13	6.4e-10	11
cluster_14	STRING Clusters	CL:3314	Carbon metabolism, and Aldehyde dehydrogenase family	8	58	8.78e-12	1.89e-9	11
cluster_14	KEGG Pathways	syp00020	Citrate cycle (TCA cycle)	6	14	2.45e-11	2.38e-9	11
cluster_14	KEGG Pathways	syp00660	C5-Branched dibasic acid metabolism	5	8	3.86e-10	1.87e-8	11
cluster_14	KEGG Pathways	syp01110	Biosynthesis of secondary metabolites	10	263	5.96e-10	1.93e-8	11
cluster_14	KEGG Pathways	syp01120	Microbial metabolism in diverse environments	8	110	1.06e-9	2.58e-8	11
cluster_14	KEGG Pathways	syp01200	Carbon metabolism	7	67	1.89e-9	3.66e-8	11
cluster_14	KEGG Pathways	syp01100	Metabolic pathways	11	550	1.69e-8	2.73e-7	11
cluster_14	InterPro Domains	IPR029061	Thiamin diphosphate-binding fold	5	8	3.86e-10	4.58e-7	11
cluster_14	KEGG Pathways	syp00650	Butanoate metabolism	4	8	5.99e-8	8.31e-7	11
cluster_14	Pfam	PF02775	Thiamine pyrophosphate enzyme, C-terminal TPP binding domain	4	5	1.54e-8	7.41e-6	11
cluster_14	UniProt Keywords	KW-0786	Thiamine pyrophosphate	4	7	4e-8	8.57e-6	11
cluster_14	UniProt Keywords	KW-0670	Pyruvate	4	10	1.21e-7	1.29e-5	11
cluster_14	KEGG Pathways	syp00620	Pyruvate metabolism	4	20	1.26e-6	1.52e-5	11
cluster_14	KEGG Pathways	syp01210	2-Oxocarboxylic acid metabolism	4	21	1.49e-6	1.61e-5	11
cluster_14	STRING Clusters	CL:3381	Citrate cycle (TCA cycle), and Lysine degradation	4	12	2.19e-7	2.02e-5	11
cluster_14	KEGG Pathways	syp00010	Glycolysis / Gluconeogenesis	4	24	2.4e-6	2.33e-5	11
cluster_14	KEGG Pathways	syp00640	Propanoate metabolism	3	10	1.22e-5	1.1e-4	11
cluster_14	KEGG Pathways	syp00290	Valine, leucine and isoleucine biosynthesis	3	13	2.37e-5	1.9e-4	11
cluster_14	GO Molecular Function	GO:0016903	Oxidoreductase activity, acting on the aldehyde or oxo group of donors	4	14	3.66e-7	2.2e-4	11
cluster_14	GO Molecular Function	GO:0030976	Thiamine pyrophosphate binding	3	5	2.41e-6	7.2e-4	11
cluster_14	InterPro Domains	IPR011766	Thiamine pyrophosphate enzyme, TPP-binding	3	4	1.51e-6	9e-4	11
cluster_14	STRING Clusters	CL:3209	Valine, leucine and isoleucine biosynthesis	3	12	1.93e-5	0.0016	11
cluster_14	KEGG Pathways	syp01230	Biosynthesis of amino acids	4	90	3.1e-4	0.0023	11
cluster_14	GO Biological Process	GO:0006099	Tricarboxylic acid cycle	3	8	7.06e-6	0.0079	11
cluster_14	GO Biological Process	GO:0006637	acyl-CoA metabolic process	3	11	1.55e-5	0.0086	11
cluster_14	GO Biological Process	GO:0044281	Small molecule metabolic process	8	416	2.57e-5	0.0086	11
cluster_14	GO Molecular Function	GO:0004739	Pyruvate dehydrogenase (acetyl-transferring) activity	2	2	8.19e-5	0.0098	11
cluster_14	GO Molecular Function	GO:0004775	succinate-CoA ligase (ADP-forming) activity	2	2	8.19e-5	0.0098	11
cluster_14	KEGG Pathways	syp00770	Pantothenate and CoA biosynthesis	2	14	0.0016	0.0111	11
cluster_14	GO Molecular Function	GO:0046872	Metal ion binding	7	387	1.9e-4	0.0114	11
cluster_14	GO Cellular Component	GO:0005948	Acetolactate synthase complex	2	2	8.19e-5	0.0117	11
cluster_14	GO Cellular Component	GO:0042709	succinate-CoA ligase complex	2	2	8.19e-5	0.0117	11
cluster_14	GO Cellular Component	GO:1902494	Catalytic complex	4	66	9.89e-5	0.0117	11
cluster_14	GO Biological Process	GO:0006086	acetyl-CoA biosynthetic process from pyruvate	2	3	1.4e-4	0.0155	11
cluster_14	GO Biological Process	GO:0006090	Pyruvate metabolic process	3	21	8.43e-5	0.0155	11
cluster_14	GO Biological Process	GO:0019752	Carboxylic acid metabolic process	6	215	6.97e-5	0.0155	11
cluster_14	GO Biological Process	GO:0032787	Monocarboxylic acid metabolic process	4	63	8.32e-5	0.0155	11
cluster_14	STRING Clusters	CL:3211	Valine metabolic process	2	5	2.8e-4	0.0184	11
cluster_14	STRING Clusters	CL:3383	succinate-CoA ligase complex, and Butanoate metabolism	2	5	2.8e-4	0.0184	11
cluster_14	STRING Clusters	CL:3408	acetyl-CoA biosynthetic process from pyruvate, and Lysine degradation	2	5	2.8e-4	0.0184	11
cluster_14	Pfam	PF00205	Thiamine pyrophosphate enzyme, central domain	2	2	8.19e-5	0.0198	11
cluster_14	COMPARTMENTS	GOCC:0005948	Acetolactate synthase complex	2	3	1.4e-4	0.0214	11
cluster_14	COMPARTMENTS	GOCC:0042709	succinate-CoA ligase complex	2	2	8.19e-5	0.0214	11
cluster_14	Pfam	PF02776	Thiamine pyrophosphate enzyme, N-terminal TPP binding domain	2	3	1.4e-4	0.0219	11
cluster_14	GO Molecular Function	GO:0003824	Catalytic activity	11	1469	7.7e-4	0.0309	11
cluster_14	InterPro Domains	IPR009014	Transketolase C-terminal/Pyruvate-ferredoxin oxidoreductase domain II	2	4	2e-4	0.0324	11
cluster_14	InterPro Domains	IPR012000	Thiamine pyrophosphate enzyme, central domain	2	2	8.19e-5	0.0324	11
cluster_14	InterPro Domains	IPR012001	Thiamine pyrophosphate enzyme, N-terminal TPP-binding domain	2	3	1.4e-4	0.0324	11
cluster_14	InterPro Domains	IPR016102	Succinyl-CoA synthetase-like	2	3	1.4e-4	0.0324	11
cluster_14	InterPro Domains	IPR029035	DHS-like NAD/FAD-binding domain superfamily	2	3	1.4e-4	0.0324	11
cluster_14	InterPro Domains	IPR045229	Thiamine pyrophosphate enzyme	2	2	8.19e-5	0.0324	11
cluster_14	UniProt Keywords	KW-0560	Oxidoreductase	4	101	4.8e-4	0.0343	11
cluster_14	GO Biological Process	GO:0008152	Metabolic process	11	1469	7.7e-4	0.041	11
cluster_14	GO Biological Process	GO:0006091	Generation of precursor metabolites and energy	4	122	9.6e-4	0.0487	11
cluster_15	STRING Clusters	CL:773	Mostly uncharacterized, incl. SGNH hydrolase superfamily, and S-layer homology domain	10	35	3.83e-18	2.48e-15	11
cluster_15	STRING Clusters	CL:777	Mostly uncharacterized, incl. SGNH hydrolase superfamily, and S-layer homology domain	9	21	2.42e-17	7.83e-15	11
cluster_15	STRING Clusters	CL:780	Mostly uncharacterized, incl. Heterocyst differentiation, and Subtilase family	7	15	1.91e-13	2.06e-11	11
cluster_15	STRING Clusters	CL:784	Mixed, incl. Heterocyst differentiation, and SGNH hydrolase superfamily	4	7	4e-8	3.7e-6	11
cluster_16	STRING Clusters	CL:3575	Prosthetic group metabolic process	8	8	2.06e-17	1.33e-14	11
cluster_16	GO Biological Process	GO:0006777	Mo-molybdopterin cofactor biosynthetic process	8	8	2.06e-17	2.29e-14	11
cluster_16	STRING Clusters	CL:3545	Mixed, incl. Prosthetic group metabolic process, and Thiamine diphosphate metabolic process	9	25	8.85e-17	2.86e-14	11
cluster_16	KEGG Pathways	syp04122	Sulfur relay system	7	12	5.67e-14	5.5e-12	11
cluster_16	KEGG Pathways	syp00790	Folate biosynthesis	6	20	1.44e-10	6.99e-9	11
cluster_16	UniProt Keywords	KW-0501	Molybdenum cofactor biosynthesis	5	5	7.6e-11	1.63e-8	11
cluster_16	GO Biological Process	GO:0046483	Heterocycle metabolic process	9	498	6.89e-6	6.4e-4	11
cluster_16	GO Biological Process	GO:1901360	Organic cyclic compound metabolic process	9	509	8.31e-6	7.1e-4	11
cluster_16	GO Biological Process	GO:0043170	Macromolecule metabolic process	9	612	3.97e-5	0.0029	11
cluster_16	GO Cellular Component	GO:0005829	Cytosol	6	217	7.34e-5	0.0105	11
cluster_16	GO Biological Process	GO:0044238	Primary metabolic process	10	972	1.8e-4	0.0127	11
cluster_16	SMART Domains	SM00852	Probable molybdopterin binding domain	2	3	1.4e-4	0.0144	11
cluster_17	STRING Clusters	CL:97	Mixed, incl. Mo-dependent nitrogenase C-terminus, and Regulation of endocytosis	5	16	6.02e-9	3.89e-6	11
cluster_17	STRING Clusters	CL:90	Mixed, incl. Coiled coil, and Transmembrane helix	6	109	1.54e-6	2e-4	11
cluster_17	STRING Clusters	CL:100	Mixed, incl. TerB-like, and Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily	2	5	2.8e-4	0.0153	11
cluster_17	STRING Clusters	CL:116	Mixed, incl. Regulation of endocytosis, and SpoVT-AbrB domain superfamily	2	5	2.8e-4	0.0153	11
cluster_18	STRING Clusters	CL:2324	Mixed, incl. Response to virus, and Antiviral defense	10	14	2.17e-22	1.4e-19	10
cluster_18	STRING Clusters	CL:2328	Response to virus	5	6	7.62e-11	1.23e-8	10
cluster_18	GO Biological Process	GO:0051607	Defense response to virus	5	6	7.62e-11	8.47e-8	10
cluster_19	STRING Clusters	CL:2639	Aminoacyl-tRNA synthetase	9	16	6.35e-19	4.11e-16	10
cluster_19	UniProt Keywords	KW-0030	Aminoacyl-tRNA synthetase	9	21	4.44e-18	9.51e-16	10
cluster_19	KEGG Pathways	syp00970	Aminoacyl-tRNA biosynthesis	9	25	1.63e-17	1.58e-15	10
cluster_19	GO Molecular Function	GO:0004812	aminoacyl-tRNA ligase activity	9	23	8.71e-18	5.21e-15	10
cluster_19	GO Biological Process	GO:0006418	tRNA aminoacylation for protein translation	9	22	6.26e-18	6.96e-15	10
cluster_19	UniProt Keywords	KW-0648	Protein biosynthesis	9	43	1.13e-15	1.21e-13	10
cluster_19	STRING Clusters	CL:2640	Aminoacyl-tRNA synthetase	7	10	8.02e-15	2.59e-12	10
cluster_19	STRING Clusters	CL:2402	Translation, and Ribonucleoside triphosphate biosynthetic process	10	138	1.13e-13	2.43e-11	10
cluster_19	UniProt Keywords	KW-0067	ATP-binding	10	213	7.56e-12	4.05e-10	10
cluster_19	GO Molecular Function	GO:0005524	ATP binding	10	298	2.02e-10	1.73e-8	10
cluster_19	UniProt Keywords	KW-0963	Cytoplasm	9	229	1.68e-9	5.99e-8	10
cluster_19	GO Molecular Function	GO:0002161	aminoacyl-tRNA editing activity	4	6	1.63e-8	5.14e-7	10
cluster_19	STRING Clusters	CL:2642	Aminoacyl-tRNA synthetase, class Ia, anticodon-binding	4	5	9.8e-9	1.06e-6	10
cluster_19	InterPro Domains	IPR001412	Aminoacyl-tRNA synthetase, class I, conserved site	4	6	1.63e-8	1.93e-5	10
cluster_19	InterPro Domains	IPR009080	Aminoacyl-tRNA synthetase, class Ia, anticodon-binding	4	6	1.63e-8	1.93e-5	10
cluster_19	InterPro Domains	IPR014729	Rossmann-like alpha/beta/alpha sandwich fold	5	30	5.16e-8	2.04e-5	10
cluster_19	InterPro Domains	IPR002300	Aminoacyl-tRNA synthetase, class Ia	3	3	6.3e-7	1.9e-4	10
cluster_19	InterPro Domains	IPR009008	Valyl/Leucyl/Isoleucyl-tRNA synthetase, editing domain	3	3	6.3e-7	1.9e-4	10
cluster_19	InterPro Domains	IPR013155	Methionyl/Valyl/Leucyl/Isoleucyl-tRNA synthetase, anticodon-binding	3	3	6.3e-7	1.9e-4	10
cluster_19	Pfam	PF08264	Anticodon-binding domain of tRNA ligase	3	3	6.3e-7	3e-4	10
cluster_19	Pfam	PF09334	tRNA synthetases class I (M)	3	4	1.1e-6	3e-4	10
cluster_19	Pfam	PF13603	Leucyl-tRNA synthetase, Domain 2	3	3	6.3e-7	3e-4	10
cluster_19	GO Molecular Function	GO:0004814	arginine-tRNA ligase activity	2	2	6.71e-5	0.0017	10
cluster_19	GO Molecular Function	GO:0004826	phenylalanine-tRNA ligase activity	2	2	6.71e-5	0.0017	10
cluster_19	GO Biological Process	GO:0006420	arginyl-tRNA aminoacylation	2	2	6.71e-5	0.002	10
cluster_19	GO Biological Process	GO:0006432	phenylalanyl-tRNA aminoacylation	2	2	6.71e-5	0.002	10
cluster_19	GO Cellular Component	GO:0005737	Cytoplasm	10	931	1.58e-5	0.0023	10
cluster_19	GO Molecular Function	GO:0000049	tRNA binding	3	26	1.1e-4	0.0024	10
cluster_19	InterPro Domains	IPR045864	Class II Aminoacyl-tRNA synthetase/Biotinyl protein ligase (BPL) and lipoyl protein ligase (LPL)	3	15	2.52e-5	0.0043	10
cluster_19	COMPARTMENTS	GOCC:0005622	Intracellular	10	1011	3.59e-5	0.005	10
cluster_19	COMPARTMENTS	GOCC:0005737	Cytoplasm	9	668	1.92e-5	0.005	10
cluster_19	InterPro Domains	IPR008909	DALR anticodon binding	2	2	6.71e-5	0.0099	10
cluster_19	GO Molecular Function	GO:0003723	RNA binding	4	116	5.3e-4	0.0113	10
cluster_19	InterPro Domains	IPR010978	Class I and II aminoacyl-tRNA synthetase, tRNA-binding arm	2	3	1.1e-4	0.0147	10
cluster_19	STRING Clusters	CL:2659	Mixed, incl. glycyl-tRNA aminoacylation, and histidine-tRNA ligase activity	2	6	3.1e-4	0.0287	10
cluster_19	GO Molecular Function	GO:0003824	Catalytic activity	10	1469	0.0015	0.0296	10
cluster_19	GO Biological Process	GO:0065007	Biological regulation	5	288	0.0019	0.0492	10
cluster_2	STRING Clusters	CL:1665	Signaling, and GGDEF domain	82	102	2.8399999999999996e-99	1.8399999999999997e-96	88
cluster_2	STRING Clusters	CL:1666	Signaling, and GGDEF domain	80	92	1.9100000000000002e-97	6.19e-95	88
cluster_2	STRING Clusters	CL:1668	Signaling, and GGDEF domain	75	78	6.12e-91	7.92e-89	88
cluster_2	STRING Clusters	CL:1669	Signaling	62	64	4.97e-71	4.5999999999999996e-69	88
cluster_2	GO Biological Process	GO:0007165	Signal transduction	62	77	1.5599999999999998e-67	1.74e-64	88
cluster_2	GO Biological Process	GO:0050794	Regulation of cellular process	76	215	4.4199999999999995e-67	1.74e-64	88
cluster_2	GO Biological Process	GO:0050789	Regulation of biological process	77	258	1.18e-63	2.6199999999999997e-61	88
cluster_2	GO Biological Process	GO:0000160	Phosphorelay signal transduction system	56	65	8.259999999999999e-61	1.53e-58	88
cluster_2	STRING Clusters	CL:1670	Phosphorelay signal transduction system	45	47	1.13e-48	9.149999999999999e-47	88
cluster_2	SMART Domains	SM00448	cheY-homologous receiver domain	44	47	3.5499999999999996e-47	3.76e-45	88
cluster_2	InterPro Domains	IPR011006	CheY-like superfamily	45	50	7.64e-48	9.06e-45	88
cluster_2	InterPro Domains	IPR001789	Signal transduction response regulator, receiver domain	44	47	3.5499999999999996e-47	2.11e-44	88
cluster_2	UniProt Keywords	KW-0597	Phosphoprotein	45	60	2.52e-45	5.3799999999999996e-43	88
cluster_2	STRING Clusters	CL:1673	His Kinase A (phosphoacceptor) domain, and Transcriptional regulatory protein WalR-like	41	42	3.81e-44	2.7399999999999998e-42	88
cluster_2	STRING Clusters	CL:1674	His Kinase A (phosphoacceptor) domain, and cheY-homologous receiver domain	35	36	3.5099999999999995e-37	2.2699999999999997e-35	88
cluster_2	GO Molecular Function	GO:0000155	Phosphorelay sensor kinase activity	33	37	4.25e-34	2.55e-31	88
cluster_2	GO Molecular Function	GO:0004672	Protein kinase activity	35	57	3.21e-32	3.84e-30	88
cluster_2	InterPro Domains	IPR036890	Histidine kinase/HSP90-like ATPase superfamily	31	38	4.2e-31	1.66e-28	88
cluster_2	GO Molecular Function	GO:0016772	Transferase activity, transferring phosphorus-containing groups	45	162	3.81e-30	3.8000000000000005e-28	88
cluster_2	SMART Domains	SM00387	Histidine kinase-like ATPases	29	34	2.0600000000000002e-29	1.09e-27	88
cluster_2	InterPro Domains	IPR005467	Histidine kinase domain	29	32	6.1599999999999994e-30	1.83e-27	88
cluster_2	InterPro Domains	IPR003594	Histidine kinase/HSP90-like ATPase	29	35	3.69e-29	8.750000000000001e-27	88
cluster_2	InterPro Domains	IPR036097	Signal transduction histidine kinase, dimerisation/phosphoacceptor domain superfamily	28	31	7.58e-29	1.5e-26	88
cluster_2	InterPro Domains	IPR004358	Signal transduction histidine kinase-related protein, C-terminal	27	30	9.200000000000001e-28	1.56e-25	88
cluster_2	STRING Clusters	CL:1676	His Kinase A (phosphoacceptor) domain, and cheY-homologous receiver domain	26	27	3.1300000000000002e-27	1.84e-25	88
cluster_2	GO Biological Process	GO:0018106	Peptidyl-histidine phosphorylation	27	32	3.0400000000000004e-27	3.08e-25	88
cluster_2	SMART Domains	SM00388	His Kinase A (phosphoacceptor) domain	26	29	1.1e-26	3.88e-25	88
cluster_2	InterPro Domains	IPR003661	Signal transduction histidine kinase, dimerisation/phosphoacceptor domain	26	29	1.1e-26	1.63e-24	88
cluster_2	GO Molecular Function	GO:0016301	Kinase activity	36	109	1.1799999999999999e-25	8.809999999999999e-24	88
cluster_2	GO Biological Process	GO:0006468	Protein phosphorylation	28	47	3.1e-25	2.6599999999999997e-23	88
cluster_2	KEGG Pathways	syp02020	Two-component system	28	52	2.59e-24	2.51e-22	88
