Geneid	Chr	Start	End	Strand	Length	15percent_7002-5_CO2-RNA-seq	15percent_7002-6_CO2-RNA-seq	15percent_7002-7_CO2-RNA-seq	15percent_7002-8_CO2-RNA-seq	1percent_7002-1_CO2-RNA-seq	1percent_7002-2_CO2-RNA-seq	1percent_7002-3_CO2-RNA-seq	1percent_7002-4_CO2-RNA-seq
gene-SYNPCC7002_RS03385	NC_010475.1	706286	706729	+	444	10050	8615	9290	19004	17191	12267	10252	15142
gene-SYNPCC7002_RS03390	NC_010475.1	706817	707653	+	837	953	828	997	1953	1798	1333	927	1518
gene-SYNPCC7002_RS03395	NC_010475.1	707723	708391	+	669	894	736	909	1918	1662	1233	851	1138
gene-SYNPCC7002_RS03400	NC_010475.1	708549	708926	+	378	691	594	726	1476	1796	1369	965	1535
gene-SYNPCC7002_RS03405	NC_010475.1	708930	709739	+	810	981	773	1068	1911	2249	1800	1228	2020
gene-SYNPCC7002_RS03410	NC_010475.1	709762	711282	-	1521	8268	6568	7834	15661	13152	9921	7454	11644
gene-SYNPCC7002_RS03415	NC_010475.1	711498	711926	-	429	77248	75774	77841	161906	112434	108862	77211	130599
gene-SYNPCC7002_RS03420	NC_010475.1	712243	713127	+	885	1055	773	957	1985	1452	1614	1257	2081
gene-SYNPCC7002_RS03425	NC_010475.1	713150	714055	-	906	2208	1718	1870	3799	4779	3366	2511	3890
gene-SYNPCC7002_RS03430	NC_010475.1	714052	714510	-	459	963	829	947	1784	2612	1923	1355	2068
gene-SYNPCC7002_RS03435	NC_010475.1	714555	715337	-	783	2440	2233	2457	5237	6543	4457	3088	4944
gene-SYNPCC7002_RS03440	NC_010475.1	715348	715881	-	534	2750	2438	2721	5441	6770	4573	3320	5593
gene-SYNPCC7002_RS03445	NC_010475.1	715964	716485	-	522	719	638	809	1128	2291	1699	1367	1983
gene-SYNPCC7002_RS03450	NC_010475.1	716577	718787	-	2211	3302	2984	3660	7457	8078	6664	4317	8231
gene-SYNPCC7002_RS03455	NC_010475.1	718941	720329	-	1389	1976	1866	2064	4280	5379	3602	2328	3882
gene-SYNPCC7002_RS03460	NC_010475.1	720376	721473	-	1098	971	917	1103	2267	3015	1548	1098	1782
gene-SYNPCC7002_RS03465	NC_010475.1	721449	721703	-	255	923	736	887	1898	2400	1211	854	1232
gene-SYNPCC7002_RS03470	NC_010475.1	721700	722836	-	1137	7783	6550	7748	17308	17610	10296	6780	11875
gene-SYNPCC7002_RS03475	NC_010475.1	722958	724913	-	1956	7358	6250	7210	14279	18483	13138	9451	15482
gene-SYNPCC7002_RS03480	NC_010475.1	725030	725779	-	750	15714	13284	15294	30673	38329	28118	19263	33124
gene-SYNPCC7002_RS03485	NC_010475.1	726189	728210	+	2022	3439	3220	3405	7337	11018	9960	6380	11274
gene-SYNPCC7002_RS03490	NC_010475.1	728330	729436	+	1107	3048	2875	3099	6104	5872	6119	4307	6988
gene-SYNPCC7002_RS03495	NC_010475.1	729503	730741	+	1239	4909	4229	4881	9371	10468	8927	6830	10839
gene-SYNPCC7002_RS03500	NC_010475.1	730750	731307	+	558	1647	1353	1696	3415	3806	3151	2242	3847
gene-SYNPCC7002_RS03505	NC_010475.1	731304	732380	-	1077	720	595	710	1434	1551	977	775	1213
gene-SYNPCC7002_RS03510	NC_010475.1	732408	733571	-	1164	1109	901	1085	1989	2445	1674	1217	1873
gene-SYNPCC7002_RS03515	NC_010475.1	733641	734567	+	927	1224	1076	1171	2642	3729	2424	1892	2842
gene-SYNPCC7002_RS03520	NC_010475.1	734570	735340	-	771	405	325	404	752	1322	794	620	825
gene-SYNPCC7002_RS03525	NC_010475.1	735424	736446	-	1023	3514	2998	3222	6403	8070	5229	4148	5819
gene-SYNPCC7002_RS03530	NC_010475.1	736509	737351	-	843	2302	1991	2359	4866	4903	3551	2343	3972
gene-SYNPCC7002_RS03535	NC_010475.1	737601	738680	-	1080	73540	65556	72431	141512	107768	128511	88838	170703
gene-SYNPCC7002_RS03540	NC_010475.1	738969	740762	-	1794	32158	22810	24946	50327	156378	76427	51713	79215
gene-SYNPCC7002_RS03545	NC_010475.1	741040	741534	+	495	427	485	376	1094	1232	1217	759	1351
gene-SYNPCC7002_RS03550	NC_010475.1	741531	742811	-	1281	10357	9065	10017	20932	22561	15558	11320	18730
gene-SYNPCC7002_RS16940	NC_010475.1	742816	742989	-	174	1725	1663	1917	3951	4738	3333	2393	3602
gene-SYNPCC7002_RS03555	NC_010475.1	743051	744850	-	1800	6482	5335	6027	12410	15103	10935	7070	13616
gene-SYNPCC7002_RS03560	NC_010475.1	744877	745632	-	756	652	536	620	1413	1376	942	682	1230
gene-SYNPCC7002_RS03565	NC_010475.1	745642	746475	-	834	931	885	1011	2063	2014	1390	944	1716
gene-SYNPCC7002_RS03570	NC_010475.1	746668	747708	+	1041	2349	2138	2495	5006	7242	5463	3527	6341
gene-SYNPCC7002_RS03575	NC_010475.1	747743	748039	+	297	1665	1583	1606	4077	4635	3374	2294	3827
gene-SYNPCC7002_RS03580	NC_010475.1	748071	748535	-	465	523	458	537	1057	1406	1034	594	1177
gene-SYNPCC7002_RS03585	NC_010475.1	748609	749772	-	1164	3832	3325	3721	7717	9995	6829	4543	7721
gene-SYNPCC7002_RS03590	NC_010475.1	749796	751154	-	1359	4263	4025	4499	9135	9144	6560	4727	7676
gene-SYNPCC7002_RS03595	NC_010475.1	751262	751711	-	450	690	540	593	1210	2014	1353	946	1436
gene-SYNPCC7002_RS03600	NC_010475.1	751864	752406	+	543	961	835	1003	1868	2583	1869	1644	2601
gene-SYNPCC7002_RS03605	NC_010475.1	752950	753807	+	858	2955	2968	3081	6632	8603	6590	4209	7986
gene-SYNPCC7002_RS03610	NC_010475.1	753808	755298	-	1491	2664	2284	2642	5508	9326	8064	5399	7987
gene-SYNPCC7002_RS03615	NC_010475.1	755384	755977	-	594	1173	1133	1186	2613	5083	3587	2294	3752
gene-SYNPCC7002_RS03620	NC_010475.1	756079	757734	-	1656	8917	7191	7822	16279	29234	22543	13976	24234
gene-SYNPCC7002_RS03625	NC_010475.1	757817	758710	-	894	4397	3680	4127	8017	15402	12296	7813	13300
gene-SYNPCC7002_RS03630	NC_010475.1	758730	759329	-	600	2067	1759	2045	4046	7813	6187	3810	7054
gene-SYNPCC7002_RS03635	NC_010475.1	759333	759833	-	501	2446	2141	2217	4802	10011	8064	5331	9176
gene-SYNPCC7002_RS03640	NC_010475.1	760184	761800	-	1617	1174	1287	1563	2986	2687	2668	1660	3015
gene-SYNPCC7002_RS16070	NC_010475.1	762052	762525	+	474	1421	1435	1442	3512	4331	2799	1982	3273
gene-SYNPCC7002_RS03650	NC_010475.1	762580	763344	-	765	11381	9829	11152	23151	23463	16473	11967	21414
gene-SYNPCC7002_RS03655	NC_010475.1	763649	764593	-	945	84179	68784	77947	152019	57962	45559	38461	56743
gene-SYNPCC7002_RS03660	NC_010475.1	764678	766195	-	1518	168605	133284	149019	276894	117223	94955	74875	110242
gene-SYNPCC7002_RS03665	NC_010475.1	766297	766854	-	558	57141	45463	52258	100037	45162	35477	29713	42687
gene-SYNPCC7002_RS03670	NC_010475.1	766851	767378	-	528	50206	38745	46197	81367	38902	30983	27416	35013
gene-SYNPCC7002_RS03675	NC_010475.1	767508	767993	-	486	52672	42949	50347	98806	49388	37310	31523	47267
gene-SYNPCC7002_RS03680	NC_010475.1	768144	768389	-	246	63852	54316	65266	123464	66507	48286	38710	57975
gene-SYNPCC7002_RS03685	NC_010475.1	768551	769285	-	735	165602	138530	151751	302667	141729	115027	91864	145635
gene-SYNPCC7002_RS03690	NC_010475.1	769346	769894	-	549	131864	111348	124238	253600	134047	102051	81935	131877
gene-SYNPCC7002_RS03695	NC_010475.1	770205	771179	+	975	2237	1737	1913	3924	3619	2707	2281	3025
gene-SYNPCC7002_RS03700	NC_010475.1	771195	771551	+	357	458	392	429	885	725	653	456	677
gene-SYNPCC7002_RS03705	NC_010475.1	771622	771888	+	267	607	546	553	1319	830	939	761	1061
gene-SYNPCC7002_RS03710	NC_010475.1	772046	773266	-	1221	20293	18080	19766	42459	33677	24177	16445	29890
gene-SYNPCC7002_RS03715	NC_010475.1	773338	774426	-	1089	10634	9285	10433	21329	17109	11912	8995	14340
gene-SYNPCC7002_RS03720	NC_010475.1	774503	774883	-	381	792	719	857	1554	2610	1798	1249	2074
gene-SYNPCC7002_RS03725	NC_010475.1	775011	776045	+	1035	1622	1184	1280	2758	3056	2302	1619	2487
gene-SYNPCC7002_RS03730	NC_010475.1	776048	777373	+	1326	1333	1022	1104	2063	2167	1690	1377	1749
gene-SYNPCC7002_RS03735	NC_010475.1	777395	778144	+	750	1217	873	1015	1742	1838	1596	1186	1571
gene-SYNPCC7002_RS03740	NC_010475.1	778301	779752	+	1452	144019	112758	124961	239058	149020	114241	93146	132773
gene-SYNPCC7002_RS03745	NC_010475.1	779853	780257	+	405	17439	13345	15699	30126	16871	13520	11208	14775
gene-SYNPCC7002_RS03750	NC_010475.1	780405	780707	-	303	9465	8881	9732	23022	22184	14385	10887	16095
gene-SYNPCC7002_RS03755	NC_010475.1	780998	781459	+	462	2588	1966	2299	4364	4346	3079	2325	3258
gene-SYNPCC7002_RS03760	NC_010475.1	781519	782781	+	1263	12530	9733	11787	21902	19884	15389	10943	17049
gene-SYNPCC7002_RS03765	NC_010475.1	782833	783087	+	255	1921	1639	2000	3874	3215	2514	2087	3061
gene-SYNPCC7002_RS03770	NC_010475.1	783325	786264	+	2940	46933	37903	43268	80474	58001	44158	31794	52419
gene-SYNPCC7002_RS16385	NC_010475.1	786458	786547	+	90	1718	1554	1600	3651	4472	2922	1822	3256
gene-SYNPCC7002_RS17200	NC_010475.1	786567	786689	+	123	4575	4955	4515	11958	13726	8813	6499	8284
gene-SYNPCC7002_RS03775	NC_010475.1	786863	787549	+	687	1362	1265	1470	2761	3909	3186	2198	3777
gene-SYNPCC7002_RS03780	NC_010475.1	787557	788369	+	813	841	678	844	1601	2571	1905	1295	2375
gene-SYNPCC7002_RS03785	NC_010475.1	788380	789510	-	1131	6102	4659	5083	10827	14083	9761	6950	10777
gene-SYNPCC7002_RS03790	NC_010475.1	789611	791080	-	1470	600	440	524	1142	1329	856	665	1039
gene-SYNPCC7002_RS16630	NC_010475.1	791098	791235	-	138	94	72	84	179	239	151	107	170
gene-SYNPCC7002_RS03795	NC_010475.1	791312	791428	+	117	2271	2301	2514	4202	5006	3219	2868	3211
gene-SYNPCC7002_RS03805	NC_010475.1	792513	793049	+	537	1201	968	1262	2506	2083	1520	1100	1632
gene-SYNPCC7002_RS17205	NC_010475.1	793180	793314	+	135	193	163	195	471	847	355	184	364
gene-SYNPCC7002_RS03810	NC_010475.1	793307	793522	+	216	947	757	879	2051	4033	1627	1280	1543
gene-SYNPCC7002_RS03815	NC_010475.1	793551	794633	-	1083	795	703	848	1794	3496	1180	862	1322
gene-SYNPCC7002_RS03820	NC_010475.1	794651	796351	-	1701	5719	4547	5277	10905	19401	7499	4953	8731
gene-SYNPCC7002_RS03825	NC_010475.1	796425	797087	+	663	397	346	376	718	882	638	411	728
gene-SYNPCC7002_RS03830	NC_010475.1	797098	798039	-	942	1198	1101	1213	2553	2098	2090	1458	2417
gene-SYNPCC7002_RS03835	NC_010475.1	798073	798645	-	573	3358	2804	3400	7282	5578	5433	3667	6047
gene-SYNPCC7002_RS03840	NC_010475.1	798675	799052	-	378	2062	2139	2189	4443	2862	4127	2905	4963
gene-SYNPCC7002_RS03845	NC_010475.1	799194	799937	-	744	1630	1434	1753	3399	5980	4581	2920	5211
gene-SYNPCC7002_RS03850	NC_010475.1	799941	800408	-	468	2088	1647	2054	4145	6662	5016	3121	5870
gene-SYNPCC7002_RS03855	NC_010475.1	800544	801755	-	1212	1485	1266	1363	2729	3531	2538	1885	3200
gene-SYNPCC7002_RS03860	NC_010475.1	801808	802389	-	582	182	189	188	447	880	701	464	674
gene-SYNPCC7002_RS03865	NC_010475.1	802598	803893	+	1296	1673	1517	1603	3239	1401	1917	1378	2434
gene-SYNPCC7002_RS03870	NC_010475.1	803911	804696	-	786	2364	2062	2401	4985	6268	4905	3114	5940
gene-SYNPCC7002_RS16635	NC_010475.1	804730	805284	-	555	397	349	385	843	1192	686	497	986
gene-SYNPCC7002_RS16640	NC_010475.1	805280	805693	-	414	729	651	628	1343	1995	1169	874	1585
gene-SYNPCC7002_RS16390	NC_010475.1	805852	805968	+	117	5326	6112	6240	15176	17752	10136	8799	9864
gene-SYNPCC7002_RS03880	NC_010475.1	806131	806421	+	291	662	552	683	1373	1507	1177	818	1210
gene-SYNPCC7002_RS03885	NC_010475.1	806575	807699	+	1125	5734	5489	5795	12212	10562	10328	6977	11276
gene-SYNPCC7002_RS03890	NC_010475.1	807703	808086	+	384	643	552	638	1348	1168	1152	799	1447
gene-SYNPCC7002_RS03895	NC_010475.1	808083	808325	-	243	198	173	196	453	571	421	252	412
gene-SYNPCC7002_RS03900	NC_010475.1	808542	808859	+	318	658	632	609	1461	2105	1312	1073	1550
gene-SYNPCC7002_RS03905	NC_010475.1	808944	810554	-	1611	49802	45736	70668	132904	46391	54697	39093	59925
gene-SYNPCC7002_RS03910	NC_010475.1	810801	811310	+	510	917	943	895	2138	3471	2353	1610	2521
gene-SYNPCC7002_RS03915	NC_010475.1	811368	811441	-	74	4	2	2	2	0	0	0	2
gene-SYNPCC7002_RS03920	NC_010475.1	811535	812440	+	906	4982	4464	5148	10875	11853	8945	5579	10080
gene-SYNPCC7002_RS03925	NC_010475.1	812469	813032	+	564	1611	1515	1787	3595	4242	3151	2078	3786
gene-SYNPCC7002_RS03930	NC_010475.1	813046	814182	+	1137	1305	1257	1293	2844	4076	2891	2008	3293
gene-SYNPCC7002_RS03935	NC_010475.1	814563	816644	+	2082	18846	14208	14785	27737	26384	22477	17040	24961
gene-SYNPCC7002_RS03940	NC_010475.1	816746	817582	+	837	786	654	619	1278	1773	1287	880	1458
gene-SYNPCC7002_RS03945	NC_010475.1	817826	818776	+	951	2260	1931	2068	4997	7222	4994	3679	6298
gene-SYNPCC7002_RS03950	NC_010475.1	818815	819792	-	978	229	164	202	453	437	294	201	346
gene-SYNPCC7002_RS03955	NC_010475.1	819953	820966	-	1014	9067	7880	9605	18052	12302	8759	6069	9856
gene-SYNPCC7002_RS03960	NC_010475.1	821085	821648	-	564	39938	32572	38814	82749	63860	42608	31733	51883
gene-SYNPCC7002_RS03965	NC_010475.1	821751	823577	-	1827	5881	4922	5929	13755	15013	14821	9129	16335
gene-SYNPCC7002_RS03970	NC_010475.1	823903	824961	+	1059	4909	3879	4884	10210	17227	37692	23159	33184
gene-SYNPCC7002_RS03975	NC_010475.1	825010	825303	+	294	1039	789	1095	2308	2822	6887	4526	6553
gene-SYNPCC7002_RS03980	NC_010475.1	825354	826211	+	858	2847	2274	2810	5532	5485	13403	9183	12028
gene-SYNPCC7002_RS03985	NC_010475.1	826201	827025	+	825	1912	1398	1786	2881	1756	5087	3603	3977
gene-SYNPCC7002_RS03990	NC_010475.1	827103	828149	+	1047	2919	2079	2133	2340	2169	6116	4341	4744
gene-SYNPCC7002_RS03995	NC_010475.1	828286	829080	+	795	3617	2893	2841	6454	6020	5435	3780	5884
gene-SYNPCC7002_RS04000	NC_010475.1	829320	829526	+	207	5050	4570	5334	8635	10252	7669	6612	9406
gene-SYNPCC7002_RS04005	NC_010475.1	829567	829950	+	384	11505	9890	11547	21871	25908	18928	14280	23804
gene-SYNPCC7002_RS04010	NC_010475.1	829954	830379	+	426	3519	3167	3715	7830	10582	7162	5282	10022
gene-SYNPCC7002_RS16075	NC_010475.1	830401	830895	-	495	237	235	225	461	1090	714	494	801
gene-SYNPCC7002_RS04020	NC_010475.1	830992	831660	+	669	418	296	341	596	1023	709	462	836
gene-SYNPCC7002_RS16395	NC_010475.1	831706	831885	+	180	86	60	62	126	183	175	98	163
gene-SYNPCC7002_RS04025	NC_010475.1	831961	833637	+	1677	7073	5978	7068	14421	8893	6253	4390	7446
gene-SYNPCC7002_RS04030	NC_010475.1	833761	835998	+	2238	3277	3019	3360	7060	13307	10200	6816	10985
gene-SYNPCC7002_RS04035	NC_010475.1	836078	836281	-	204	18290	19591	20223	46083	42964	29710	23243	30313
gene-SYNPCC7002_RS04040	NC_010475.1	836362	836493	+	132	1479	1193	1311	3290	7602	3176	2135	2837
gene-SYNPCC7002_RS04045	NC_010475.1	836710	837453	-	744	3705	3282	4180	8110	3808	3586	2713	4771
gene-SYNPCC7002_RS04050	NC_010475.1	837715	838461	-	747	215687	187363	210530	432402	317664	276374	188498	396627
gene-SYNPCC7002_RS04055	NC_010475.1	838862	839863	+	1002	4332	4029	4260	9279	7469	7267	4690	7863
gene-SYNPCC7002_RS04060	NC_010475.1	839931	840539	+	609	598	603	615	1272	1257	1115	679	1090
gene-SYNPCC7002_RS04065	NC_010475.1	840639	841088	+	450	14689	11920	12774	29138	19841	16599	12145	19444
gene-SYNPCC7002_RS04070	NC_010475.1	841173	841745	-	573	674	604	782	1422	1596	1160	813	1475
gene-SYNPCC7002_RS04075	NC_010475.1	841805	843244	-	1440	2519	2168	2400	4456	5006	3885	2980	4525
gene-SYNPCC7002_RS04080	NC_010475.1	843356	843994	+	639	551	478	504	1215	1606	1247	755	1421
gene-SYNPCC7002_RS04085	NC_010475.1	844063	845241	+	1179	5638	4986	5129	11371	10474	6932	5130	8130
gene-SYNPCC7002_RS04090	NC_010475.1	845258	845671	-	414	741	640	725	1318	2343	1837	1080	2120
gene-SYNPCC7002_RS04095	NC_010475.1	845664	845882	-	219	434	367	411	563	802	723	580	893
gene-SYNPCC7002_RS04100	NC_010475.1	845944	847716	-	1773	8185	7237	7925	16753	18638	15440	10165	17813
gene-SYNPCC7002_RS04105	NC_010475.1	847765	848196	-	432	1524	1537	1651	3331	3068	2909	1764	3110
gene-SYNPCC7002_RS04110	NC_010475.1	848300	849352	+	1053	35615	30151	32930	66990	32889	40248	29592	49935
gene-SYNPCC7002_RS04115	NC_010475.1	849514	850446	+	933	3181	2640	2727	6024	4354	3528	2459	3361
gene-SYNPCC7002_RS04120	NC_010475.1	850469	851419	+	951	1346	1033	1155	2568	2230	1588	1074	1896
gene-SYNPCC7002_RS04125	NC_010475.1	851586	854159	-	2574	20293	17450	19910	42169	31649	22189	15320	28730
gene-SYNPCC7002_RS04130	NC_010475.1	854319	856511	-	2193	746	550	657	1312	2039	1344	917	1543
gene-SYNPCC7002_RS04135	NC_010475.1	856966	858180	-	1215	478	485	490	1105	1620	1191	912	1619
gene-SYNPCC7002_RS04140	NC_010475.1	858218	858433	-	216	446	390	505	968	1417	1029	829	1288
gene-SYNPCC7002_RS04150	NC_010475.1	858725	860110	-	1386	40012	33585	37593	78403	66668	52353	37287	65650
gene-SYNPCC7002_RS04160	NC_010475.1	860573	861055	+	483	1773	1689	1827	3969	6115	4799	2951	5193
gene-SYNPCC7002_RS04165	NC_010475.1	861015	861776	-	762	423	372	390	889	1424	1001	636	1134
gene-SYNPCC7002_RS04170	NC_010475.1	861863	862756	+	894	1232	1217	1262	2592	1394	1838	1362	2333
gene-SYNPCC7002_RS04175	NC_010475.1	862773	863030	-	258	285	260	306	620	707	528	425	654
gene-SYNPCC7002_RS04180	NC_010475.1	863027	863341	-	315	555	522	508	1088	1220	979	832	1142
gene-SYNPCC7002_RS04185	NC_010475.1	863401	865659	-	2259	10604	7760	10068	19407	16071	12563	9391	14138
gene-SYNPCC7002_RS16645	NC_010475.1	865698	865877	-	180	109	104	85	226	233	158	135	206
gene-SYNPCC7002_RS04190	NC_010475.1	865888	866580	-	693	3300	2963	3219	7396	8870	6343	4787	7961
gene-SYNPCC7002_RS04195	NC_010475.1	866577	866897	-	321	1115	1034	1045	2282	3181	2259	1663	2814
gene-SYNPCC7002_RS04200	NC_010475.1	867201	867683	-	483	95723	82558	90963	188887	200899	147508	96960	189788
gene-SYNPCC7002_RS04205	NC_010475.1	867740	868408	-	669	105288	87270	95645	200487	210492	155960	107681	194931
gene-SYNPCC7002_RS04210	NC_010475.1	868639	869883	+	1245	4396	3862	4235	9075	15480	9452	6124	11412
gene-SYNPCC7002_RS04215	NC_010475.1	869880	871322	-	1443	3162	2913	3260	6738	6876	5107	3730	6304
gene-SYNPCC7002_RS04220	NC_010475.1	871453	871641	-	189	186	204	170	395	619	479	289	504
gene-SYNPCC7002_RS04225	NC_010475.1	871721	871957	+	237	1959	2102	2238	4859	4275	2944	2556	2627
gene-SYNPCC7002_RS04230	NC_010475.1	872160	873362	-	1203	23073	18115	20552	39392	45294	35100	26255	43520
gene-SYNPCC7002_RS04235	NC_010475.1	873736	875286	-	1551	278	315	325	634	1076	725	576	920
gene-SYNPCC7002_RS04240	NC_010475.1	875468	876709	-	1242	407	365	426	795	1150	795	547	841
gene-SYNPCC7002_RS04245	NC_010475.1	876764	878110	-	1347	3069	2438	2514	5215	7074	4680	3535	5543
gene-SYNPCC7002_RS04250	NC_010475.1	878168	878923	-	756	2978	2585	2560	5084	8186	5600	3873	5361
gene-SYNPCC7002_RS04255	NC_010475.1	879038	879526	-	489	1795	1489	1759	3587	3665	2726	2006	3085
gene-SYNPCC7002_RS04260	NC_010475.1	879750	880958	-	1209	78125	62576	75019	146201	120884	96969	73194	115952
gene-SYNPCC7002_RS17210	NC_010475.1	881477	881608	+	132	3057	2485	2766	5446	4182	3400	2542	3863
gene-SYNPCC7002_RS04265	NC_010475.1	881639	883633	+	1995	67269	53867	62827	123125	87993	69506	48725	84038
gene-SYNPCC7002_RS04270	NC_010475.1	883752	883976	+	225	1330	1151	1154	2730	2220	1667	1140	1705
gene-SYNPCC7002_RS04275	NC_010475.1	883979	884314	-	336	1921	1405	1788	3990	3559	2419	1747	2918
gene-SYNPCC7002_RS04280	NC_010475.1	884446	886053	-	1608	2002	1512	1738	3788	5456	2297	1520	2775
gene-SYNPCC7002_RS16945	NC_010475.1	886182	886352	-	171	338	337	328	831	2770	863	532	667
gene-SYNPCC7002_RS04290	NC_010475.1	886867	887667	+	801	895	938	1080	2500	1643	1648	1254	1799
gene-SYNPCC7002_RS04295	NC_010475.1	888100	889602	+	1503	2410	2284	3498	6490	1600	2155	1553	2114
gene-SYNPCC7002_RS04300	NC_010475.1	889623	890459	+	837	1488	1497	2369	4029	1015	1232	903	1296
gene-SYNPCC7002_RS04305	NC_010475.1	890459	891352	+	894	1929	1895	2663	4948	1772	1804	1217	2086
gene-SYNPCC7002_RS04310	NC_010475.1	891410	891853	+	444	1722	1491	2324	4494	1716	1785	1242	2013
gene-SYNPCC7002_RS04315	NC_010475.1	891958	892434	+	477	712	519	967	1686	777	751	536	780
gene-SYNPCC7002_RS04320	NC_010475.1	892587	893804	+	1218	286	239	326	658	504	369	267	461
gene-SYNPCC7002_RS04325	NC_010475.1	893870	894781	-	912	2379	1916	2174	4617	4362	3042	2183	3624
gene-SYNPCC7002_RS04330	NC_010475.1	895053	897347	+	2295	1856	1619	1724	3794	4726	3313	2229	3845
gene-SYNPCC7002_RS04335	NC_010475.1	897454	898563	+	1110	3759	3255	3601	7450	8826	6055	4126	7359
gene-SYNPCC7002_RS04340	NC_010475.1	898623	899468	+	846	2113	1821	2185	4145	4946	3475	2514	4209
gene-SYNPCC7002_RS04345	NC_010475.1	899537	900946	+	1410	2158	2067	2225	4732	5422	3723	2657	4504
gene-SYNPCC7002_RS04350	NC_010475.1	900956	902020	-	1065	2436	2208	2460	4892	5045	4141	3185	4933
gene-SYNPCC7002_RS04355	NC_010475.1	902272	902655	+	384	1014	966	1049	2504	3258	2202	1443	2420
gene-SYNPCC7002_RS04360	NC_010475.1	903182	904024	+	843	490	628	702	1268	344	535	438	562
gene-SYNPCC7002_RS04365	NC_010475.1	904115	905440	+	1326	2533	2061	2264	4759	4676	2886	2286	3568
gene-SYNPCC7002_RS04370	NC_010475.1	905486	905986	+	501	445	318	385	732	976	783	568	788
gene-SYNPCC7002_RS04375	NC_010475.1	906058	907353	+	1296	2500	2160	2250	5172	4247	2728	2021	3168
gene-SYNPCC7002_RS04380	NC_010475.1	907258	907794	-	537	257	224	231	556	566	359	275	459
gene-SYNPCC7002_RS04385	NC_010475.1	907850	908419	+	570	1203	961	1032	2027	2977	2011	1348	2326
gene-SYNPCC7002_RS04390	NC_010475.1	908425	909141	-	717	1635	1560	1613	3572	4200	2987	2096	3669
gene-SYNPCC7002_RS04395	NC_010475.1	909145	909975	-	831	1521	1195	1456	2981	3387	2433	1787	2719
gene-SYNPCC7002_RS04400	NC_010475.1	909990	910817	-	828	3170	2394	3094	6457	6555	4764	3528	5527
gene-SYNPCC7002_RS04405	NC_010475.1	910910	912241	+	1332	29825	24109	27550	57752	45525	33775	24179	41467
gene-SYNPCC7002_RS04410	NC_010475.1	912297	912590	+	294	11888	9665	10800	22416	19412	14736	10408	15235
gene-SYNPCC7002_RS04415	NC_010475.1	912677	913687	+	1011	2781	2225	2564	5260	6271	4466	3006	5461
gene-SYNPCC7002_RS04420	NC_010475.1	913704	915689	-	1986	1766	1460	1628	3395	4824	3800	2799	5009
gene-SYNPCC7002_RS04425	NC_010475.1	915800	916675	-	876	585	526	564	1208	972	1314	1061	1738
gene-SYNPCC7002_RS04430	NC_010475.1	916690	917523	-	834	306	286	382	731	650	865	666	1017
gene-SYNPCC7002_RS04435	NC_010475.1	917516	919675	-	2160	1408	1374	1453	3090	2430	3387	2243	3876
gene-SYNPCC7002_RS04440	NC_010475.1	919947	920813	-	867	5185	4396	4746	10844	9978	7281	4786	8318
gene-SYNPCC7002_RS04445	NC_010475.1	920895	921830	-	936	1353	1220	1399	2836	2308	1739	1135	1953
gene-SYNPCC7002_RS04450	NC_010475.1	921877	923043	-	1167	1443	1464	1569	3190	2520	1822	1129	2154
gene-SYNPCC7002_RS04455	NC_010475.1	923329	923955	-	627	709	577	654	1380	1573	1098	797	1237
gene-SYNPCC7002_RS04460	NC_010475.1	924089	925924	-	1836	783	551	571	1288	1405	1003	745	1211
gene-SYNPCC7002_RS04465	NC_010475.1	926444	928012	+	1569	8993	7103	8370	17758	24525	10780	7423	12822
gene-SYNPCC7002_RS04470	NC_010475.1	928143	928874	+	732	4131	3502	3942	8236	10172	6367	3970	7405
gene-SYNPCC7002_RS04475	NC_010475.1	928937	929227	+	291	1178	1178	1158	2732	3097	2182	1482	2469
gene-SYNPCC7002_RS04480	NC_010475.1	929212	930033	-	822	1112	948	1247	2467	2975	1980	1319	2433
gene-SYNPCC7002_RS04485	NC_010475.1	930090	930680	-	591	1203	1034	1120	2578	4186	2956	2089	2887
gene-SYNPCC7002_RS04490	NC_010475.1	930703	931650	-	948	3591	2973	3336	7515	13054	9578	6446	10724
gene-SYNPCC7002_RS04495	NC_010475.1	931723	934005	-	2283	6641	5355	5818	13422	31813	21892	14557	25650
gene-SYNPCC7002_RS04500	NC_010475.1	934269	934976	+	708	2655	2790	3226	6037	4916	3619	2598	4405
gene-SYNPCC7002_RS04505	NC_010475.1	935063	936940	-	1878	15521	12883	14028	30610	26761	18453	13252	23003
gene-SYNPCC7002_RS04510	NC_010475.1	937116	937766	-	651	1341	1155	1193	2946	4060	2891	1857	3275
gene-SYNPCC7002_RS04515	NC_010475.1	937909	938346	+	438	2780	2770	2994	6623	7579	5630	3682	6063
gene-SYNPCC7002_RS04520	NC_010475.1	938380	939150	+	771	3302	2714	2915	6616	7257	5319	3798	6558
gene-SYNPCC7002_RS04525	NC_010475.1	939147	940277	-	1131	1247	1117	1206	2631	5293	3757	2399	4265
gene-SYNPCC7002_RS04530	NC_010475.1	940327	941604	+	1278	1675	1570	1676	3336	4951	3465	2377	3872
gene-SYNPCC7002_RS04535	NC_010475.1	941625	942320	-	696	3905	2877	3341	6972	8201	6526	4661	7429
gene-SYNPCC7002_RS04540	NC_010475.1	942391	942876	-	486	252	162	174	458	403	500	315	604
