Geneid	Chr	Start	End	Strand	Length	CO2-0-04percent_Lane1-S1_CO2-adaptation	CO2-0-04percent_Lane2-S2_CO2-adaptation	CO2-0-04percent_Lane2-S3_CO2-adaptation	CO2-0-04percent_Lane2-S4_CO2-adaptation	CO2-30percent_Lane1-S14_CO2-adaptation	CO2-30percent_Lane1-S16_CO2-adaptation	CO2-30percent_Lane2-S13_CO2-adaptation	CO2-30percent_Lane2-S15_CO2-adaptation	CO2-4percent_Lane1-S6_CO2-adaptation	CO2-4percent_Lane1-S7_CO2-adaptation	CO2-4percent_Lane2-S5_CO2-adaptation	CO2-4percent_Lane2-S8_CO2-adaptation	CO2-8percent_Lane1-S12_CO2-adaptation	CO2-8percent_Lane2-S10_CO2-adaptation	CO2-8percent_Lane2-S11_CO2-adaptation	CO2-8percent_Lane2-S9_CO2-adaptation
gene-SYNPCC7002_RS02640	NC_010475.1	560913	561335	+	423	4709	4158	5177	4684	3636	2933	2643	2560	2444	2912	2327	2419	2312	1557	2231	1808
gene-SYNPCC7002_RS02645	NC_010475.1	561404	563770	+	2367	2907	2673	3231	2861	5763	4534	4281	4011	3904	5483	3555	4019	3834	2731	3703	2902
gene-SYNPCC7002_RS02650	NC_010475.1	563795	564376	+	582	1097	984	1211	1127	1862	1376	1328	1279	1083	1534	978	1136	1066	720	1094	876
gene-SYNPCC7002_RS02655	NC_010475.1	564507	565931	+	1425	3840	2910	2852	2899	6707	5773	4933	4554	4954	6557	4504	5989	5205	3262	4485	3834
gene-SYNPCC7002_RS02660	NC_010475.1	565967	567199	-	1233	206	148	167	173	554	479	475	459	448	648	351	550	481	284	407	302
gene-SYNPCC7002_RS02665	NC_010475.1	567238	567591	-	354	122	111	83	94	393	247	200	262	268	392	194	281	250	139	216	152
gene-SYNPCC7002_RS16620	NC_010475.1	567950	568153	-	204	114	90	68	69	308	176	194	141	190	292	200	171	153	132	160	137
gene-SYNPCC7002_RS02670	NC_010475.1	568393	569742	-	1350	670	496	416	390	1693	1712	1227	1168	1144	1798	1075	1427	1092	732	952	856
gene-SYNPCC7002_RS02675	NC_010475.1	569794	570318	+	525	110	80	94	141	157	107	95	98	75	94	73	82	63	45	65	35
gene-SYNPCC7002_RS02680	NC_010475.1	570275	570550	-	276	249	125	124	87	570	403	427	347	441	477	413	464	513	274	396	309
gene-SYNPCC7002_RS02685	NC_010475.1	570636	571121	-	486	238	191	219	240	491	413	327	370	332	407	306	326	344	179	349	220
gene-SYNPCC7002_RS02690	NC_010475.1	571257	571904	+	648	195	211	222	190	342	198	192	189	288	292	189	281	188	188	226	152
gene-SYNPCC7002_RS02695	NC_010475.1	572324	572599	+	276	7854	6686	8216	8443	2345	1589	1733	1440	2167	2257	1658	1642	1528	1190	1554	1279
gene-SYNPCC7002_RS02700	NC_010475.1	572999	573256	+	258	4194	3760	4923	4612	7073	5352	4889	5112	3764	5195	3488	4150	3528	2674	3779	2962
gene-SYNPCC7002_RS02705	NC_010475.1	573302	573637	-	336	188	193	179	212	762	594	590	609	515	896	441	655	423	318	448	428
gene-SYNPCC7002_RS02710	NC_010475.1	573756	574085	-	330	4386	3967	3469	3694	7597	6734	5960	5712	6254	7918	6445	7327	7504	4363	6343	5625
gene-SYNPCC7002_RS02715	NC_010475.1	574146	574406	-	261	4061	3795	3950	4110	8337	6243	5775	5437	6355	8100	5493	6076	6470	4683	6441	5053
gene-SYNPCC7002_RS02720	NC_010475.1	574503	575192	-	690	633	545	593	576	1515	1099	1015	923	1332	1926	1068	1187	1266	960	1286	977
gene-SYNPCC7002_RS02725	NC_010475.1	575395	576396	+	1002	1949	1523	1320	1243	4675	4008	3560	3271	4660	6617	4482	5699	4534	3126	4232	3541
gene-SYNPCC7002_RS02730	NC_010475.1	576633	577325	+	693	1613	1576	1812	1969	3339	2072	2243	2206	2039	2341	1375	2146	1558	1331	1873	1186
gene-SYNPCC7002_RS02735	NC_010475.1	577569	579038	+	1470	6620	6519	6239	6524	15338	11295	10751	11478	13440	17232	10171	12015	12286	9097	12498	9221
gene-SYNPCC7002_RS02740	NC_010475.1	579081	580037	+	957	3166	2860	3081	2802	3344	2934	2516	2367	2287	3244	2473	2935	2464	1491	2188	1893
gene-SYNPCC7002_RS02745	NC_010475.1	580132	580818	-	687	432	440	496	456	1552	1174	1010	1114	1041	1382	898	1040	851	540	909	772
gene-SYNPCC7002_RS02750	NC_010475.1	580815	581345	-	531	1333	1365	1532	1500	3203	2368	2096	2263	2424	2969	1879	2225	2114	1446	2223	1658
gene-SYNPCC7002_RS02755	NC_010475.1	581342	581938	-	597	234	232	250	216	535	411	323	396	257	249	266	242	253	124	227	205
gene-SYNPCC7002_RS02760	NC_010475.1	582274	582594	+	321	3005	2709	2995	3433	1425	1011	1118	1133	1497	2034	1193	1210	1158	951	1544	1019
gene-SYNPCC7002_RS02765	NC_010475.1	582725	583189	-	465	3970	3953	4328	4689	5014	3738	3464	3508	2938	3770	2426	2852	2698	1898	2781	2171
gene-SYNPCC7002_RS02770	NC_010475.1	583359	584717	-	1359	951	880	778	750	1451	1222	1078	913	1398	1887	1293	1584	1593	981	1368	1054
gene-SYNPCC7002_RS02775	NC_010475.1	584787	585374	-	588	700	510	647	493	917	773	786	599	698	772	594	781	727	478	596	552
gene-SYNPCC7002_RS02780	NC_010475.1	585454	587937	-	2484	1124	880	809	776	1732	1554	1275	1359	2166	2784	1921	2291	1928	1382	2011	1573
gene-SYNPCC7002_RS02785	NC_010475.1	588119	588352	+	234	505	375	336	468	387	260	275	254	269	429	371	282	227	189	353	234
gene-SYNPCC7002_RS02790	NC_010475.1	588404	588724	+	321	2292	1792	1655	1460	1330	1222	1074	1016	1425	1486	1146	1636	1310	824	1090	939
gene-SYNPCC7002_RS02795	NC_010475.1	588795	589589	+	795	1377	1105	794	743	2065	1722	1683	1421	2388	3254	2203	2688	2419	1535	2145	1928
gene-SYNPCC7002_RS02800	NC_010475.1	589624	592269	-	2646	1079	883	754	743	1546	1377	1175	1111	1007	1456	881	1165	1060	645	932	775
gene-SYNPCC7002_RS02805	NC_010475.1	592472	593461	-	990	3747	3497	3344	3344	5819	4331	4343	4299	5590	7138	4618	5754	5445	4012	5389	3980
gene-SYNPCC7002_RS02810	NC_010475.1	593502	594014	-	513	862	752	598	640	1101	922	791	756	1223	1516	1097	1166	1100	736	969	904
gene-SYNPCC7002_RS02815	NC_010475.1	594075	594557	+	483	2825	2544	1829	2312	3044	2452	2072	1950	3069	4260	3049	3593	3584	2131	3234	2684
gene-SYNPCC7002_RS02820	NC_010475.1	594623	594973	+	351	1444	1089	998	1054	1779	1522	1427	1176	1816	2338	1621	1876	2067	1313	1751	1444
gene-SYNPCC7002_RS02825	NC_010475.1	595375	595911	+	537	12281	11456	10207	10231	1298	1032	807	818	4613	6441	4091	4945	6042	3910	5883	5317
gene-SYNPCC7002_RS02830	NC_010475.1	596050	596409	-	360	4026	3828	3525	3966	6040	4448	4197	4264	4878	6071	4028	4782	4710	3380	4653	3759
gene-SYNPCC7002_RS02835	NC_010475.1	596456	596965	+	510	372	302	266	318	335	224	236	199	255	421	190	281	300	160	268	246
gene-SYNPCC7002_RS02840	NC_010475.1	597031	597570	+	540	516	435	426	513	833	659	622	629	893	969	801	751	723	515	759	557
gene-SYNPCC7002_RS02845	NC_010475.1	597623	597817	+	195	4752	4712	4631	4705	8297	5882	5784	5518	11220	15310	8912	8857	10355	7538	11633	8299
gene-SYNPCC7002_RS02850	NC_010475.1	597882	598097	+	216	4662	4579	3695	3960	7723	5979	5411	5587	10099	13365	9489	8970	10553	6871	10472	8188
gene-SYNPCC7002_RS02855	NC_010475.1	598169	600181	+	2013	7622	6081	5595	5281	11964	9714	8442	7836	11488	14833	11119	12083	12870	7801	11148	9595
gene-SYNPCC7002_RS02860	NC_010475.1	600338	600541	+	204	5877	5281	5703	5880	5083	3576	3623	3476	4939	6156	4085	3816	4513	3151	4660	3777
gene-SYNPCC7002_RS02865	NC_010475.1	600592	601467	-	876	395	287	295	374	447	401	383	330	419	655	361	553	355	224	419	317
gene-SYNPCC7002_RS02870	NC_010475.1	601755	603062	+	1308	1965	1633	1010	1279	5011	4164	3612	3451	4739	7104	4357	6367	4325	3492	4348	3258
gene-SYNPCC7002_RS02875	NC_010475.1	603209	605026	+	1818	2229	1842	1524	1689	5644	4423	4000	4022	5152	7958	4331	6002	4896	3423	4879	3390
gene-SYNPCC7002_RS02880	NC_010475.1	605131	605970	+	840	3096	2447	2731	2432	3926	3034	2848	2487	4745	6078	4588	5905	4055	3114	4094	3294
gene-SYNPCC7002_RS02885	NC_010475.1	606122	607093	+	972	2043	1806	1755	1655	7636	5775	5017	5251	2799	3859	2529	3758	2910	1988	2551	2081
gene-SYNPCC7002_RS16380	NC_010475.1	607156	607305	+	150	40	47	39	42	276	252	227	271	107	154	111	144	126	71	77	63
gene-SYNPCC7002_RS02890	NC_010475.1	607348	608541	+	1194	555	504	634	455	1619	1203	1034	1113	571	829	550	753	597	361	594	443
gene-SYNPCC7002_RS02895	NC_010475.1	608625	608822	-	198	1706	2090	2535	2435	1250	975	898	788	1039	1374	906	1070	1036	577	855	829
gene-SYNPCC7002_RS02900	NC_010475.1	609083	610357	+	1275	2455	2154	1899	1909	3181	2506	2310	2180	3283	4184	2885	3133	3156	2231	3195	2595
gene-SYNPCC7002_RS02905	NC_010475.1	610431	612200	+	1770	1176	970	854	954	1427	1128	1015	866	1360	1754	1017	1488	1289	858	1234	867
gene-SYNPCC7002_RS02910	NC_010475.1	612204	613979	-	1776	3146	2483	2013	2235	6115	4837	4245	4007	6015	8334	5116	7531	5626	3965	5501	4205
gene-SYNPCC7002_RS02915	NC_010475.1	614362	614805	-	444	654	606	658	733	1440	1123	1027	1003	1270	2032	1228	1664	1764	1044	1674	1220
gene-SYNPCC7002_RS02920	NC_010475.1	614875	618069	-	3195	2098	1814	1517	1708	5268	3795	3434	3393	3779	5659	3429	5390	4434	3652	4678	3558
gene-SYNPCC7002_RS02925	NC_010475.1	618185	618583	-	399	7	16	7	10	21	20	16	18	26	43	36	39	34	20	22	23
gene-SYNPCC7002_RS02930	NC_010475.1	618600	619739	-	1140	91	72	47	55	142	123	119	77	130	218	147	130	149	113	134	135
gene-SYNPCC7002_RS02935	NC_010475.1	619815	620132	-	318	112	90	115	94	180	105	115	126	116	157	113	171	161	95	149	90
gene-SYNPCC7002_RS02940	NC_010475.1	620161	621420	-	1260	881	840	542	693	1680	1195	1094	1140	1201	1477	993	1611	1289	1021	1142	838
gene-SYNPCC7002_RS02945	NC_010475.1	621606	622697	+	1092	5081	4562	4556	4956	8240	6187	5768	5710	6588	9130	5505	7279	6993	4839	6645	5217
gene-SYNPCC7002_RS02950	NC_010475.1	622752	623018	+	267	780	654	564	581	1106	922	836	680	750	1233	767	1125	901	513	922	682
gene-SYNPCC7002_RS02955	NC_010475.1	623052	623966	+	915	364	321	389	299	821	791	677	536	680	988	694	987	728	421	734	515
gene-SYNPCC7002_RS02960	NC_010475.1	624033	624758	+	726	3921	3467	2851	2542	10349	8792	7681	7251	10416	14443	10531	10171	12078	7560	10914	9307
gene-SYNPCC7002_RS02965	NC_010475.1	624873	626921	+	2049	2464	1856	1424	1441	7304	6446	5639	5081	8009	11500	7298	8327	8398	5611	7407	5846
gene-SYNPCC7002_RS02970	NC_010475.1	627191	627574	+	384	534	455	492	451	847	564	538	558	883	1288	830	777	964	647	1045	834
gene-SYNPCC7002_RS02975	NC_010475.1	627583	628290	+	708	449	436	426	412	697	499	575	495	685	1160	863	884	948	531	935	811
gene-SYNPCC7002_RS02980	NC_010475.1	628335	630092	+	1758	1100	980	1020	942	1736	1464	1340	1133	2114	2953	2239	2389	2449	1545	2233	1862
gene-SYNPCC7002_RS02985	NC_010475.1	630538	631341	-	804	1721	1788	1776	1793	2582	1809	1903	1821	1732	2319	1487	2140	1616	1301	1685	1314
gene-SYNPCC7002_RS02990	NC_010475.1	631344	631919	-	576	884	797	716	765	1792	1275	1198	1243	1430	1853	1167	1462	1298	1140	1390	975
gene-SYNPCC7002_RS02995	NC_010475.1	632081	632293	-	213	892	1248	983	1124	7368	5133	4582	4571	1346	1828	1187	1608	1467	993	1493	1159
gene-SYNPCC7002_RS03000	NC_010475.1	632542	633531	+	990	1281	900	649	558	1870	1522	1441	1407	2579	3467	2380	4484	1924	1724	2213	1535
gene-SYNPCC7002_RS03010	NC_010475.1	633857	634378	+	522	950	887	834	904	2360	1916	1745	1585	2226	2777	1647	1862	1970	1485	2050	1566
gene-SYNPCC7002_RS03015	NC_010475.1	634435	635607	+	1173	2153	2045	1853	1995	4986	3897	3763	3457	3481	4566	2803	3547	3268	2413	3186	2418
gene-SYNPCC7002_RS03020	NC_010475.1	635698	636840	+	1143	991	812	736	791	2190	2047	1708	1608	1614	2320	1426	1768	1825	1106	1488	1254
gene-SYNPCC7002_RS03025	NC_010475.1	636837	637250	-	414	105	77	124	79	149	102	58	101	138	183	146	247	129	91	127	100
gene-SYNPCC7002_RS03030	NC_010475.1	637345	638043	+	699	1827	1769	1636	1620	4999	3942	3499	3416	2864	3539	2255	2617	2830	1921	2755	2085
gene-SYNPCC7002_RS03035	NC_010475.1	638115	638402	+	288	456	331	322	264	1165	827	835	771	746	937	729	1044	577	448	652	494
gene-SYNPCC7002_RS03040	NC_010475.1	638393	639841	+	1449	760	615	551	500	2209	1668	1673	1346	1469	1848	1356	1982	1136	952	1195	878
gene-SYNPCC7002_RS03045	NC_010475.1	639923	641146	+	1224	1361	1186	1063	1169	2700	2013	1611	1848	1288	1784	1145	1754	1498	974	1348	970
gene-SYNPCC7002_RS03050	NC_010475.1	641229	641301	+	73	0	6	2	6	6	0	2	2	0	6	4	2	0	10	10	0
gene-SYNPCC7002_RS03055	NC_010475.1	641328	644336	+	3009	876	794	701	810	2143	1690	1485	1551	2106	2830	1901	2081	2111	1436	2113	1477
gene-SYNPCC7002_RS03060	NC_010475.1	644409	644636	+	228	1002	895	820	813	2533	1785	1653	1514	2709	3319	2558	2488	2407	1981	2768	2164
gene-SYNPCC7002_RS03065	NC_010475.1	644798	646444	+	1647	2444	2203	2113	2276	3856	2932	2633	2669	3725	4778	3140	3578	3554	2674	3543	2705
gene-SYNPCC7002_RS03070	NC_010475.1	646516	646950	+	435	319	273	250	253	849	770	678	591	755	1046	744	883	903	571	712	633
gene-SYNPCC7002_RS03075	NC_010475.1	646990	647376	+	387	594	470	387	476	1523	1301	1260	934	1633	2012	1447	1352	1483	1078	1497	1155
gene-SYNPCC7002_RS03080	NC_010475.1	647534	648997	-	1464	12592	11944	10084	11814	32915	24516	24381	23333	20726	27019	16244	19495	18497	13936	18959	13686
gene-SYNPCC7002_RS03085	NC_010475.1	649177	650496	-	1320	8502	8401	7574	8545	24786	17890	16966	17448	10642	14813	9867	11297	10768	7425	10565	8465
gene-SYNPCC7002_RS03090	NC_010475.1	650633	651265	-	633	391	294	363	380	1163	821	771	699	1219	1562	1015	1093	998	710	1153	835
gene-SYNPCC7002_RS03095	NC_010475.1	651313	652527	-	1215	1410	1115	1056	894	3806	3027	2900	2826	4344	5704	3833	4079	4040	2757	3933	2999
gene-SYNPCC7002_RS03100	NC_010475.1	652562	653491	-	930	3438	3195	3730	3770	4279	3316	3284	2822	2663	3653	2553	3265	2541	1701	2567	1948
gene-SYNPCC7002_RS03105	NC_010475.1	653563	654405	-	843	1264	1264	1574	1391	2067	1662	1478	1561	1416	1969	1183	1460	1266	952	1372	856
gene-SYNPCC7002_RS03110	NC_010475.1	654498	654866	-	369	1007	794	1029	893	1331	1056	946	949	857	1138	914	894	799	641	832	618
gene-SYNPCC7002_RS03115	NC_010475.1	654938	655024	+	87	308	228	206	297	206	161	271	376	246	276	269	147	159	125	322	356
gene-SYNPCC7002_RS03120	NC_010475.1	655099	657018	-	1920	3655	3003	3679	3201	2811	2374	2247	1969	2549	3640	2745	2917	3099	1754	2747	2206
gene-SYNPCC7002_RS03125	NC_010475.1	657068	657508	-	441	923	815	819	685	762	551	557	431	703	936	739	751	722	431	732	576
gene-SYNPCC7002_RS03130	NC_010475.1	657566	659380	-	1815	8411	7416	7629	7242	8074	6402	6228	5666	8853	11661	7639	8333	8920	5912	8595	6633
gene-SYNPCC7002_RS03135	NC_010475.1	659721	659987	-	267	613	589	426	458	237	278	211	188	290	393	356	411	389	198	311	333
gene-SYNPCC7002_RS03140	NC_010475.1	660172	660435	-	264	1037	973	721	783	470	477	490	375	663	789	779	749	747	408	666	656
gene-SYNPCC7002_RS03145	NC_010475.1	660524	661006	-	483	398	326	353	304	376	295	287	248	199	245	177	257	200	122	194	122
gene-SYNPCC7002_RS03150	NC_010475.1	661185	661559	-	375	206	148	201	169	246	165	155	156	124	171	126	179	134	126	120	101
gene-SYNPCC7002_RS03155	NC_010475.1	661543	661785	-	243	782	774	843	780	832	592	584	437	541	641	563	495	467	343	432	350
gene-SYNPCC7002_RS03160	NC_010475.1	662124	663074	-	951	523	626	540	635	560	413	382	320	371	442	267	460	428	197	354	350
gene-SYNPCC7002_RS03165	NC_010475.1	663261	664313	-	1053	210	148	119	138	235	231	228	201	220	312	159	271	241	183	244	163
gene-SYNPCC7002_RS03170	NC_010475.1	664310	665524	-	1215	313	221	266	228	472	389	274	283	290	446	310	303	328	251	267	254
gene-SYNPCC7002_RS03175	NC_010475.1	665536	666303	-	768	314	296	280	228	523	467	303	369	496	614	446	529	569	286	407	374
gene-SYNPCC7002_RS03180	NC_010475.1	666343	668313	-	1971	137	125	140	88	197	148	144	129	156	292	205	230	222	135	202	150
gene-SYNPCC7002_RS03185	NC_010475.1	668893	670047	-	1155	466	471	423	442	610	449	419	399	632	848	737	748	696	458	630	531
gene-SYNPCC7002_RS03190	NC_010475.1	671017	671745	+	729	9296	7096	7849	7584	530	534	443	340	666	801	607	474	759	410	589	525
gene-SYNPCC7002_RS03195	NC_010475.1	671840	672355	-	516	554	428	431	531	1235	894	844	746	1068	1382	851	1261	996	712	987	838
gene-SYNPCC7002_RS03200	NC_010475.1	672352	672627	-	276	828	702	747	726	1591	1299	1174	1035	1420	1750	1321	1711	1439	900	1223	1100
gene-SYNPCC7002_RS03205	NC_010475.1	672720	673751	-	1032	278	233	323	210	593	516	457	559	518	724	443	665	547	372	499	402
gene-SYNPCC7002_RS03210	NC_010475.1	674227	674670	+	444	1281	861	383	298	10251	8070	6751	6924	30377	41083	35620	56192	20987	20728	24759	17881
gene-SYNPCC7002_RS03215	NC_010475.1	674799	675413	-	615	3576	3197	3318	3481	2680	2096	1964	1697	2302	2999	2176	2271	2798	1689	2330	2150
gene-SYNPCC7002_RS03220	NC_010475.1	675502	676212	-	711	1345	1123	1394	1293	684	705	569	519	939	1187	799	1041	748	525	711	562
gene-SYNPCC7002_RS16625	NC_010475.1	676266	676412	-	147	57	29	19	20	80	60	80	45	287	382	264	411	176	146	161	161
gene-SYNPCC7002_RS03225	NC_010475.1	676420	677151	+	732	585	624	643	585	960	743	656	639	827	1023	557	782	743	548	818	461
gene-SYNPCC7002_RS03230	NC_010475.1	677167	677550	+	384	270	249	295	227	316	264	239	209	289	395	205	230	253	226	269	224
gene-SYNPCC7002_RS03235	NC_010475.1	677567	679102	-	1536	617	574	498	442	653	591	542	482	472	668	438	611	506	306	422	392
gene-SYNPCC7002_RS03240	NC_010475.1	679147	680844	-	1698	357	279	334	386	489	386	373	318	311	471	348	324	392	222	246	217
gene-SYNPCC7002_RS03245	NC_010475.1	681001	681483	-	483	79	122	100	107	149	81	111	95	115	149	111	138	96	45	111	95
gene-SYNPCC7002_RS17045	NC_010475.1	681440	682303	-	864	111	78	109	93	127	85	113	93	107	159	121	169	131	77	119	88
gene-SYNPCC7002_RS03255	NC_010475.1	682399	684084	-	1686	4923	4194	3311	3308	9768	8686	8057	7263	11519	14573	9830	11546	11645	7599	10332	8231
gene-SYNPCC7002_RS03260	NC_010475.1	684178	685407	-	1230	2527	2874	4253	3446	2893	2070	2020	1957	1308	1749	1303	1421	1196	858	1102	995
gene-SYNPCC7002_RS03270	NC_010475.1	685816	686292	-	477	3253	4145	5074	4320	21984	14432	12710	15412	1263	2586	1755	2799	2352	1788	2528	1712
gene-SYNPCC7002_RS03275	NC_010475.1	686661	687644	+	984	3218	2471	1918	1814	7630	6532	5627	5294	9476	12859	8422	9889	9707	6709	8845	7189
gene-SYNPCC7002_RS03280	NC_010475.1	687685	689088	+	1404	2959	2381	1673	1594	7253	6513	5648	5596	7746	11554	6878	8503	8158	5367	7416	5969
gene-SYNPCC7002_RS03285	NC_010475.1	689121	690092	+	972	2007	1788	1277	1298	5236	3864	3917	3734	5411	7715	4369	5089	5273	3858	5054	4009
gene-SYNPCC7002_RS03290	NC_010475.1	690178	690573	+	396	141	116	79	99	448	348	303	302	399	537	405	457	533	288	366	356
gene-SYNPCC7002_RS03295	NC_010475.1	690808	691899	+	1092	124	110	104	108	253	197	199	171	297	459	318	476	212	204	296	237
gene-SYNPCC7002_RS03305	NC_010475.1	692367	692639	-	273	566	556	551	578	581	584	384	446	386	489	446	487	433	260	354	286
gene-SYNPCC7002_RS03310	NC_010475.1	692790	694028	-	1239	189	157	161	150	359	256	244	200	323	453	380	627	232	255	302	177
gene-SYNPCC7002_RS03315	NC_010475.1	694432	694914	+	483	54	33	30	27	81	35	28	39	109	90	78	289	68	39	51	57
gene-SYNPCC7002_RS03320	NC_010475.1	695083	696090	+	1008	38	43	30	35	52	57	53	34	57	80	50	158	60	20	50	31
gene-SYNPCC7002_RS03325	NC_010475.1	696127	697209	+	1083	49	41	55	65	77	75	83	54	76	109	54	173	59	46	49	59
gene-SYNPCC7002_RS03330	NC_010475.1	697224	697742	+	519	34	19	30	32	41	44	28	24	32	45	28	68	49	31	31	29
gene-SYNPCC7002_RS03335	NC_010475.1	697775	698746	+	972	64	28	75	39	70	63	47	63	46	97	45	65	45	43	75	32
gene-SYNPCC7002_RS03340	NC_010475.1	698752	699039	+	288	121	88	103	120	138	105	112	107	143	161	116	134	135	95	134	132
gene-SYNPCC7002_RS03345	NC_010475.1	699044	699535	+	492	79	62	86	56	83	82	74	67	69	103	95	86	100	59	71	64
gene-SYNPCC7002_RS03350	NC_010475.1	699559	700005	-	447	1760	1559	2369	1782	2090	1490	1389	1421	1046	1347	772	1009	903	702	897	774
gene-SYNPCC7002_RS03355	NC_010475.1	700150	701202	+	1053	196	192	175	191	420	276	311	218	192	308	189	247	206	138	157	166
gene-SYNPCC7002_RS03360	NC_010475.1	701132	702208	-	1077	1130	1057	960	1182	6480	4773	4180	4554	2335	3449	2063	2618	2208	1655	2387	1829
gene-SYNPCC7002_RS03365	NC_010475.1	702281	702682	-	402	1774	1673	1691	1829	7577	5358	5047	5435	3038	4368	2625	3414	3227	2116	2940	2253
gene-SYNPCC7002_RS03370	NC_010475.1	702912	703082	+	171	192	108	90	61	503	365	358	269	440	566	350	478	478	232	425	263
gene-SYNPCC7002_RS03375	NC_010475.1	703097	704017	-	921	1078	772	834	726	2005	1542	1416	1369	2502	3186	2133	2657	2398	1774	2016	1572
gene-SYNPCC7002_RS03380	NC_010475.1	704252	706165	+	1914	1922	1657	1715	1742	2604	1913	1949	1879	2362	3153	1871	2419	2222	1693	2235	1621
gene-SYNPCC7002_RS03385	NC_010475.1	706286	706729	+	444	2621	2148	1825	1933	7133	5324	4913	4540	7133	9375	7215	7314	7775	5014	7370	6496
gene-SYNPCC7002_RS03390	NC_010475.1	706817	707653	+	837	180	173	148	175	504	397	373	334	568	854	486	559	502	327	518	388
gene-SYNPCC7002_RS03395	NC_010475.1	707723	708391	+	669	829	903	1108	981	1864	1341	1283	1529	663	759	429	584	483	407	580	349
gene-SYNPCC7002_RS03400	NC_010475.1	708549	708926	+	378	435	353	503	383	916	674	675	632	568	820	557	578	576	464	607	400
gene-SYNPCC7002_RS03405	NC_010475.1	708930	709739	+	810	358	355	352	326	849	653	570	678	580	707	391	609	504	376	504	335
gene-SYNPCC7002_RS03410	NC_010475.1	709762	711282	-	1521	2318	1971	2096	1938	4852	4198	3526	3718	4427	6273	4298	4679	4775	3067	4095	3517
gene-SYNPCC7002_RS03415	NC_010475.1	711498	711926	-	429	52240	45717	41857	44596	42473	36503	35236	30379	74738	87366	60486	62343	75864	47547	67870	55775
gene-SYNPCC7002_RS03420	NC_010475.1	712243	713127	+	885	501	355	299	316	452	404	376	301	701	994	641	717	684	409	583	565
gene-SYNPCC7002_RS03425	NC_010475.1	713150	714055	-	906	513	341	328	281	1145	990	866	766	1019	1226	1098	1138	1132	613	819	671
gene-SYNPCC7002_RS03430	NC_010475.1	714052	714510	-	459	315	300	266	275	812	602	507	589	781	1197	707	757	849	571	846	627
gene-SYNPCC7002_RS03435	NC_010475.1	714555	715337	-	783	656	603	508	481	1588	1388	1299	1221	1505	2171	1345	1595	1549	879	1393	1037
gene-SYNPCC7002_RS03440	NC_010475.1	715348	715881	-	534	1265	832	815	787	2260	1840	1661	1655	2156	2745	1946	2166	2138	1311	1890	1780
gene-SYNPCC7002_RS03445	NC_010475.1	715964	716485	-	522	667	537	733	684	901	631	659	670	655	763	553	621	532	430	561	423
gene-SYNPCC7002_RS03450	NC_010475.1	716577	718787	-	2211	2143	2027	2155	2084	2898	2080	1873	1976	2414	3143	1989	2323	2181	1504	2185	1575
gene-SYNPCC7002_RS03455	NC_010475.1	718941	720329	-	1389	1242	947	1072	935	1621	1469	1213	1090	1198	1542	964	1324	1162	729	1019	863
gene-SYNPCC7002_RS03460	NC_010475.1	720376	721473	-	1098	575	558	431	408	1698	1330	1251	1170	887	1168	926	1031	859	569	764	670
gene-SYNPCC7002_RS03465	NC_010475.1	721449	721703	-	255	399	347	293	290	1260	964	872	803	662	920	693	804	692	458	554	547
gene-SYNPCC7002_RS03470	NC_010475.1	721700	722836	-	1137	3790	3292	2860	2518	8496	7766	6875	6059	4443	5883	4542	5950	5263	3253	3946	3671
gene-SYNPCC7002_RS03475	NC_010475.1	722958	724913	-	1956	4217	3485	3702	3239	5627	4684	4348	3834	4955	6589	4427	5545	5019	3239	4397	3915
gene-SYNPCC7002_RS03480	NC_010475.1	725030	725779	-	750	5801	5197	4612	4481	10963	8713	8244	7548	10236	12903	9148	10495	10496	7250	10032	8561
gene-SYNPCC7002_RS03485	NC_010475.1	726189	728210	+	2022	3452	2917	3496	3323	3918	3228	3037	2774	3443	3990	2783	3536	3174	2232	2932	2516
gene-SYNPCC7002_RS03490	NC_010475.1	728330	729436	+	1107	2131	1891	2298	1869	2644	2093	1816	1733	2171	2908	1844	2563	2104	1405	1938	1598
gene-SYNPCC7002_RS03495	NC_010475.1	729503	730741	+	1239	4297	3339	3571	3236	4169	3739	3321	3024	3123	3821	3024	4279	3310	1976	2662	2335
gene-SYNPCC7002_RS03500	NC_010475.1	730750	731307	+	558	1428	1250	1392	1270	1817	1511	1344	1410	1208	1519	1008	1353	989	728	1071	852
gene-SYNPCC7002_RS03505	NC_010475.1	731304	732380	-	1077	155	116	77	95	271	271	291	153	336	400	291	293	304	175	315	256
gene-SYNPCC7002_RS03510	NC_010475.1	732408	733571	-	1164	373	331	366	340	700	639	548	517	813	981	676	734	788	449	793	559
gene-SYNPCC7002_RS03515	NC_010475.1	733641	734567	+	927	527	519	545	413	802	721	580	558	669	849	688	898	799	534	747	613
gene-SYNPCC7002_RS03520	NC_010475.1	734570	735340	-	771	173	148	177	145	580	481	475	381	456	636	478	491	458	269	451	365
gene-SYNPCC7002_RS03525	NC_010475.1	735424	736446	-	1023	773	581	480	475	2471	2200	1760	1614	1797	2490	1956	2090	2195	1164	1730	1669
gene-SYNPCC7002_RS03530	NC_010475.1	736509	737351	-	843	1404	1065	967	864	2407	2036	1756	1639	2266	3052	1967	2577	2401	1387	2058	1642
