Geneid	seqnames	start	end	strand	type	name	locus_tag	old_locus_tag	product
gene-SYNPCC7002_RS04775	NC_010475.1	985037	986017	-	protein-coding	SYNPCC7002_RS04775	SYNPCC7002_RS04775	SYNPCC7002_A0955	30S ribosomal protein S1
gene-SYNPCC7002_RS04780	NC_010475.1	986451	986996	-	protein-coding	nrdR	SYNPCC7002_RS04780	SYNPCC7002_A0956	transcriptional regulator NrdR
gene-SYNPCC7002_RS04785	NC_010475.1	987179	987274	-	protein-coding	SYNPCC7002_RS04785	SYNPCC7002_RS04785	SYNPCC7002_A0957	photosystem II reaction center protein T
gene-SYNPCC7002_RS04790	NC_010475.1	987467	988393	+	protein-coding	SYNPCC7002_RS04790	SYNPCC7002_RS04790	SYNPCC7002_A0958	RluA family pseudouridine synthase
gene-SYNPCC7002_RS04795	NC_010475.1	988390	989802	-	protein-coding	SYNPCC7002_RS04795	SYNPCC7002_RS04795	SYNPCC7002_A0959	hypothetical protein
gene-SYNPCC7002_RS04800	NC_010475.1	990631	990849	+	protein-coding	SYNPCC7002_RS04800	SYNPCC7002_RS04800	SYNPCC7002_A0961	hypothetical protein
gene-SYNPCC7002_RS04805	NC_010475.1	990836	991132	+	protein-coding	SYNPCC7002_RS04805	SYNPCC7002_RS04805	SYNPCC7002_A0962	type II toxin-antitoxin system RelE/ParE family toxin
gene-SYNPCC7002_RS04810	NC_010475.1	991221	992834	-	protein-coding	SYNPCC7002_RS04810	SYNPCC7002_RS04810	SYNPCC7002_A0963	S8 family serine peptidase
gene-SYNPCC7002_RS04815	NC_010475.1	992954	994540	+	protein-coding	SYNPCC7002_RS04815	SYNPCC7002_RS04815	SYNPCC7002_A0964	glucose-6-phosphate isomerase
gene-SYNPCC7002_RS04820	NC_010475.1	994564	995154	-	protein-coding	SYNPCC7002_RS04820	SYNPCC7002_RS04820	SYNPCC7002_A0965	DUF4334 domain-containing protein
gene-SYNPCC7002_RS04825	NC_010475.1	995346	995774	+	protein-coding	SYNPCC7002_RS04825	SYNPCC7002_RS04825	SYNPCC7002_A0966	DUF29 family protein
gene-SYNPCC7002_RS04830	NC_010475.1	995868	996431	+	protein-coding	SYNPCC7002_RS04830	SYNPCC7002_RS04830	SYNPCC7002_A0967	Uma2 family endonuclease
gene-SYNPCC7002_RS04835	NC_010475.1	996519	997091	+	protein-coding	SYNPCC7002_RS04835	SYNPCC7002_RS04835	SYNPCC7002_A0968	hypothetical protein
gene-SYNPCC7002_RS04840	NC_010475.1	997103	998155	-	protein-coding	SYNPCC7002_RS04840	SYNPCC7002_RS04840	SYNPCC7002_A0969	peptidase M42
gene-SYNPCC7002_RS04845	NC_010475.1	998293	998757	-	protein-coding	SYNPCC7002_RS04845	SYNPCC7002_RS04845	SYNPCC7002_A0970	glutathione peroxidase
gene-SYNPCC7002_RS04850	NC_010475.1	998899	999888	+	protein-coding	SYNPCC7002_RS04850	SYNPCC7002_RS04850	SYNPCC7002_A0971	NAD(P)-dependent oxidoreductase
gene-SYNPCC7002_RS04855	NC_010475.1	999885	1001255	-	protein-coding	SYNPCC7002_RS04855	SYNPCC7002_RS04855	SYNPCC7002_A0972	GDSL-type esterase/lipase family protein
gene-SYNPCC7002_RS04860	NC_010475.1	1001397	1001870	+	protein-coding	SYNPCC7002_RS04860	SYNPCC7002_RS04860	SYNPCC7002_A0973	low molecular weight phosphotyrosine protein phosphatase
gene-SYNPCC7002_RS04865	NC_010475.1	1001903	1002865	+	protein-coding	SYNPCC7002_RS04865	SYNPCC7002_RS04865	SYNPCC7002_A0974	CAP domain-containing protein
gene-SYNPCC7002_RS04870	NC_010475.1	1002985	1003818	-	protein-coding	SYNPCC7002_RS04870	SYNPCC7002_RS04870	SYNPCC7002_A0975	BtpA/SgcQ family protein
gene-SYNPCC7002_RS04875	NC_010475.1	1004056	1005033	+	protein-coding	SYNPCC7002_RS04875	SYNPCC7002_RS04875	SYNPCC7002_A0976	cysteine synthase A
gene-SYNPCC7002_RS04880	NC_010475.1	1005160	1005930	+	protein-coding	SYNPCC7002_RS04880	SYNPCC7002_RS04880	SYNPCC7002_A0977	hypothetical protein
gene-SYNPCC7002_RS04885	NC_010475.1	1006136	1007557	-	protein-coding	radA	SYNPCC7002_RS04885	SYNPCC7002_A0978	DNA repair protein RadA
gene-SYNPCC7002_RS04890	NC_010475.1	1007779	1008507	+	protein-coding	SYNPCC7002_RS04890	SYNPCC7002_RS04890	SYNPCC7002_A0979	response regulator transcription factor
gene-SYNPCC7002_RS04895	NC_010475.1	1008671	1010671	+	protein-coding	recJ	SYNPCC7002_RS04895	SYNPCC7002_A0980	single-stranded-DNA-specific exonuclease RecJ
gene-SYNPCC7002_RS04900	NC_010475.1	1010742	1010873	-	protein-coding	SYNPCC7002_RS04900	SYNPCC7002_RS04900	SYNPCC7002_A0981	photosystem II reaction center protein Ycf12
gene-SYNPCC7002_RS04905	NC_010475.1	1011024	1011383	+	protein-coding	SYNPCC7002_RS04905	SYNPCC7002_RS04905	SYNPCC7002_A0982	YkgJ family cysteine cluster protein
gene-SYNPCC7002_RS16950	NC_010475.1	1011557	1011697	-	protein-coding	SYNPCC7002_RS16950	SYNPCC7002_RS16950	SYNPCC7002_A0983	hypothetical protein
gene-SYNPCC7002_RS04910	NC_010475.1	1012007	1013407	-	protein-coding	SYNPCC7002_RS04910	SYNPCC7002_RS04910	SYNPCC7002_A0984	NAD(P)(+) transhydrogenase (Re/Si-specific) subunit beta
gene-SYNPCC7002_RS04915	NC_010475.1	1013411	1013701	-	protein-coding	SYNPCC7002_RS04915	SYNPCC7002_RS04915	SYNPCC7002_A0985	NAD(P) transhydrogenase subunit alpha
gene-SYNPCC7002_RS04920	NC_010475.1	1013769	1014914	-	protein-coding	SYNPCC7002_RS04920	SYNPCC7002_RS04920	SYNPCC7002_A0986	Re/Si-specific NAD(P)(+) transhydrogenase subunit alpha
gene-SYNPCC7002_RS04925	NC_010475.1	1015205	1015984	+	protein-coding	SYNPCC7002_RS04925	SYNPCC7002_RS04925	SYNPCC7002_A0987	DUF2808 domain-containing protein
gene-SYNPCC7002_RS16410	NC_010475.1	1016169	1016306	+	protein-coding	rpmH	SYNPCC7002_RS16410	SYNPCC7002_A0988	50S ribosomal protein L34
gene-SYNPCC7002_RS04935	NC_010475.1	1016370	1016720	+	protein-coding	rnpA	SYNPCC7002_RS04935	SYNPCC7002_A0989	ribonuclease P protein component
gene-SYNPCC7002_RS04940	NC_010475.1	1016710	1017102	+	protein-coding	SYNPCC7002_RS04940	SYNPCC7002_RS04940	SYNPCC7002_A0990	PH domain-containing protein
gene-SYNPCC7002_RS04945	NC_010475.1	1017282	1018448	+	protein-coding	yidC	SYNPCC7002_RS04945	SYNPCC7002_A0991	membrane protein insertase YidC
gene-SYNPCC7002_RS04950	NC_010475.1	1018455	1018946	+	protein-coding	SYNPCC7002_RS04950	SYNPCC7002_RS04950	SYNPCC7002_A0992	RNA-binding protein
gene-SYNPCC7002_RS04955	NC_010475.1	1019059	1019559	+	protein-coding	SYNPCC7002_RS04955	SYNPCC7002_RS04955	SYNPCC7002_A0993	YceD family protein
gene-SYNPCC7002_RS04960	NC_010475.1	1019663	1021159	+	protein-coding	SYNPCC7002_RS04960	SYNPCC7002_RS04960	SYNPCC7002_A0994	AAA family ATPase
gene-SYNPCC7002_RS04965	NC_010475.1	1021242	1021745	+	protein-coding	SYNPCC7002_RS04965	SYNPCC7002_RS04965	SYNPCC7002_A0995	SH3 domain-containing protein
gene-SYNPCC7002_RS16090	NC_010475.1	1022029	1025811	+	protein-coding	SYNPCC7002_RS16090	SYNPCC7002_RS16090	SYNPCC7002_A0996	response regulator
gene-SYNPCC7002_RS04975	NC_010475.1	1025817	1026182	+	protein-coding	SYNPCC7002_RS04975	SYNPCC7002_RS04975	SYNPCC7002_A0997	Hpt domain-containing protein
gene-SYNPCC7002_RS04980	NC_010475.1	1026279	1027370	+	protein-coding	SYNPCC7002_RS04980	SYNPCC7002_RS04980	SYNPCC7002_A0998	ArsA family ATPase
gene-SYNPCC7002_RS04985	NC_010475.1	1027759	1029198	+	protein-coding	SYNPCC7002_RS04985	SYNPCC7002_RS04985	SYNPCC7002_A0999	isochorismate synthase
gene-SYNPCC7002_RS04990	NC_010475.1	1029258	1032974	+	protein-coding	bchH	SYNPCC7002_RS04990	SYNPCC7002_A1000	magnesium chelatase subunit H
gene-SYNPCC7002_RS04995	NC_010475.1	1033065	1033925	+	protein-coding	SYNPCC7002_RS04995	SYNPCC7002_RS04995	SYNPCC7002_A1001	restriction endonuclease
gene-SYNPCC7002_RS05000	NC_010475.1	1033954	1035090	-	protein-coding	SYNPCC7002_RS05000	SYNPCC7002_RS05000	SYNPCC7002_A1002	beta-ketoacyl-ACP synthase
gene-SYNPCC7002_RS05005	NC_010475.1	1035205	1036827	+	protein-coding	SYNPCC7002_RS05005	SYNPCC7002_RS05005	SYNPCC7002_A1003	sodium:proton antiporter
gene-SYNPCC7002_RS05010	NC_010475.1	1036824	1037612	-	protein-coding	SYNPCC7002_RS05010	SYNPCC7002_RS05010	SYNPCC7002_A1004	NAD-binding protein
gene-SYNPCC7002_RS05015	NC_010475.1	1037554	1038999	-	protein-coding	SYNPCC7002_RS05015	SYNPCC7002_RS05015	SYNPCC7002_A1005	RecQ family ATP-dependent DNA helicase
gene-SYNPCC7002_RS05020	NC_010475.1	1039092	1039940	+	protein-coding	purU	SYNPCC7002_RS05020	SYNPCC7002_A1006	formyltetrahydrofolate deformylase
gene-SYNPCC7002_RS05025	NC_010475.1	1040008	1041075	-	protein-coding	tsaD	SYNPCC7002_RS05025	SYNPCC7002_A1007	tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex transferase subunit TsaD
gene-SYNPCC7002_RS05030	NC_010475.1	1041231	1041740	+	protein-coding	SYNPCC7002_RS05030	SYNPCC7002_RS05030	SYNPCC7002_A1008	photosystem I reaction center subunit III, PsaF
gene-SYNPCC7002_RS16415	NC_010475.1	1041784	1041897	+	protein-coding	psaJ	SYNPCC7002_RS16415	SYNPCC7002_A1009	photosystem I reaction center subunit IX
gene-SYNPCC7002_RS05035	NC_010475.1	1042257	1042904	-	protein-coding	plsY	SYNPCC7002_RS05035	SYNPCC7002_A1010	glycerol-3-phosphate 1-O-acyltransferase PlsY
gene-SYNPCC7002_RS05040	NC_010475.1	1042942	1044066	-	protein-coding	SYNPCC7002_RS05040	SYNPCC7002_RS05040	SYNPCC7002_A1011	DUF3086 domain-containing protein
gene-SYNPCC7002_RS05045	NC_010475.1	1044129	1044533	-	protein-coding	SYNPCC7002_RS05045	SYNPCC7002_RS05045	SYNPCC7002_A1012	DUF3119 family protein
gene-SYNPCC7002_RS05050	NC_010475.1	1044719	1047859	+	protein-coding	SYNPCC7002_RS05050	SYNPCC7002_RS05050	SYNPCC7002_A1013	efflux RND transporter permease subunit
gene-SYNPCC7002_RS05055	NC_010475.1	1047882	1048520	+	protein-coding	SYNPCC7002_RS05055	SYNPCC7002_RS05055	SYNPCC7002_A1014	GerMN domain-containing protein
gene-SYNPCC7002_RS05060	NC_010475.1	1048533	1049831	-	protein-coding	SYNPCC7002_RS05060	SYNPCC7002_RS05060	SYNPCC7002_A1015	FHA domain-containing protein
gene-SYNPCC7002_RS05070	NC_010475.1	1050247	1052094	-	protein-coding	SYNPCC7002_RS05070	SYNPCC7002_RS05070	SYNPCC7002_A1017	argonaute PAZ domain-containing protein
gene-SYNPCC7002_RS05075	NC_010475.1	1052582	1056574	-	protein-coding	SYNPCC7002_RS05075	SYNPCC7002_RS05075	SYNPCC7002_A1018	magnesium chelatase subunit H
gene-SYNPCC7002_RS05080	NC_010475.1	1056933	1057517	+	protein-coding	SYNPCC7002_RS05080	SYNPCC7002_RS05080	SYNPCC7002_A1019	low-complexity tail membrane protein
gene-SYNPCC7002_RS05085	NC_010475.1	1057556	1059031	-	protein-coding	SYNPCC7002_RS05085	SYNPCC7002_RS05085	SYNPCC7002_A1020	DUF3370 domain-containing protein
gene-SYNPCC7002_RS05090	NC_010475.1	1059288	1060379	+	protein-coding	SYNPCC7002_RS05090	SYNPCC7002_RS05090	SYNPCC7002_A1021	LptF/LptG family permease
gene-SYNPCC7002_RS05095	NC_010475.1	1060473	1062479	-	protein-coding	tkt	SYNPCC7002_RS05095	SYNPCC7002_A1022	transketolase
gene-SYNPCC7002_RS05100	NC_010475.1	1062649	1063905	-	protein-coding	fabF	SYNPCC7002_RS05100	SYNPCC7002_A1023	beta-ketoacyl-ACP synthase II
gene-SYNPCC7002_RS05105	NC_010475.1	1064055	1064300	-	protein-coding	acpP	SYNPCC7002_RS05105	SYNPCC7002_A1024	acyl carrier protein
gene-SYNPCC7002_RS05110	NC_010475.1	1064549	1066006	+	protein-coding	gatA	SYNPCC7002_RS05110	SYNPCC7002_A1025	Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatA
gene-SYNPCC7002_RS05115	NC_010475.1	1066220	1066606	-	protein-coding	rplL	SYNPCC7002_RS05115	SYNPCC7002_A1026	50S ribosomal protein L7/L12
gene-SYNPCC7002_RS05120	NC_010475.1	1066694	1067221	-	protein-coding	rplJ	SYNPCC7002_RS05120	SYNPCC7002_A1027	50S ribosomal protein L10
gene-SYNPCC7002_RS05125	NC_010475.1	1067435	1068151	-	protein-coding	rplA	SYNPCC7002_RS05125	SYNPCC7002_A1028	50S ribosomal protein L1
gene-SYNPCC7002_RS05130	NC_010475.1	1068243	1068668	-	protein-coding	rplK	SYNPCC7002_RS05130	SYNPCC7002_A1029	50S ribosomal protein L11
gene-SYNPCC7002_RS05135	NC_010475.1	1068671	1069273	-	protein-coding	nusG	SYNPCC7002_RS05135	SYNPCC7002_A1030	transcription termination/antitermination protein NusG
gene-SYNPCC7002_RS05140	NC_010475.1	1069292	1069525	-	protein-coding	secE	SYNPCC7002_RS05140	SYNPCC7002_A1031	preprotein translocase subunit SecE
gene-SYNPCC7002_RS05145	NC_010475.1	1069582	1069654	-	tRNA	SYNPCC7002_RS05145	SYNPCC7002_RS05145	SYNPCC7002_A1032	tRNA-Trp
gene-SYNPCC7002_RS05150	NC_010475.1	1069750	1070112	-	protein-coding	rplS	SYNPCC7002_RS05150	SYNPCC7002_A1033	50S ribosomal protein L19
gene-SYNPCC7002_RS05155	NC_010475.1	1070298	1072124	-	protein-coding	SYNPCC7002_RS05155	SYNPCC7002_RS05155	SYNPCC7002_A1034	iron uptake porin
gene-SYNPCC7002_RS05160	NC_010475.1	1072553	1072876	+	protein-coding	SYNPCC7002_RS05160	SYNPCC7002_RS05160	SYNPCC7002_A1035	hypothetical protein
gene-SYNPCC7002_RS05165	NC_010475.1	1072963	1074054	-	protein-coding	prfA	SYNPCC7002_RS05165	SYNPCC7002_A1036	peptide chain release factor 1
gene-SYNPCC7002_RS05170	NC_010475.1	1074155	1074385	-	protein-coding	rpmE	SYNPCC7002_RS05170	SYNPCC7002_A1037	50S ribosomal protein L31
gene-SYNPCC7002_RS05175	NC_010475.1	1074472	1074885	-	protein-coding	rpsI	SYNPCC7002_RS05175	SYNPCC7002_A1038	30S ribosomal protein S9
gene-SYNPCC7002_RS05180	NC_010475.1	1074885	1075340	-	protein-coding	rplM	SYNPCC7002_RS05180	SYNPCC7002_A1039	50S ribosomal protein L13
gene-SYNPCC7002_RS05185	NC_010475.1	1075377	1076201	-	protein-coding	truA	SYNPCC7002_RS05185	SYNPCC7002_A1040	tRNA pseudouridine(38-40) synthase TruA
gene-SYNPCC7002_RS05190	NC_010475.1	1076226	1076576	-	protein-coding	rplQ	SYNPCC7002_RS05190	SYNPCC7002_A1041	50S ribosomal protein L17
gene-SYNPCC7002_RS05195	NC_010475.1	1076637	1077578	-	protein-coding	SYNPCC7002_RS05195	SYNPCC7002_RS05195	SYNPCC7002_A1042	DNA-directed RNA polymerase subunit alpha
gene-SYNPCC7002_RS05200	NC_010475.1	1077692	1078081	-	protein-coding	rpsK	SYNPCC7002_RS05200	SYNPCC7002_A1043	30S ribosomal protein S11
gene-SYNPCC7002_RS05205	NC_010475.1	1078142	1078519	-	protein-coding	rpsM	SYNPCC7002_RS05205	SYNPCC7002_A1044	30S ribosomal protein S13
gene-SYNPCC7002_RS16420	NC_010475.1	1078594	1078707	-	protein-coding	rpmJ	SYNPCC7002_RS16420	NA	50S ribosomal protein L36
gene-SYNPCC7002_RS05210	NC_010475.1	1078846	1079070	-	protein-coding	infA	SYNPCC7002_RS05210	SYNPCC7002_A1045	translation initiation factor IF-1
gene-SYNPCC7002_RS05215	NC_010475.1	1079126	1079689	-	protein-coding	SYNPCC7002_RS05215	SYNPCC7002_RS05215	SYNPCC7002_A1046	adenylate kinase
gene-SYNPCC7002_RS05220	NC_010475.1	1079775	1081094	-	protein-coding	secY	SYNPCC7002_RS05220	SYNPCC7002_A1047	preprotein translocase subunit SecY
gene-SYNPCC7002_RS05225	NC_010475.1	1081192	1081632	-	protein-coding	rplO	SYNPCC7002_RS05225	SYNPCC7002_A1048	50S ribosomal protein L15
gene-SYNPCC7002_RS05230	NC_010475.1	1081684	1082205	-	protein-coding	rpsE	SYNPCC7002_RS05230	SYNPCC7002_A1049	30S ribosomal protein S5
gene-SYNPCC7002_RS05235	NC_010475.1	1082236	1082598	-	protein-coding	rplR	SYNPCC7002_RS05235	SYNPCC7002_A1050	50S ribosomal protein L18
gene-SYNPCC7002_RS05240	NC_010475.1	1082601	1083143	-	protein-coding	rplF	SYNPCC7002_RS05240	SYNPCC7002_A1051	50S ribosomal protein L6
gene-SYNPCC7002_RS05245	NC_010475.1	1083177	1083578	-	protein-coding	rpsH	SYNPCC7002_RS05245	SYNPCC7002_A1052	30S ribosomal protein S8
gene-SYNPCC7002_RS05250	NC_010475.1	1083604	1084149	-	protein-coding	rplE	SYNPCC7002_RS05250	SYNPCC7002_A1053	50S ribosomal protein L5
gene-SYNPCC7002_RS05255	NC_010475.1	1084224	1084574	-	protein-coding	rplX	SYNPCC7002_RS05255	SYNPCC7002_A1054	50S ribosomal protein L24
gene-SYNPCC7002_RS05260	NC_010475.1	1084577	1084945	-	protein-coding	rplN	SYNPCC7002_RS05260	SYNPCC7002_A1055	50S ribosomal protein L14
gene-SYNPCC7002_RS05265	NC_010475.1	1084998	1085237	-	protein-coding	rpsQ	SYNPCC7002_RS05265	SYNPCC7002_A1056	30S ribosomal protein S17
gene-SYNPCC7002_RS05270	NC_010475.1	1085259	1085465	-	protein-coding	rpmC	SYNPCC7002_RS05270	SYNPCC7002_A1057	50S ribosomal protein L29
gene-SYNPCC7002_RS05275	NC_010475.1	1085469	1085888	-	protein-coding	rplP	SYNPCC7002_RS05275	SYNPCC7002_A1058	50S ribosomal protein L16
gene-SYNPCC7002_RS05280	NC_010475.1	1085947	1086669	-	protein-coding	rpsC	SYNPCC7002_RS05280	SYNPCC7002_A1059	30S ribosomal protein S3
gene-SYNPCC7002_RS05285	NC_010475.1	1086715	1087074	-	protein-coding	rplV	SYNPCC7002_RS05285	SYNPCC7002_A1060	50S ribosomal protein L22
gene-SYNPCC7002_RS05290	NC_010475.1	1087090	1087368	-	protein-coding	rpsS	SYNPCC7002_RS05290	SYNPCC7002_A1061	30S ribosomal protein S19
gene-SYNPCC7002_RS05295	NC_010475.1	1087405	1088232	-	protein-coding	rplB	SYNPCC7002_RS05295	SYNPCC7002_A1062	50S ribosomal protein L2
gene-SYNPCC7002_RS05300	NC_010475.1	1088255	1088566	-	protein-coding	SYNPCC7002_RS05300	SYNPCC7002_RS05300	SYNPCC7002_A1063	50S ribosomal protein L23
gene-SYNPCC7002_RS05305	NC_010475.1	1088571	1089203	-	protein-coding	rplD	SYNPCC7002_RS05305	SYNPCC7002_A1064	50S ribosomal protein L4
gene-SYNPCC7002_RS05310	NC_010475.1	1089304	1089945	-	protein-coding	rplC	SYNPCC7002_RS05310	SYNPCC7002_A1065	50S ribosomal protein L3
gene-SYNPCC7002_RS05315	NC_010475.1	1090538	1092682	+	protein-coding	SYNPCC7002_RS05315	SYNPCC7002_RS05315	SYNPCC7002_A1066	polyribonucleotide nucleotidyltransferase
gene-SYNPCC7002_RS17050	NC_010475.1	1093076	1093282	+	protein-coding	SYNPCC7002_RS17050	SYNPCC7002_RS17050	SYNPCC7002_A1067	ion channel
gene-SYNPCC7002_RS05325	NC_010475.1	1093299	1095071	+	protein-coding	SYNPCC7002_RS05325	SYNPCC7002_RS05325	SYNPCC7002_A1068	hypothetical protein
gene-SYNPCC7002_RS05330	NC_010475.1	1095503	1096567	+	protein-coding	SYNPCC7002_RS05330	SYNPCC7002_RS05330	SYNPCC7002_A1069	potassium channel protein
gene-SYNPCC7002_RS05335	NC_010475.1	1096636	1098366	+	protein-coding	amt	SYNPCC7002_RS05335	SYNPCC7002_A1070	ammonium transporter
gene-SYNPCC7002_RS05340	NC_010475.1	1098472	1101495	+	protein-coding	pruA	SYNPCC7002_RS05340	SYNPCC7002_A1071	L-glutamate gamma-semialdehyde dehydrogenase
gene-SYNPCC7002_RS05345	NC_010475.1	1101587	1102444	+	protein-coding	SYNPCC7002_RS05345	SYNPCC7002_RS05345	SYNPCC7002_A1072	GTPase subunit of Type II restriction endonuclease
gene-SYNPCC7002_RS16955	NC_010475.1	1102552	1102767	+	protein-coding	SYNPCC7002_RS16955	SYNPCC7002_RS16955	NA	hypothetical protein
gene-SYNPCC7002_RS05350	NC_010475.1	1102771	1104747	+	protein-coding	SYNPCC7002_RS05350	SYNPCC7002_RS05350	SYNPCC7002_A1073	hypothetical protein
gene-SYNPCC7002_RS05355	NC_010475.1	1104744	1104935	+	protein-coding	SYNPCC7002_RS05355	SYNPCC7002_RS05355	SYNPCC7002_A1074	aldehyde dehydrogenase family protein
gene-SYNPCC7002_RS05360	NC_010475.1	1105424	1106014	+	protein-coding	SYNPCC7002_RS05360	SYNPCC7002_RS05360	SYNPCC7002_A1075	DUF3038 domain-containing protein
gene-SYNPCC7002_RS05365	NC_010475.1	1106099	1107388	+	protein-coding	SYNPCC7002_RS05365	SYNPCC7002_RS05365	SYNPCC7002_A1076	DUF4335 domain-containing protein
gene-SYNPCC7002_RS05370	NC_010475.1	1107536	1107910	+	protein-coding	SYNPCC7002_RS05370	SYNPCC7002_RS05370	SYNPCC7002_A1077	cyclic nucleotide-binding domain-containing protein
gene-SYNPCC7002_RS05375	NC_010475.1	1108005	1109687	-	protein-coding	SYNPCC7002_RS05375	SYNPCC7002_RS05375	SYNPCC7002_A1078	glycosyltransferase family 39 protein
gene-SYNPCC7002_RS05380	NC_010475.1	1109941	1110483	+	protein-coding	SYNPCC7002_RS05380	SYNPCC7002_RS05380	SYNPCC7002_A1079	NYN domain-containing protein
gene-SYNPCC7002_RS05385	NC_010475.1	1110488	1111159	-	protein-coding	SYNPCC7002_RS05385	SYNPCC7002_RS05385	SYNPCC7002_A1080	serine/threonine protein kinase
gene-SYNPCC7002_RS05390	NC_010475.1	1111167	1111583	-	protein-coding	SYNPCC7002_RS05390	SYNPCC7002_RS05390	SYNPCC7002_A1081	GNAT family N-acetyltransferase
gene-SYNPCC7002_RS17215	NC_010475.1	1111623	1111757	-	protein-coding	SYNPCC7002_RS17215	SYNPCC7002_RS17215	NA	hypothetical protein
gene-SYNPCC7002_RS05395	NC_010475.1	1111849	1112907	+	protein-coding	SYNPCC7002_RS05395	SYNPCC7002_RS05395	SYNPCC7002_A1082	folate-binding protein YgfZ
gene-SYNPCC7002_RS16960	NC_010475.1	1112927	1113730	-	protein-coding	SYNPCC7002_RS16960	SYNPCC7002_RS16960	SYNPCC7002_A1083	LCCL domain-containing protein
gene-SYNPCC7002_RS05405	NC_010475.1	1113795	1114250	-	protein-coding	SYNPCC7002_RS05405	SYNPCC7002_RS05405	SYNPCC7002_A1084	divergent PAP2 family protein
gene-SYNPCC7002_RS05410	NC_010475.1	1114272	1115180	-	protein-coding	SYNPCC7002_RS05410	SYNPCC7002_RS05410	SYNPCC7002_A1085	polyprenyl synthetase family protein
gene-SYNPCC7002_RS05415	NC_010475.1	1115412	1117145	+	protein-coding	SYNPCC7002_RS05415	SYNPCC7002_RS05415	SYNPCC7002_A1086	NAD-binding protein
gene-SYNPCC7002_RS05420	NC_010475.1	1117234	1118454	+	protein-coding	SYNPCC7002_RS05420	SYNPCC7002_RS05420	SYNPCC7002_A1087	DUF445 family protein
gene-SYNPCC7002_RS05425	NC_010475.1	1118440	1119828	-	protein-coding	SYNPCC7002_RS05425	SYNPCC7002_RS05425	SYNPCC7002_A1088	cytochrome c biogenesis protein
gene-SYNPCC7002_RS05430	NC_010475.1	1119891	1120631	-	protein-coding	SYNPCC7002_RS05430	SYNPCC7002_RS05430	SYNPCC7002_A1089	sulfite exporter TauE/SafE family protein
gene-SYNPCC7002_RS05435	NC_010475.1	1120702	1121655	-	protein-coding	SYNPCC7002_RS05435	SYNPCC7002_RS05435	SYNPCC7002_A1090	asparaginase
gene-SYNPCC7002_RS05440	NC_010475.1	1121739	1122239	-	protein-coding	SYNPCC7002_RS05440	SYNPCC7002_RS05440	SYNPCC7002_A1091	CGLD27 family protein
gene-SYNPCC7002_RS05445	NC_010475.1	1122421	1123191	-	protein-coding	SYNPCC7002_RS05445	SYNPCC7002_RS05445	SYNPCC7002_A1092	peptidylprolyl isomerase
gene-SYNPCC7002_RS05450	NC_010475.1	1123298	1123864	-	protein-coding	SYNPCC7002_RS05450	SYNPCC7002_RS05450	SYNPCC7002_A1093	photosystem I assembly protein Ycf4
gene-SYNPCC7002_RS05455	NC_010475.1	1123904	1124905	-	protein-coding	SYNPCC7002_RS05455	SYNPCC7002_RS05455	SYNPCC7002_A1094	succinate dehydrogenase/fumarate reductase iron-sulfur subunit
gene-SYNPCC7002_RS05460	NC_010475.1	1125156	1125524	+	protein-coding	SYNPCC7002_RS05460	SYNPCC7002_RS05460	SYNPCC7002_A1095	AbrB family transcriptional regulator
gene-SYNPCC7002_RS05465	NC_010475.1	1125767	1126615	+	protein-coding	SYNPCC7002_RS05465	SYNPCC7002_RS05465	SYNPCC7002_A1096	carbonic anhydrase family protein
gene-SYNPCC7002_RS05470	NC_010475.1	1126612	1127079	-	protein-coding	SYNPCC7002_RS05470	SYNPCC7002_RS05470	SYNPCC7002_A1097	Rieske 2Fe-2S domain-containing protein
gene-SYNPCC7002_RS05475	NC_010475.1	1127216	1128574	-	protein-coding	SYNPCC7002_RS05475	SYNPCC7002_RS05475	SYNPCC7002_A1098	anthranilate synthase component I
gene-SYNPCC7002_RS05480	NC_010475.1	1128676	1129149	-	protein-coding	SYNPCC7002_RS05480	SYNPCC7002_RS05480	SYNPCC7002_A1099	hypothetical protein
gene-SYNPCC7002_RS05485	NC_010475.1	1129263	1129982	+	protein-coding	ubiE	SYNPCC7002_RS05485	SYNPCC7002_A1100	bifunctional demethylmenaquinone methyltransferase/2-methoxy-6-polyprenyl-1,4-benzoquinol methylase UbiE
gene-SYNPCC7002_RS05490	NC_010475.1	1129999	1130718	+	protein-coding	SYNPCC7002_RS05490	SYNPCC7002_RS05490	SYNPCC7002_A1101	serine/threonine protein phosphatase
gene-SYNPCC7002_RS05495	NC_010475.1	1130806	1130892	+	tRNA	SYNPCC7002_RS05495	SYNPCC7002_RS05495	SYNPCC7002_A1102	tRNA-Ser
gene-SYNPCC7002_RS05500	NC_010475.1	1131057	1132247	+	protein-coding	SYNPCC7002_RS05500	SYNPCC7002_RS05500	SYNPCC7002_A1103	1-acyl-sn-glycerol-3-phosphate acyltransferase
gene-SYNPCC7002_RS05505	NC_010475.1	1132390	1133322	+	protein-coding	SYNPCC7002_RS05505	SYNPCC7002_RS05505	SYNPCC7002_A1104	Hpt domain-containing protein
